nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Miles Price,Villager Equippable
인조 털 코트,4465,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal0.png,2320,580,에이블 시스터즈,에이블 시스터즈에만,파란색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal0.png,겨울,귀여운,데일리,Blue,NA,Yes
인조 털 코트,8449,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal1.png,2320,580,에이블 시스터즈,에이블 시스터즈에만,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal1.png,겨울,귀여운,데일리,Green,NA,Yes
인조 털 코트,8450,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal2.png,2320,580,에이블 시스터즈,에이블 시스터즈에만,보라색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal2.png,겨울,귀여운,데일리,Purple,NA,Yes
인조 털 코트,8451,animal-print coat,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnimal3.png,2320,580,에이블 시스터즈,에이블 시스터즈에만,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnimal3.png,겨울,귀여운,데일리,Pink,NA,Yes
얼룩무늬 티셔츠,8198,animal-stripes tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe0.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe0.png,여름,쿨한,데일리#릴렉스,Tiger,NA,Yes
얼룩무늬 티셔츠,12066,animal-stripes tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHStripe1.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHStripe1.png,여름,쿨한,데일리#릴렉스,Zebra,NA,Yes
안녕 티셔츠,12117,annyeong tee,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHHellokr0.png,640,160,너굴 쇼핑 카탈로그,,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHHellokr0.png,일 년 내내,심플한,데일리#릴렉스,NA,NA,Yes
아노락,4793,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak0.png,1400,350,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak0.png,일 년 내내,심플한,데일리#아웃도어,Camel,NA,Yes
아노락,9308,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak1.png,1400,350,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak1.png,일 년 내내,심플한,데일리#아웃도어,Red,NA,Yes
아노락,9309,anorak jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatLAnorak2.png,1400,350,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatLAnorak2.png,일 년 내내,심플한,데일리#아웃도어,Blue,NA,Yes
앞치마,3228,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron0.png,840,210,에이블 시스터즈,에이블 시스터즈에만,주황색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron0.png,일 년 내내,심플한,데일리#비즈니스,Orange,NA,Yes
앞치마,9595,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron1.png,840,210,에이블 시스터즈,에이블 시스터즈에만,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron1.png,일 년 내내,심플한,데일리#비즈니스,Green,NA,Yes
앞치마,9596,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron2.png,840,210,에이블 시스터즈,에이블 시스터즈에만,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron2.png,일 년 내내,심플한,데일리#비즈니스,Blue,NA,Yes
앞치마,9597,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron3.png,840,210,에이블 시스터즈,에이블 시스터즈에만,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron3.png,일 년 내내,심플한,데일리#비즈니스,Pink,NA,Yes
앞치마,9598,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron4.png,840,210,에이블 시스터즈,에이블 시스터즈에만,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron4.png,일 년 내내,심플한,데일리#비즈니스,Light blue,NA,Yes
앞치마,9599,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron5.png,840,210,에이블 시스터즈,에이블 시스터즈에만,보라색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron5.png,일 년 내내,심플한,데일리#비즈니스,Purple,NA,Yes
앞치마,9600,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron6.png,840,210,에이블 시스터즈,에이블 시스터즈에만,회색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron6.png,일 년 내내,심플한,데일리#비즈니스,Gray,NA,Yes
앞치마,9601,apron,https://acnhcdn.com/latest/FtrIcon/TopsTexTopCoatHApron7.png,840,210,에이블 시스터즈,에이블 시스터즈에만,갈색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopCoatHApron7.png,일 년 내내,심플한,데일리#비즈니스,Brown,NA,Yes
아란 가디건,3643,Aran-knit cardigan,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan0.png,1300,325,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan0.png,겨울,심플한,데일리#릴렉스,Beige,NA,Yes
아란 가디건,7678,Aran-knit cardigan,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan1.png,1300,325,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하늘색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan1.png,겨울,심플한,데일리#릴렉스,Light blue,NA,Yes
아란 가디건,7679,Aran-knit cardigan,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan2.png,1300,325,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan2.png,겨울,심플한,데일리#릴렉스,Pink,NA,Yes
아란 가디건,7680,Aran-knit cardigan,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArancardigan3.png,1300,325,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArancardigan3.png,겨울,심플한,데일리#릴렉스,Yellow,NA,Yes
아란 스웨터,3633,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran0.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran0.png,겨울,심플한,데일리#릴렉스,Red,NA,Yes
아란 스웨터,7672,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran1.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하얀색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran1.png,겨울,심플한,데일리#릴렉스,White,NA,Yes
아란 스웨터,7673,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran2.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,회색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran2.png,겨울,심플한,데일리#릴렉스,Gray,NA,Yes
아란 스웨터,7674,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran3.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran3.png,겨울,심플한,데일리#릴렉스,Green,NA,Yes
아란 스웨터,7675,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran4.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran4.png,겨울,심플한,데일리#릴렉스,Black,NA,Yes
아란 스웨터,7676,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran5.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,주황색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran5.png,겨울,심플한,데일리#릴렉스,Orange,NA,Yes
아란 스웨터,7677,Aran-knit sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLAran6.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLAran6.png,겨울,심플한,데일리#릴렉스,Blue,NA,Yes
아가일 스웨터,3579,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle0.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle0.png,겨울,심플한,데일리#릴렉스,Green,NA,Yes
아가일 스웨터,7742,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle1.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle1.png,겨울,심플한,데일리#릴렉스,Gray,NA,Yes
아가일 스웨터,7743,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle2.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle2.png,겨울,심플한,데일리#릴렉스,Mustard,NA,Yes
아가일 스웨터,7744,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle3.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle3.png,겨울,심플한,데일리#릴렉스,Black,NA,Yes
아가일 스웨터,7745,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle4.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,회색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle4.png,겨울,심플한,데일리#릴렉스,Red,NA,Yes
아가일 스웨터,7746,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle5.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,보라색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle5.png,겨울,심플한,데일리#릴렉스,Purple,NA,Yes
아가일 스웨터,7747,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle6.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,분홍색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle6.png,겨울,심플한,데일리#릴렉스,Pink,NA,Yes
아가일 스웨터,7748,argyle sweater,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLArgyle7.png,1200,300,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하얀색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLArgyle7.png,겨울,심플한,데일리#릴렉스,White,NA,Yes
아가일 베스트,3262,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle0.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle0.png,일 년 내내,심플한,데일리#포멀#비즈니스,Blue,NA,Yes
아가일 베스트,8480,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle1.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle1.png,일 년 내내,심플한,데일리#포멀#비즈니스,Pink,NA,Yes
아가일 베스트,8481,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle2.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,갈색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle2.png,일 년 내내,심플한,데일리#포멀#비즈니스,Brown,NA,Yes
아가일 베스트,8482,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle3.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle3.png,일 년 내내,심플한,데일리#포멀#비즈니스,Red,NA,Yes
아가일 베스트,8483,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle4.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle4.png,일 년 내내,심플한,데일리#포멀#비즈니스,Gray,NA,Yes
아가일 베스트,8484,argyle vest,https://acnhcdn.com/latest/FtrIcon/TopsTexTopYshirtsLArgyle5.png,1440,360,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopYshirtsLArgyle5.png,일 년 내내,심플한,데일리#포멀#비즈니스,Green,NA,Yes
트레이닝복,3244,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey0.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey0.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Red,NA,Yes
트레이닝복,7198,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey1.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey1.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Green,NA,Yes
트레이닝복,7199,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey2.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey2.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Black,NA,Yes
트레이닝복,7200,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey3.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey3.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Blue,NA,Yes
트레이닝복,7201,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey4.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey4.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Berry red,NA,Yes
트레이닝복,7202,athletic jacket,https://acnhcdn.com/latest/FtrIcon/TopsTexTopOuterLJersey5.png,960,240,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopOuterLJersey5.png,일 년 내내,활동적인,아웃도어#릴렉스#스포츠,Navy blue,NA,Yes
헐렁한 셔츠,4710,baggy shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsLLoose0.png,NFS,10,재활용함,,회색,회색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsLLoose0.png,일 년 내내,심플한,호러#릴렉스,Gray,NA,Yes
헐렁한 셔츠,8554,baggy shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsLLoose1.png,NFS,10,재활용함,,검정색,검정색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsLLoose1.png,일 년 내내,심플한,호러#릴렉스,Black,NA,Yes
헐렁한 셔츠,8555,baggy shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsLLoose2.png,NFS,10,재활용함,,갈색,갈색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsLLoose2.png,일 년 내내,심플한,호러#릴렉스,Brown,NA,Yes
야구 셔츠,4419,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball0.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball0.png,일 년 내내,활동적인,스포츠#비즈니스,Navy blue,NA,Yes
야구 셔츠,9393,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball1.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball1.png,일 년 내내,활동적인,스포츠#비즈니스,Red,NA,Yes
야구 셔츠,9394,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball2.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,회색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball2.png,일 년 내내,활동적인,스포츠#비즈니스,Gray,NA,Yes
야구 셔츠,9395,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball3.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball3.png,일 년 내내,활동적인,스포츠#비즈니스,Black,NA,Yes
야구 셔츠,9396,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball4.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하얀색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball4.png,일 년 내내,활동적인,스포츠#비즈니스,White,NA,Yes
야구 셔츠,9397,baseball shirt,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsHBaseball5.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsHBaseball5.png,일 년 내내,활동적인,스포츠#비즈니스,Yellow,NA,Yes
농구복 상의,2727,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts0.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,보라색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts0.png,일 년 내내,활동적인,스포츠#비즈니스,Purple,NA,Yes
농구복 상의,8038,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts1.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts1.png,일 년 내내,활동적인,스포츠#비즈니스,Red,NA,Yes
농구복 상의,8039,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts2.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts2.png,일 년 내내,활동적인,스포츠#비즈니스,Green,NA,Yes
농구복 상의,8040,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts3.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,주황색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts3.png,일 년 내내,활동적인,스포츠#비즈니스,Orange,NA,Yes
농구복 상의,8041,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts4.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts4.png,일 년 내내,활동적인,스포츠#비즈니스,Blue,NA,Yes
농구복 상의,8042,basketball tank,https://acnhcdn.com/latest/FtrIcon/TopsTexTopTshirtsNBasketballshirts5.png,1120,280,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,노란색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/TopsTexTopTshirtsNBasketballshirts5.png,일 년 내내,활동적인,스포츠#비즈니스,Yellow,NA,Yes
