nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
아기 모자,11855,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet3.png,560,140,에이블 시스터즈,에이블 시스터즈에만,초록색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet3.png,일 년 내내,귀여운,릴랙스,Baby green,No,NA
아기 모자,11856,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet4.png,560,140,에이블 시스터즈,에이블 시스터즈에만,빨간색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet4.png,일 년 내내,귀여운,릴랙스,Baby pink,No,NA
아기 모자,11857,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet5.png,560,140,에이블 시스터즈,에이블 시스터즈에만,베이지색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet5.png,일 년 내내,귀여운,릴랙스,Baby gray,No,NA
아기 모자,11858,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet6.png,560,140,에이블 시스터즈,에이블 시스터즈에만,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet6.png,일 년 내내,귀여운,릴랙스,Baby blue,No,NA
아기 모자,11859,baby's hat,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet7.png,560,140,에이블 시스터즈,에이블 시스터즈에만,주황색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet7.png,일 년 내내,귀여운,릴랙스,Baby orange,No,NA
풍선 모자,5340,balloon hat,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon0.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,컬러풀,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon0.png,일 년 내내,활동적인,파티#스테이지,Rainbow,Yes,NA
풍선 모자,11050,balloon hat,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon1.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,주황색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon1.png,일 년 내내,활동적인,파티#스테이지,Orange,Yes,NA
풍선 모자,11051,balloon hat,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon2.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,파란색,보라색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon2.png,일 년 내내,활동적인,파티#스테이지,Blue,Yes,NA
풍선 모자,11052,balloon hat,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon3.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,초록색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon3.png,일 년 내내,활동적인,파티#스테이지,Green,Yes,NA
삼각 삿갓,5143,bamboo hat,https://acnhcdn.com/latest/FtrIcon/CapHatAjiroBeige.png,NFS,200,제작,,베이지색,베이지색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatAjiroBeige.png,일 년 내내,심플한,메르헨#아웃도어,Beige,Yes,NA
바레트,9860,barrette,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTBarrette0.png,490,122,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTBarrette0.png,일 년 내내,우아한,데일리#메르헨#파티,Pink,Yes,NA
야구 모자,9763,baseball cap,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball0.png,840,210,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball0.png,일 년 내내,활동적인,아웃도어#스포츠#비즈니스,Red,Yes,NA
야구 모자,12092,baseball cap,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball1.png,840,210,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball1.png,일 년 내내,활동적인,아웃도어#스포츠#비즈니스,Navy blue,Yes,NA
야구 모자,12093,baseball cap,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball2.png,840,210,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball2.png,일 년 내내,활동적인,아웃도어#스포츠#비즈니스,Green,Yes,NA
야구 모자,12094,baseball cap,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball3.png,840,210,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball3.png,일 년 내내,활동적인,아웃도어#스포츠#비즈니스,Orange,Yes,NA
야구 모자,12095,baseball cap,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball4.png,840,210,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,검정색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball4.png,일 년 내내,활동적인,아웃도어#스포츠#비즈니스,Yellow,Yes,NA
야구 헬멧,5366,batter's helmet,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball0.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball0.png,일 년 내내,활동적인,스포츠#비즈니스,Red,No,NA
야구 헬멧,11596,batter's helmet,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball1.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball1.png,일 년 내내,활동적인,스포츠#비즈니스,Navy blue,No,NA
야구 헬멧,11597,batter's helmet,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball2.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball2.png,일 년 내내,활동적인,스포츠#비즈니스,Green,No,NA
야구 헬멧,11598,batter's helmet,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball3.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,검정색,주황색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball3.png,일 년 내내,활동적인,스포츠#비즈니스,Orange,No,NA
야구 헬멧,11599,batter's helmet,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball4.png,1040,260,에이블 시스터즈,에이블 시스터즈에만,검정색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball4.png,일 년 내내,활동적인,스포츠#비즈니스,Yellow,No,NA
곰 모자,5330,bear cap,https://acnhcdn.com/latest/FtrIcon/CapBangsBear0.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,갈색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear0.png,일 년 내내,귀여운,메르헨#파티#스테이지,Brown,No,NA
곰 모자,11704,bear cap,https://acnhcdn.com/latest/FtrIcon/CapBangsBear1.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,검정색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear1.png,일 년 내내,귀여운,메르헨#파티#스테이지,Black,No,NA
곰 모자,11705,bear cap,https://acnhcdn.com/latest/FtrIcon/CapBangsBear2.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,분홍색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear2.png,일 년 내내,귀여운,메르헨#파티#스테이지,Pink,No,NA
곰 모자,11706,bear cap,https://acnhcdn.com/latest/FtrIcon/CapBangsBear3.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear3.png,일 년 내내,귀여운,메르헨#파티#스테이지,Blue,No,NA
베레모,5260,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret0.png,880,220,에이블 시스터즈,에이블 시스터즈에만,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret0.png,일 년 내내,우아한,데일리#포멀#파티,Berry red,Yes,NA
베레모,11523,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret1.png,880,220,에이블 시스터즈,에이블 시스터즈에만,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret1.png,일 년 내내,우아한,데일리#포멀#파티,Blue,Yes,NA
베레모,11524,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret2.png,880,220,에이블 시스터즈,에이블 시스터즈에만,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret2.png,일 년 내내,우아한,데일리#포멀#파티,Green,Yes,NA
베레모,11525,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret3.png,880,220,에이블 시스터즈,에이블 시스터즈에만,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret3.png,일 년 내내,우아한,데일리#포멀#파티,Mustard,Yes,NA
베레모,11526,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret4.png,880,220,에이블 시스터즈,에이블 시스터즈에만,회색,회색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret4.png,일 년 내내,우아한,데일리#포멀#파티,Gray,Yes,NA
베레모,11527,beret,https://acnhcdn.com/latest/FtrIcon/CapHatBeret5.png,880,220,에이블 시스터즈,에이블 시스터즈에만,하얀색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret5.png,일 년 내내,우아한,데일리#포멀#파티,White,Yes,NA
자전거 헬멧,5282,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet0.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,하늘색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet0.png,일 년 내내,활동적인,스포츠,Blue,Yes,NA
자전거 헬멧,10219,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet1.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,파란색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet1.png,일 년 내내,활동적인,스포츠,Navy blue,Yes,NA
자전거 헬멧,10220,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet2.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,빨간색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet2.png,일 년 내내,활동적인,스포츠,Red,Yes,NA
자전거 헬멧,10221,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet3.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,노란색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet3.png,일 년 내내,활동적인,스포츠,Lime,Yes,NA
자전거 헬멧,10222,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet4.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,초록색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet4.png,일 년 내내,활동적인,스포츠,Green,Yes,NA
자전거 헬멧,10223,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet5.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,주황색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet5.png,일 년 내내,활동적인,스포츠,Orange,Yes,NA
자전거 헬멧,10224,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet6.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,보라색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet6.png,일 년 내내,활동적인,스포츠,Purple,Yes,NA
자전거 헬멧,10225,bicycle helmet,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet7.png,1100,275,에이블 시스터즈,에이블 시스터즈에만,분홍색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet7.png,일 년 내내,활동적인,스포츠,Pink,Yes,NA
생일 모자,4800,birthday hat,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday0.png,NFS,600,생일,,하늘색,하얀색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday0.png,일 년 내내,화려한,파티,Blue,Yes,NA
생일 모자,11031,birthday hat,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday1.png,NFS,600,생일,,노란색,하얀색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday1.png,일 년 내내,화려한,파티,Yellow,Yes,NA
생일 모자,11032,birthday hat,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday2.png,NFS,600,생일,,분홍색,하얀색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday2.png,일 년 내내,화려한,파티,Pink,Yes,NA
블루 장미 화관,7377,blue rose crown,https://acnhcdn.com/latest/FtrIcon/CapOrnamentRose4.png,NFS,12000,제작,,파란색,파란색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentRose4.png,일 년 내내,귀여운,메르헨#파티#바캉스,Blue,Yes,NA
리본 페도라,5296,bowler hat with ribbon,https://acnhcdn.com/latest/FtrIcon/CapHatBowler0.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,하늘색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler0.png,일 년 내내,우아한,메르헨#포멀#파티,Blue,Yes,NA
리본 페도라,10882,bowler hat with ribbon,https://acnhcdn.com/latest/FtrIcon/CapHatBowler1.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,베이지색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler1.png,일 년 내내,우아한,메르헨#포멀#파티,Beige,Yes,NA
리본 페도라,10883,bowler hat with ribbon,https://acnhcdn.com/latest/FtrIcon/CapHatBowler2.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler2.png,일 년 내내,우아한,메르헨#포멀#파티,Green,Yes,NA
리본 페도라,10884,bowler hat with ribbon,https://acnhcdn.com/latest/FtrIcon/CapHatBowler3.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler3.png,일 년 내내,우아한,메르헨#포멀#파티,Red,Yes,NA
리본 페도라,10885,bowler hat with ribbon,https://acnhcdn.com/latest/FtrIcon/CapHatBowler4.png,1100,275,에이블 시스터즈,고순이 임시 상점 또는 에이블 시스터즈,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler4.png,일 년 내내,우아한,메르헨#포멀#파티,Pink,Yes,NA
순백 베일,5692,bridal veil,https://acnhcdn.com/latest/FtrIcon/CapWigWedding.png,4600,1150,웨딩 이벤트,,하얀색,컬러풀,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigWedding.png,일 년 내내,우아한,,,No,NA
양갈래 머리,5693,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun0.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,분홍색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun0.png,일 년 내내,귀여운,스테이지,Pink,No,NA
양갈래 머리,11888,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun1.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,파란색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun1.png,일 년 내내,귀여운,스테이지,Blue,No,NA
양갈래 머리,11889,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun2.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,노란색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun2.png,일 년 내내,귀여운,스테이지,Mustard,No,NA
양갈래 머리,11890,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun3.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,하얀색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun3.png,일 년 내내,귀여운,스테이지,White,No,NA
양갈래 머리,11891,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun4.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,보라색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun4.png,일 년 내내,귀여운,스테이지,Purple,No,NA
양갈래 머리,11892,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun5.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,초록색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun5.png,일 년 내내,귀여운,스테이지,Green,No,NA
양갈래 머리,11893,bun wig,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun6.png,1440,360,에이블 시스터즈,에이블 시스터즈에만,주황색,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun6.png,일 년 내내,귀여운,스테이지,Orange,No,NA
이스터 화관,12445,Bunny Day crown,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCEgg0.png,NFS,2400,제작,,컬러풀,컬러풀,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentCEgg0.png,일 년 내내,우아한,메르헨#파티#스테이지,NA,Yes,NA
토끼 귀,7209,bunny ears,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny0.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny0.png,일 년 내내,귀여운,메르헨#파티#스테이지,Black,Yes,NA
토끼 귀,11902,bunny ears,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny1.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny1.png,일 년 내내,귀여운,메르헨#파티#스테이지,Pink,Yes,NA
토끼 귀,11903,bunny ears,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny2.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,빨간색,빨간색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny2.png,일 년 내내,귀여운,메르헨#파티#스테이지,Red,Yes,NA
토끼 귀,11904,bunny ears,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny3.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,하늘색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny3.png,일 년 내내,귀여운,메르헨#파티#스테이지,Light blue,Yes,NA
토끼 모자,5325,bunny hood,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit0.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,분홍색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit0.png,일 년 내내,귀여운,메르헨#파티,Pink,No,NA
토끼 모자,11700,bunny hood,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit1.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,노란색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit1.png,일 년 내내,귀여운,메르헨#파티,Yellow,No,NA
토끼 모자,11701,bunny hood,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit2.png,1120,280,에이블 시스터즈,에이블 시스터즈에만,하얀색,하늘색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit2.png,일 년 내내,귀여운,메르헨#파티,White,No,NA
캡틴 모자,5332,captain's hat,https://acnhcdn.com/latest/FtrIcon/CapHatCaptainWhite.png,1680,420,에이블 시스터즈,에이블 시스터즈에만,하얀색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapHatCaptainWhite.png,일 년 내내,쿨한,포멀#비즈니스,White,Yes,NA
고양이 모자,5326,cat cap,https://acnhcdn.com/latest/FtrIcon/CapBangsCat0.png,980,245,에이블 시스터즈,에이블 시스터즈에만,파란색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/CapBangsCat0.png,일 년 내내,귀여운,메르헨#파티#스테이지,Navy blue,No,NA
