#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Total Catches to Unlock,Rain/Snow Catch Up,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Size,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200,Sea,Small,0,No,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,Blue,Red,1x1,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201,LzuWkSQP55uEpRCP5
18,catfish,https://acnhcdn.com/latest/MenuIcon/Fish14.png,https://acnhcdn.com/latest/BookFishIcon/FishNamazuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNamazu.png,800,Pond,Large,0,No,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,Black,Black,1x1,Fluorescent,Fish14,FishNamazu,FtrFishNamazu,2229,nbPtvwf7HCQxA9Nc4
28,char,https://acnhcdn.com/latest/MenuIcon/Fish24.png,https://acnhcdn.com/latest/BookFishIcon/FishOoiwanaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOoiwana.png,3800,River (clifftop),Medium,20,No,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish24,FishOoiwana,FtrFishOoiwana,2239,ahbnwCqp3EZXa96KC
27,cherry salmon,https://acnhcdn.com/latest/MenuIcon/Fish23.png,https://acnhcdn.com/latest/BookFishIcon/FishYamameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishYamame.png,1000,River (clifftop),Medium,0,No,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish23,FishYamame,FtrFishYamame,2238,sJyBbeLbpzn7LyzFr
49,clown fish,https://acnhcdn.com/latest/MenuIcon/Fish40.png,https://acnhcdn.com/latest/BookFishIcon/FishKumanomiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKumanomi.png,650,Sea,X-Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Orange,Black,1x1,Fluorescent,Fish40,FishKumanomi,FtrFishKumanomi,2257,L9qxZaMoBhwxvpMyh
80,coelacanth,https://acnhcdn.com/latest/MenuIcon/Fish63.png,https://acnhcdn.com/latest/BookFishIcon/FishSirakansuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSirakansu.png,15000,Sea (rainy days),XX-Large,100,Yes,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,Black,2x1,Fluorescent,Fish63,FishSirakansu,FtrFishSirakansu,2284,NjMZQ6Xi9NswEXnHH
11,crawfish,https://acnhcdn.com/latest/MenuIcon/Fish10.png,https://acnhcdn.com/latest/BookFishIcon/FishZariganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishZarigani.png,200,Pond,Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,Red,Black,1x1,Fluorescent,Fish10,FishZarigani,FtrFishZarigani,2223,W7TrwpycmfgniZipi
3,crucian carp,https://acnhcdn.com/latest/MenuIcon/Fish2.png,https://acnhcdn.com/latest/BookFishIcon/FishFunaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishFuna.png,160,River,Small,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Black,1x1,Fluorescent,Fish2,FishFuna,FtrFishFuna,328,Pdw7vmJz9PRM4ggbf
61,dab,https://acnhcdn.com/latest/MenuIcon/Fish50.png,https://acnhcdn.com/latest/BookFishIcon/FishKareiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKarei.png,300,Sea,Medium,0,No,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,Brown,Black,1x1,Fluorescent,Fish50,FishKarei,FtrFishKarei,2268,noA2Kfp8TaFgaLs5n
4,dace,https://acnhcdn.com/latest/MenuIcon/Fish3.png,https://acnhcdn.com/latest/BookFishIcon/FishUguiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishUgui.png,240,River,Medium,0,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish3,FishUgui,FtrFishUgui,2217,dWmXFdnjByWT5nEok
42,dorado,https://acnhcdn.com/latest/MenuIcon/Fish34.png,https://acnhcdn.com/latest/BookFishIcon/FishDoladoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDolado.png,15000,River,X-Large,100,No,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,Yellow,Black,2x1,Fluorescent,Fish34,FishDolado,FtrFishDolado,2251,G7ZwD67cRMHBwTSKH
77,football fish,https://acnhcdn.com/latest/MenuIcon/Fish56.png,https://acnhcdn.com/latest/BookFishIcon/FishChouchinankouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchinankou.png,2500,Sea,Large,20,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,Black,Black,2x1,Emission,Fish56,FishChouchinankou,FtrFishChouchinankou,2273,vQHfve6DygtcYqwdi
16,freshwater goby,https://acnhcdn.com/latest/MenuIcon/Fish12.png,https://acnhcdn.com/latest/BookFishIcon/FishDonkoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDonko.png,400,River,Small,0,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Brown,Black,1x1,Fluorescent,Fish12,FishDonko,FtrFishDonko,2227,SfXYNdtaid6hdQhvZ
15,frog,https://acnhcdn.com/latest/MenuIcon/Fish11.png,https://acnhcdn.com/latest/BookFishIcon/FishKaeruCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKaeru.png,120,Pond,Small,0,No,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,Green,Black,1x1,Fluorescent,Fish11,FishKaeru,FtrFishKaeru,2226,LcQLs85qPPdLajLje
43,gar,https://acnhcdn.com/latest/MenuIcon/Fish35.png,https://acnhcdn.com/latest/BookFishIcon/FishGaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGa.png,6000,Pond,X-Large,50,No,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Brown,Black,2x1,Fluorescent,Fish35,FishGa,FtrFishGa,2252,x5yAYQgMJW9Kf7WyM
19,giant snakehead,https://acnhcdn.com/latest/MenuIcon/Fish16.png,https://acnhcdn.com/latest/BookFishIcon/FishRaigyoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRaigyo.png,5500,Pond,Large,50,No,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,Black,Black,2x1,Fluorescent,Fish16,FishRaigyo,FtrFishRaigyo,2231,KyWQRd8W2FePM42wB
68,giant trevally,https://acnhcdn.com/latest/MenuIcon/Fish70.png,https://acnhcdn.com/latest/BookFishIcon/FishRouninajiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGT.png,4500,Pier,X-Large,20,No,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,Black,Black,2x1,Fluorescent,Fish70,FishRouninaji,FtrFishGT,2276,53qtm8cMH4RfqJiAH
29,golden trout,https://acnhcdn.com/latest/MenuIcon/Fish79.png,https://acnhcdn.com/latest/BookFishIcon/FishGoldenTorautoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGoldenTorauto.png,15000,River (clifftop),Medium,100,No,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,Brown,Black,1x1,Fluorescent,Fish79,FishGoldenTorauto,FtrFishGoldenTorauto,4193,wwGzR7FzWNJ7cDz9X
7,goldfish,https://acnhcdn.com/latest/MenuIcon/Fish7.png,https://acnhcdn.com/latest/BookFishIcon/FishKingyoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKingyo.png,1300,Pond,X-Small,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Red,Light blue,1x1,No lighting,Fish7,FishKingyo,FtrFishKingyo,329,5NwmwhEQxBNZCPiBR
74,great white shark,https://acnhcdn.com/latest/MenuIcon/Fish62.png,https://acnhcdn.com/latest/BookFishIcon/FishSameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSame.png,15000,Sea,Large w/Fin,50,Yes,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Blue,Blue,3x2,No lighting,Fish62,FishSame,FtrFishSame,2280,EPypAeJGuTDGFJRnx
34,guppy,https://acnhcdn.com/latest/MenuIcon/Fish29.png,https://acnhcdn.com/latest/BookFishIcon/FishGuppiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishGuppi.png,1300,River,X-Small,0,No,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,Blue,Black,1x1,Fluorescent,Fish29,FishGuppi,FtrFishGuppi,2245,WtdZnARNxnWRobej2
73,hammerhead shark,https://acnhcdn.com/latest/MenuIcon/Fish61.png,https://acnhcdn.com/latest/BookFishIcon/FishShumokuzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShumokuzame.png,8000,Sea,Large w/Fin,20,Yes,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,Black,Black,2x1,Fluorescent,Fish61,FishShumokuzame,FtrFishShumokuzame,2279,guHT5g6H7tJEyqYzf
57,horse mackerel,https://acnhcdn.com/latest/MenuIcon/Fish46.png,https://acnhcdn.com/latest/BookFishIcon/FishAjiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAji.png,150,Sea,Small,0,No,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Blue,Black,1x1,Fluorescent,Fish46,FishAji,FtrFishAji,2264,L24RYPaEcm9ZXkTui
10,killifish,https://acnhcdn.com/latest/MenuIcon/Fish9.png,https://acnhcdn.com/latest/BookFishIcon/FishMedakaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMedaka.png,300,Pond,X-Small,0,No,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,Yellow,Black,1x1,Fluorescent,Fish9,FishMedaka,FtrFishMedaka,2222,ZR9dsEApEXCjtXu3k
32,king salmon,https://acnhcdn.com/latest/MenuIcon/Fish28.png,https://acnhcdn.com/latest/BookFishIcon/FishKingsalmonCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKingsalmon.png,1800,River (mouth),X-Large,20,No,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gray,Black,2x1,Fluorescent,Fish28,FishKingsalmon,FtrFishKingsalmon,2243,Pf5cXKo8pzdB45rAA
6,koi,https://acnhcdn.com/latest/MenuIcon/Fish6.png,https://acnhcdn.com/latest/BookFishIcon/FishNishikigoiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNishikigoi.png,4000,Pond,Large,20,No,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,Red,White,1x1,Fluorescent,Fish6,FishNishikigoi,FtrFishNishikigoi,2220,kNwjLeqjg8bFevfiG
17,loach,https://acnhcdn.com/latest/MenuIcon/Fish13.png,https://acnhcdn.com/latest/BookFishIcon/FishDojouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDojou.png,400,River,Small,0,No,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,Brown,Blue,1x1,No lighting,Fish13,FishDojou,FtrFishDojou,2228,95yBKrQ4tdyWj4H25
69,mahi-mahi,https://acnhcdn.com/latest/MenuIcon/Fish82.png,https://acnhcdn.com/latest/BookFishIcon/FishShiiraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShiira.png,6000,Pier,X-Large,50,Yes,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,Yellow,Black,2x1,Fluorescent,Fish82,FishShiira,FtrFishShiira,4202,D7gY39QDo8BBNs2Ne
33,mitten crab,https://acnhcdn.com/latest/MenuIcon/Fish66.png,https://acnhcdn.com/latest/BookFishIcon/FishSyanhaiganiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishShanghai.png,2000,River,Small,20,No,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,Black,Blue,1x1,No lighting,Fish66,FishSyanhaigani,FtrFishShanghai,2244,s2jqSYbMWBX6qCLDm
