#,Name,Sell,Where/How,Weather,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec
23,orchid mantis,2400,Èò»ö ²É À§,Any except rain,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null
24,honeybee,200,²É ÁÖº¯,Any except rain,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null,null,null
25,wasp,2500,³ª¹«(Èçµé±â),Any weather,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
26,brown cicada,250,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null,null
27,robust cicada,300,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null,null
28,giant cicada,500,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null,null
29,walker cicada,400,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null
30,evening cicada,550,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,4 AM ~ 8 AM; 4 PM ~ 7 PM,4 AM ~ 8 AM; 4 PM ~ 7 PM,null,null,null,null
31,cicada shell,10,È°¿±¼ö/Ä§¿±¼ö,Any weather,null,null,null,null,null,null,All day,All day,null,null,null,null
32,red dragonfly,180,°øÁß,Any except rain,null,null,null,null,null,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,null,null
33,darner dragonfly,230,°øÁß,Any except rain,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null
34,banded dragonfly,4500,°øÁß,Any except rain,null,null,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null
35,damselfly,500,°øÁß,Any except rain,null,null,null,null,All day,All day,All day,All day,null,null,null,null
36,firefly,300,¹°°¡,Any except rain,null,null,null,null,null,7 PM ~ 4 AM,null,null,null,null,null,null
37,mole cricket,500,¶¥ ¼Ó,Any weather,All day,All day,All day,All day,All day,null,null,null,null,null,All day,All day
38,pondskater,130,¹° À§,Any weather,null,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,null,null,null
39,diving beetle,800,¹° À§,Any weather,null,null,null,null,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,8 AM ~ 7 PM,null,null,null
40,giant water bug,2000,¹° À§,Any weather,null,null,null,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,null,null,null
41,stinkbug,120,²É À§,Any except rain,null,null,All day,All day,All day,All day,All day,All day,All day,All day,null,null
42,man-faced stink bug,1000,²É À§,Any except rain,null,null,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,null,null
43,ladybug,200,²É À§,Any except rain,null,null,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,8 AM ~ 5 PM,null,null,null,8 AM ~ 5 PM,null,null
44,tiger beetle,1500,¶¥ À§,Any except rain,null,All day,All day,All day,All day,All day,All day,All day,All day,All day,null,null
45,jewel beetle,2400,±×·çÅÍ±â,Any except rain,null,null,null,All day,All day,All day,All day,All day,null,null,null,null
46,violin beetle,450,±×·çÅÍ±â,Any except rain,null,null,null,null,All day,All day,null,null,All day,All day,All day,null
47,citrus long-horned beetle,350,±×·çÅÍ±â,Any except rain,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
48,rosalia batesi beetle,3000,±×·çÅÍ±â,Any except rain,null,null,null,null,All day,All day,All day,All day,All day,null,null,null
49,blue weevil beetle,800,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,All day,All day,null,null,null,null
50,dung beetle,3000,´«µ¢ÀÌ,Any weather,All day,All day,null,null,null,null,null,null,null,null,null,All day
51,earth-boring dung beetle,300,¶¥ À§,Any weather,null,null,null,null,null,null,All day,All day,All day,null,null,null
52,scarab beetle,10000,³ª¹«,Any weather,null,null,null,null,null,null,11 PM ~ 8 AM,11 PM ~ 8 AM,null,null,null,null
53,drone beetle,200,³ª¹«,Any weather,null,null,null,null,null,All day,All day,All day,null,null,null,null
54,goliath beetle,8000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null
55,saw stag,2000,³ª¹«,Any weather,null,null,null,null,null,null,All day,All day,null,null,null,null
56,miyama stag,1000,³ª¹«,Any weather,null,null,null,null,null,null,All day,All day,null,null,null,null
57,giant stag,10000,³ª¹«,Any weather,null,null,null,null,null,null,11 PM ~ 8 AM,11 PM ~ 8 AM,null,null,null,null
58,rainbow stag,6000,³ª¹«,Any weather,null,null,null,null,null,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,null,null,null
59,cyclommatus stag,8000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
60,golden stag,12000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
61,giraffe stag,12000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
62,horned dynastid,1350,³ª¹«,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
63,horned atlas,8000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
64,horned elephant,8000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
65,horned hercules,12000,¾ßÀÚ¼ö,Any weather,null,null,null,null,null,null,5 PM ~ 8 AM,5 PM ~ 8 AM,null,null,null,null
66,walking stick,600,³ª¹«,Any weather,null,null,null,null,null,null,4 AM ? 8 AM; 5 PM ~ 7 PM,4 AM ? 8 AM; 5 PM ~ 7 PM,4 AM ? 8 AM; 5 PM ~ 7 PM,4 AM ? 8 AM; 5 PM ~ 7 PM,4 AM ? 8 AM; 5 PM ~ 7 PM,null
67,walking leaf,600,³ª¹« ¾Æ·¡ À§Àå,Any weather,null,null,null,null,null,null,All day,All day,All day,null,null,null
68,bagworm,600,³ª¹«(Èçµé±â) (È°¿±¼ö/Ä§¿±¼ö),Any weather,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
69,ant,80,½âÀº ¹«,Any weather,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
70,hermit crab,1000,ÇØº¯¿¡¼­ ¼Ò¶ó²®µ¥±â·Î À§Àå,Any weather,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM
71,wharf roach,200,ÇØº¯ ¾Ï¹Ý,Any weather,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
72,fly,60,"¾²·¹±â, ½âÀº ¹«",Any weather,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
73,mosquito,130,°øÁß,Any except rain,null,null,null,null,null,5 PM ~ 4 AM,5 PM ~ 4 AM,5 PM ~ 4 AM,5 PM ~ 4 AM,null,null,null
74,flea,70,ÁÖ¹Î ¸Ó¸®,Any weather,null,null,null,All day,All day,All day,All day,All day,All day,All day,All day,null
75,snail,250,"¹ÙÀ§, ³·Àº ¹¦¸ñ",Rain only,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day
76,pill bug,250,¹ÙÀ§ Ä¡±â,Any weather,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM,null,null,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM,11 PM ~ 4 PM
77,centipede,300,¹ÙÀ§ Ä¡±â,Any weather,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM,null,null,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM,4 PM ~ 11 PM
78,spider,600,³ª¹«(Èçµé±â) (È°¿±¼ö/Ä§¿±¼ö),Any weather,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM,7 PM ~ 8 AM
79,tarantula,8000,¶¥ À§,Any weather,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,null,null,null,null,null,null,7 PM ~ 4 AM,7 PM ~ 4 AM
80,scorpion,8000,¶¥ À§,Any weather,null,null,null,null,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,7 PM ~ 4 AM,null,null
