nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,Body Customize,Pattern Customize,Miles Price,Outdoor
인체 모형,1317,anatomical model,https://acnhcdn.com/latest/FtrIcon/FtrAnatomicalmodel.png,3500,875,너굴상점,증축 전#후 너굴상점의 가구 영역,컬러풀,베이지색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_0_0.png,NFS,1400,낚시대회,,검정색,베이지색,비매품,No,1x1,0_0,Black,Color,NA,NA,2,Yes,No,NA,Yes
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_1_0.png,NFS,1400,낚시대회,,회색,베이지색,비매품,No,1x1,1_0,Silver,Color,NA,NA,2,Yes,No,NA,Yes
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_2_0.png,NFS,1400,낚시대회,,갈색,베이지색,비매품,No,1x1,2_0,Gold,Color,NA,NA,2,Yes,No,NA,Yes
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_3_0.png,NFS,1400,낚시대회,,하얀색,베이지색,비매품,No,1x1,3_0,White,Color,NA,NA,2,Yes,No,NA,Yes
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_4_0.png,NFS,1400,낚시대회,,파란색,하얀색,비매품,No,1x1,4_0,Blue,Color,NA,NA,2,Yes,No,NA,Yes
닻 장식,7238,anchor statue,https://acnhcdn.com/latest/FtrIcon/FtrShipanchor_Remake_5_0.png,NFS,1400,낚시대회,,갈색,회색,비매품,No,1x1,5_0,Retro,Color,NA,NA,2,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,0_0,Home,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,1_0,Forest,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,2_0,Fishing Spot,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,3_0,Resident Services,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,4_0,Airport,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,5_0,Shop,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,6_0,Tailors,Navigation,NA,NA,1,Yes,No,NA,Yes
기울어진 이정표,7867,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png,NFS,600,제작,,베이지색,갈색,비매품,Yes,1x1,7_0,Museum,Navigation,NA,NA,1,Yes,No,NA,Yes
앤티크 침대,3957,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png,28000,7000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,하얀색,구매가능,No,2x2,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 침대,3957,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_1_0.png,28000,7000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,하얀색,구매가능,No,2x2,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 침대,3957,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_2_0.png,28000,7000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,하얀색,구매가능,No,2x2,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 뷰로,3956,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png,20000,5000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,갈색,구매가능,No,1x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 뷰로,3956,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_1_0.png,20000,5000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,베이지색,구매가능,No,1x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 뷰로,3956,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_2_0.png,20000,5000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,검정색,구매가능,No,1x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 의자,3950,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png,10000,2500,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,하얀색,구매가능,No,1x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 의자,3950,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_1_0.png,10000,2500,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,하얀색,구매가능,No,1x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 의자,3950,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_2_0.png,10000,2500,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,하얀색,구매가능,No,1x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 시계,3954,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png,44000,11000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,노란색,구매가능,No,1x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 시계,3954,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_1_0.png,44000,11000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,노란색,구매가능,No,1x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 시계,3954,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_2_0.png,44000,11000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,노란색,구매가능,No,1x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 콘솔 테이블,3951,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png,17000,4250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,갈색,구매가능,No,2x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 콘솔 테이블,3951,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_1_0.png,17000,4250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,베이지색,구매가능,No,2x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 콘솔 테이블,3951,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_2_0.png,17000,4250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,검정색,구매가능,No,2x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 미니 테이블,3958,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png,6700,1675,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,하얀색,구매가능,No,1x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 미니 테이블,3958,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_1_0.png,6700,1675,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,하얀색,구매가능,No,1x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 미니 테이블,3958,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_2_0.png,6700,1675,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,하얀색,구매가능,No,1x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 테이블,3952,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_0_0.png,25000,6250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,갈색,구매가능,No,2x2,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 테이블,3952,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_1_0.png,25000,6250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,베이지색,구매가능,No,2x2,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 테이블,3952,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_2_0.png,25000,6250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,검정색,구매가능,No,2x2,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 화장대,3955,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_0_0.png,31000,7750,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,하늘색,구매가능,No,2x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 화장대,3955,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_1_0.png,31000,7750,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,하늘색,구매가능,No,2x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 화장대,3955,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_2_0.png,31000,7750,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,하늘색,구매가능,No,2x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
앤티크 옷장,3959,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_0_0.png,37000,9250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,갈색,갈색,구매가능,No,2x1,0_0,Brown,NA,NA,NA,NA,No,No,NA,No
앤티크 옷장,3959,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_1_0.png,37000,9250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,베이지색,베이지색,구매가능,No,2x1,1_0,Natural,NA,NA,NA,NA,No,No,NA,No
앤티크 옷장,3959,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_2_0.png,37000,9250,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,검정색,검정색,구매가능,No,2x1,2_0,Black,NA,NA,NA,NA,No,No,NA,No
사과 체어,4134,apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_0_0.png,NFS,2480,제작,,빨간색,노란색,비매품,Yes,1x1,0_0,Red apple,Fruit type,NA,NA,4,Yes,No,NA,No
사과 체어,4134,apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_1_0.png,NFS,2480,제작,,초록색,노란색,비매품,Yes,1x1,1_0,Green apple,Fruit type,NA,NA,4,Yes,No,NA,No
물병자리 항아리,5956,Aquarius urn,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAquarius.png,NFS,22125,제작,,하얀색,노란색,비매품,Yes,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
슈팅 아케이드 게임,8226,arcade combat game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameShooting.png,64000,16000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,하얀색,파란색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
격투 아케이드 게임,8225,arcade fighting game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameFight.png,64000,16000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,하얀색,빨간색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
테이블 아케이드 게임,8227,arcade mahjong game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameMahjong.png,64000,16000,너굴상점,증축 후 너굴상점의 세 번째 가구 영역,하얀색,초록색,구매가능,No,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
오락실 의자,12207,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_0_0.png,1300,325,너굴상점,증축 후 너굴상점의 일반 가구 영역,빨간색,회색,구매가능,No,1x1,0_0,Red,NA,NA,NA,NA,No,No,NA,No
오락실 의자,12207,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_1_0.png,1300,325,너굴상점,증축 후 너굴상점의 일반 가구 영역,회색,회색,구매가능,No,1x1,1_0,Gray,NA,NA,NA,NA,No,No,NA,No
오락실 의자,12207,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_2_0.png,1300,325,너굴상점,증축 후 너굴상점의 일반 가구 영역,파란색,회색,구매가능,No,1x1,2_0,Blue,NA,NA,NA,NA,No,No,NA,No
양자리 목마,5954,Aries rocking chair,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAries.png,NFS,12125,제작,,하얀색,노란색,비매품,Yes,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,No
원목 채집통,7839,artisanal bug cage,https://acnhcdn.com/latest/FtrIcon/FtrEventobjInsectBox.png,NFS,450,곤충채집대회,,갈색,갈색,비매품,No,2x1,NA,NA,NA,NA,NA,NA,No,No,NA,Yes
운석,1439,asteroid,https://acnhcdn.com/latest/FtrIcon/FtrMeteo.png,NFS,4000,제작,,검정색,검정색,비매품,Yes,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,Yes
우주 비행사,1445,astronaut suit,https://acnhcdn.com/latest/FtrIcon/FtrSpacesuit.png,NFS,6250,제작,,하얀색,검정색,비매품,Yes,1x1,NA,NA,NA,NA,NA,NA,No,No,NA,Yes
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_0_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,하얀색,하얀색,구매가능,No,1x1,0_0,White,NA,NA,NA,NA,No,No,NA,No
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_1_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,빨간색,하얀색,구매가능,No,1x1,1_0,Pink,NA,NA,NA,NA,No,No,NA,No
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_2_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,파란색,하얀색,구매가능,No,1x1,2_0,Blue,NA,NA,NA,NA,No,No,NA,No
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_3_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,초록색,하얀색,구매가능,No,1x1,3_0,Green,NA,NA,NA,NA,No,No,NA,No
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_4_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,노란색,하얀색,구매가능,No,1x1,4_0,Yellow,NA,NA,NA,NA,No,No,NA,No
세탁기,2740,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_5_0.png,4500,1125,너굴상점,증축 후 너굴상점의 일반 가구 영역,검정색,검정색,구매가능,No,1x1,5_0,Black,NA,NA,NA,NA,No,No,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,빨간색,컬러풀,구매가능,No,1x1,0_0,Red,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,빨간색,컬러풀,구매가능,No,1x1,0_1,Red,NA,Strawberry,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_2.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,빨간색,주황색,구매가능,No,1x1,0_2,Red,NA,Butterfly,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_3.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,빨간색,컬러풀,구매가능,No,1x1,0_3,Red,NA,Train,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_4.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,빨간색,컬러풀,구매가능,No,1x1,0_4,Red,NA,Paw print,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,컬러풀,구매가능,No,1x1,1_0,Pink,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,컬러풀,구매가능,No,1x1,1_1,Pink,NA,Strawberry,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_2.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,주황색,구매가능,No,1x1,1_2,Pink,NA,Butterfly,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_3.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,컬러풀,구매가능,No,1x1,1_3,Pink,NA,Train,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_4.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,분홍색,컬러풀,구매가능,No,1x1,1_4,Pink,NA,Paw print,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,컬러풀,구매가능,No,1x1,2_0,Yellow,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,컬러풀,구매가능,No,1x1,2_1,Yellow,NA,Strawberry,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_2.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,주황색,구매가능,No,1x1,2_2,Yellow,NA,Butterfly,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_3.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,컬러풀,구매가능,No,1x1,2_3,Yellow,NA,Train,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_4.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,노란색,컬러풀,구매가능,No,1x1,2_4,Yellow,NA,Paw print,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,컬러풀,구매가능,No,1x1,3_0,Green,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,컬러풀,구매가능,No,1x1,3_1,Green,NA,Strawberry,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_2.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,주황색,구매가능,No,1x1,3_2,Green,NA,Butterfly,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_3.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,컬러풀,구매가능,No,1x1,3_3,Green,NA,Train,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_4.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,초록색,컬러풀,구매가능,No,1x1,3_4,Green,NA,Paw print,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,파란색,컬러풀,구매가능,No,1x1,4_0,Blue,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,파란색,컬러풀,구매가능,No,1x1,4_1,Blue,NA,Strawberry,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_2.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,파란색,주황색,구매가능,No,1x1,4_2,Blue,NA,Butterfly,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_3.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,파란색,컬러풀,구매가능,No,1x1,4_3,Blue,NA,Train,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_4.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,파란색,컬러풀,구매가능,No,1x1,4_4,Blue,NA,Paw print,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_0.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,하얀색,컬러풀,구매가능,No,1x1,5_0,White,NA,Bear,Cushion,1,No,Yes,NA,No
유아용 의자,3305,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_5_1.png,1200,300,너굴상점,증축 전#후 너굴상점의 가구 영역,하얀색,컬러풀,구매가능,No,1x1,5_1,White,NA,Strawberry,Cushion,1,No,Yes,NA,No
