nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image
밀리터리 우산,6923,camo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOutdoor0.png,650,162,Nook's Cranny,,Green,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaOutdoor0Cropped.png
딸기 깅엄 우산,6926,candy umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham0.png,770,192,Nook's Cranny,,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham0Cropped.png
체리 우산,9949,cherry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherry0.png,5600,1400,Crafting,,Red,Red,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherry0Cropped.png
벚꽃 우산,9945,cherry-blossom umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherryblossom0.png,11200,2800,Crafting,,Pink,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherryblossom0Cropped.png
DAL 우산,9560,DAL umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaDoc0.png,4040,1010,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,Blue,Blue,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaDoc0Cropped.png
노란 물방울 우산,9955,eggy parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot1.png,750,187,Nook's Cranny,,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot1Cropped.png
오리엔탈 우산,7171,exquisite parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaChina0.png,1670,417,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yellow,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaChina0Cropped.png
메르헨 우산,7175,fairy-tale umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFairytale0.png,820,205,Nook's Cranny,,Green,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFairytale0Cropped.png
물고기 우산,8768,fish umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFish0.png,320,80,Fishing Tourney,,Blue,Light blue,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFish0Cropped.png
개구리 우산,6925,frog umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFrog0.png,1570,392,Nook's Cranny,Available in Nook's Cranny (upgraded only),Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFrog0Cropped.png
3색 우산,7180,gelato umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTricolor0.png,750,187,Nook's Cranny,,Colorful,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTricolor0Cropped.png
해나와라 우산,6924,ghost umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTeruteru0.png,1670,417,Nook's Cranny,Available in Nook's Cranny (upgraded only),White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTeruteru0Cropped.png
포도 우산,6911,grape umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGrape0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Purple,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGrape0Cropped.png
초록 시크 우산,12136,green chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace4.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace4Cropped.png
초록 우산,9960,green umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard3.png,770,192,Nook's Cranny,,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard3Cropped.png
수국 우산,6906,hydrangea umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaHydrangea0.png,750,187,Nook's Cranny,,Light blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaHydrangea0Cropped.png
가부키 우산,7177,kabuki umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaKabuki0.png,1670,417,Nook's Cranny,Available in Nook's Cranny (upgraded only),Purple,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaKabuki0Cropped.png
키위 우산,6908,kiwi umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaKiwi0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Green,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaKiwi0Cropped.png
레이스 우산,9946,lacy parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaLace0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLace0Cropped.png
무당벌레 우산,8767,ladybug umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLadybug0.png,320,80,Bug-Off,,Red,Black,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLadybug0Cropped.png
연꽃잎 우산,6840,leaf umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLeaf0.png,1200,300,Crafting,,Green,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLeaf0Cropped.png
레몬 깅엄 우산,9954,lemon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham4.png,770,192,Nook's Cranny,,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham4Cropped.png
로고 우산,7172,logo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaLogo0.png,650,162,Nook's Cranny,,Blue,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaLogo0Cropped.png
단풍잎 우산,7169,maple-leaf umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaAutumn0.png,11200,2800,Crafting,,Orange,Orange,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaAutumn0Cropped.png
새싹 깅엄 우산,9951,melon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham1.png,770,192,Nook's Cranny,,Green,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham1Cropped.png
잔꽃무늬 우산,6914,mini-flower-print umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFlorets0.png,750,187,Nook's Cranny,,Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFlorets0Cropped.png
민트 깅엄 우산,9952,mint umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham2.png,770,192,Nook's Cranny,,Brown,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham2Cropped.png
버섯 우산,7174,mush umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaMushroom0.png,4800,1200,Crafting,,Brown,Beige,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaMushroom0Cropped.png
Nook Inc. 우산,9561,Nook Inc. umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRco0.png,14000,3500,Nook Miles Shop,,Green,White,Not for sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRco0Cropped.png
오렌지 우산,6912,orange umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOrange0.png,5600,1400,Crafting,,Orange,Yellow,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaOrange0Cropped.png
팬더 우산,7170,panda umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPanda0.png,1570,392,Nook's Cranny,Available in Nook's Cranny (upgraded only),White,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPanda0Cropped.png
대나무 우산,7178,paper parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaBangasa0.png,870,217,Nook's Cranny,,Brown,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBangasa0Cropped.png
도트 무늬 비닐 우산,6918,patterned vinyl umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBoundary0.png,750,187,Nook's Cranny,,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBoundary0Cropped.png
복숭아 우산,9947,peach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPeach0.png,5600,1400,Crafting,,Pink,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPeach0Cropped.png
배 우산,9950,pear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPear0.png,5600,1400,Crafting,,Yellow,Green,Not for sale,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPear0Cropped.png
국화꽃 우산,7181,petal parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaMargaret0.png,1590,397,Nook's Cranny,Available in Nook's Cranny (upgraded only),White,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaMargaret0Cropped.png
베리 깅엄 우산,9953,picnic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham3.png,770,192,Nook's Cranny,,Purple,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham3Cropped.png
파인애플 우산,6910,pineapple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPineapple0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Yellow,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPineapple0Cropped.png
핑크 리본 레이스 우산,7176,pink shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace0.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Pink,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace0Cropped.png
핑크 우산,7164,pink umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaSchool0.png,770,192,Nook's Cranny,,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSchool0Cropped.png
보라 시크 우산,7183,purple chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacoda0.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacoda0Cropped.png
퍼플 리본 레이스 우산,12133,purple shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace1.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Purple,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace1Cropped.png
무지개 우산,7179,rainbow umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRainbow0.png,840,210,Nook's Cranny,,Colorful,Colorful,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRainbow0Cropped.png
비 내리는 우산,6913,raindrop umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRain0.png,750,187,Nook's Cranny,,Yellow,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRain0Cropped.png
빨간 시크 우산,12138,red chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace6.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),Red,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace6Cropped.png
빨간 우산,9958,red umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard1.png,770,192,Nook's Cranny,,Red,Red,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard1Cropped.png
눈꽃 우산,6905,snowflake umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCrystal0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Light blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCrystal0Cropped.png
스파이더 우산,7173,spider umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaSpider0.png,840,210,Nook's Cranny,,Black,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSpider0Cropped.png
딸기 우산,6907,strawberry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStrawberry0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Pink,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStrawberry0Cropped.png
줄무늬 우산,6916,striped umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStripe0.png,750,187,Nook's Cranny,,Gray,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStripe0Cropped.png
해바라기 우산,6904,sunny parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaSunflower0.png,750,187,Nook's Cranny,,Yellow,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaSunflower0Cropped.png
타탄 체크 우산,6917,tartan-check umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPlaid0.png,750,187,Nook's Cranny,,Red,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPlaid0Cropped.png
빨간 물방울 우산,5861,Toad parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadotRed.png,750,187,Nook's Cranny,,Red,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadotRedCropped.png
투톤 우산,7166,two-tone umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTwocolor0.png,770,192,Nook's Cranny,,Red,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTwocolor0Cropped.png
비닐 우산,7165,vinyl umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaVinyl0.png,770,192,Nook's Cranny,,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaVinyl0Cropped.png
수박 우산,6909,watermelon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaWater0.png,1550,387,Nook's Cranny,Available in Nook's Cranny (upgraded only),Red,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaWater0Cropped.png
화이트 리본 레이스 우산,12135,white shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace3.png,1620,405,Nook's Cranny,Available in Nook's Cranny (upgraded only),White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace3Cropped.png
