nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Body Customize,Pattern Customize
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_1_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,White,Gray,For sale,No,1x1,1_0,White,NA,NA,NA,NA,concert,None,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_2_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Orange,Black,For sale,No,1x1,2_0,Orange,NA,NA,NA,NA,concert,None,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_3_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Beige,For sale,No,1x1,3_0,Brown,NA,NA,NA,NA,concert,None,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_4_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,Black,For sale,No,1x1,4_0,Blue,NA,NA,NA,NA,concert,None,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_5_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Red,Black,For sale,No,1x1,5_0,Red,NA,NA,NA,NA,concert,None,None,None,No,No
앰프,849,amp,https://acnhcdn.com/latest/FtrIcon/FtrAmp_Remake_6_0.png,5100,1275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Pink,Gray,For sale,No,1x1,6_0,Pink,NA,NA,NA,NA,concert,None,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_0_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Red,White,For sale,No,1x1,0_0,Red,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_1_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,White,For sale,No,1x1,1_0,Yellow,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_2_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Green,White,For sale,No,1x1,2_0,Green,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_3_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,White,For sale,No,1x1,3_0,Blue,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_4_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Pink,White,For sale,No,1x1,4_0,Pink,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_5_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,White,For sale,No,1x1,5_0,Ivory,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_6_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Light blue,White,For sale,No,1x1,6_0,Light blue,NA,NA,NA,NA,kitchen,shop,None,None,No,No
주방용 저울,3993,analog kitchen scale,https://acnhcdn.com/latest/FtrIcon/FtrWeighing_Remake_7_0.png,1100,275,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Black,White,For sale,No,1x1,7_0,Black,NA,NA,NA,NA,kitchen,shop,None,None,No,No
멸치 모형,6999,anchovy model,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobiToy.png,NFS,600,C.J.,Trade 3 fish to receive a model in the mail the next day,Blue,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
천사어 모형,6933,angelfish model,https://acnhcdn.com/latest/FtrIcon/FtrFishAngelfishToy.png,NFS,9000,C.J.,Trade 3 fish to receive a model in the mail the next day,Yellow,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
개미 키우기 세트,11866,ant farm,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriFarm.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Green,Brown,For sale,No,1x1,NA,NA,NA,NA,NA,NA,facility,child's room,None,None,No,No
개미 모형,7053,ant model,https://acnhcdn.com/latest/FtrIcon/FtrInsectAriToy.png,NFS,240,Flick,Trade 3 insects to receive a model in the mail the next day,Black,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
안수리움,3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_0_0.png,990,247,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Red,Green,For sale,No,1x1,0_0,White,NA,NA,NA,NA,living room,None,None,None,No,No
안수리움,3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_1_0.png,990,247,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Red,Green,For sale,No,1x1,1_0,Brown,NA,NA,NA,NA,living room,None,None,None,No,No
안수리움,3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_2_0.png,990,247,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Red,Green,For sale,No,1x1,2_0,Light blue,NA,NA,NA,NA,living room,None,None,None,No,No
안수리움,3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_3_0.png,990,247,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Pink,Green,For sale,No,1x1,3_0,Pink,NA,NA,NA,NA,living room,None,None,None,No,No
안수리움,3949,anthurium plant,https://acnhcdn.com/latest/FtrIcon/FtrPlantAnthurium_Remake_4_0.png,990,247,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,White,Green,For sale,No,1x1,4_0,Black,NA,NA,NA,NA,living room,None,None,None,No,No
피라루쿠 모형,7006,arapaima model,https://acnhcdn.com/latest/FtrIcon/FtrFishPirarukuToy.png,NFS,30000,C.J.,Trade 3 fish to receive a model in the mail the next day,Black,Black,Not for sale,No,2x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_0_0.png,NFS,600,Crafting,,White,Light blue,Not for sale,Yes,1x1,0_0,White,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_1_0.png,NFS,600,Crafting,,Brown,Orange,Not for sale,Yes,1x1,1_0,Brown,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_2_0.png,NFS,600,Crafting,,Green,Green,Not for sale,Yes,1x1,2_0,Green,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_3_0.png,NFS,600,Crafting,,Pink,Pink,Not for sale,Yes,1x1,3_0,Pink,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_4_0.png,NFS,600,Crafting,,Beige,Green,Not for sale,Yes,1x1,4_0,Cream,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로마 포트,1753,aroma pot,https://acnhcdn.com/latest/FtrIcon/FtrAlomapot_Remake_5_0.png,NFS,600,Crafting,,Black,Blue,Not for sale,Yes,1x1,5_0,Black,Variation,NA,NA,1,living room,None,None,None,Yes,No
아로와나 모형,6935,arowana model,https://acnhcdn.com/latest/FtrIcon/FtrFishArowanaToy.png,NFS,30000,C.J.,Trade 3 fish to receive a model in the mail the next day,Yellow,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,White,For sale,No,1x1,0_0,Cream,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Red,For sale,No,1x1,0_1,Cream,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Blue,For sale,No,1x1,0_2,Cream,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_0_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Yellow,For sale,No,1x1,0_3,Cream,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Beige,For sale,No,1x1,1_0,Caramel mocha,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Red,For sale,No,1x1,1_1,Caramel mocha,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Blue,For sale,No,1x1,1_2,Caramel mocha,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_1_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Beige,Yellow,For sale,No,1x1,1_3,Caramel mocha,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Brown,For sale,No,1x1,2_0,Choco,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Red,For sale,No,1x1,2_1,Choco,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Blue,For sale,No,1x1,2_2,Choco,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_2_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Brown,Yellow,For sale,No,1x1,2_3,Choco,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,Pink,For sale,No,1x1,3_0,Floral,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,Red,For sale,No,1x1,3_1,Floral,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,Blue,For sale,No,1x1,3_2,Floral,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_3_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Blue,Yellow,For sale,No,1x1,3_3,Floral,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,White,For sale,No,1x1,4_0,Checkered,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,Red,For sale,No,1x1,4_1,Checkered,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,Yellow,For sale,No,1x1,4_2,Checkered,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_4_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,White,For sale,No,1x1,4_3,Checkered,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_0.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Colorful,Colorful,For sale,No,1x1,5_0,Tweed,NA,None,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_1.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Colorful,Red,For sale,No,1x1,5_1,Tweed,NA,Heart,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_2.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Colorful,Blue,For sale,No,1x1,5_2,Tweed,NA,Fish,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 곰인형,1501,Baby bear,https://acnhcdn.com/latest/FtrIcon/FtrBearS_Remake_5_3.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Colorful,Yellow,For sale,No,1x1,5_3,Tweed,NA,Star,Shirt,1,fancy,child's room,None,bear,No,Yes
작은 판다,9698,Baby panda,https://acnhcdn.com/latest/FtrIcon/FtrPandaS.png,1800,450,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Green,White,For sale,No,1x1,NA,NA,NA,NA,NA,NA,fancy,child's room,None,panda,No,No
도롱이벌레 모형,7082,bagworm model,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinomushiToy.png,NFS,1800,Flick,Trade 3 insects to receive a model in the mail the next day,Brown,Brown,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
볼,2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_0_0.png,520,130,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Orange,Black,For sale,No,1x1,0_0,Basketball,NA,NA,NA,NA,fitness,school,None,None,No,No
볼,2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_1_0.png,520,130,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,White,Black,For sale,No,1x1,1_0,Soccer ball,NA,NA,NA,NA,fitness,school,None,None,No,No
볼,2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_2_0.png,520,130,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,White,White,For sale,No,1x1,2_0,Volleyball,NA,NA,NA,NA,fitness,school,None,None,No,No
볼,2010,ball,https://acnhcdn.com/latest/FtrIcon/FtrBall_Remake_3_0.png,520,130,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,Black,For sale,No,1x1,3_0,Dodgeball,NA,NA,NA,NA,fitness,school,None,None,No,No
대나무 촛대,3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_0_0.png,NFS,880,Crafting,,Green,Beige,Not for sale,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,2,zen-style,None,bamboo,None,Yes,No
대나무 촛대,3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_1_0.png,NFS,880,Crafting,,Yellow,Beige,Not for sale,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,2,zen-style,None,bamboo,None,Yes,No
대나무 촛대,3554,bamboo candleholder,https://acnhcdn.com/latest/FtrIcon/FtrBambooCandle_Remake_2_0.png,NFS,880,Crafting,,Brown,Beige,Not for sale,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,2,zen-style,None,bamboo,None,Yes,No
대나무 드럼,4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_0_0.png,NFS,720,Crafting,,Green,Pink,Not for sale,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 드럼,4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_1_0.png,NFS,720,Crafting,,Yellow,Orange,Not for sale,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 드럼,4093,bamboo drum,https://acnhcdn.com/latest/FtrIcon/FtrBamboodrum_Remake_2_0.png,NFS,720,Crafting,,Brown,Light blue,Not for sale,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 도시락,5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_0_0.png,NFS,640,Crafting,,Green,Colorful,Not for sale,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 도시락,5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_1_0.png,NFS,640,Crafting,,Yellow,Colorful,Not for sale,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 도시락,5978,bamboo lunch box,https://acnhcdn.com/latest/FtrIcon/FtrBambooLunch_Remake_2_0.png,NFS,640,Crafting,,Brown,Colorful,Not for sale,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 공,5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_0_0.png,NFS,480,Crafting,,Green,Blue,Not for sale,Yes,1x1,0_0,Green bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 공,5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_1_0.png,NFS,480,Crafting,,Yellow,Purple,Not for sale,Yes,1x1,1_0,Dried bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
대나무 공,5976,bamboo sphere,https://acnhcdn.com/latest/FtrIcon/FtrBambooBall_Remake_2_0.png,NFS,480,Crafting,,Brown,White,Not for sale,Yes,1x1,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No
죽순 램프,5977,bamboo-shoot lamp,https://acnhcdn.com/latest/FtrIcon/FtrBambooshootLamp.png,NFS,4900,Crafting,,Brown,Beige,Not for sale,Yes,1x1,NA,NA,NA,NA,NA,NA,zen-style,None,bamboo,None,No,No
돌돔 모형,6959,barred knifejaw model,https://acnhcdn.com/latest/FtrIcon/FtrFishIshidaiToy.png,NFS,15000,C.J.,Trade 3 fish to receive a model in the mail the next day,White,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
데메니기스 모형,6943,barreleye model,https://acnhcdn.com/latest/FtrIcon/FtrFishDemenigisuToy.png,NFS,45000,C.J.,Trade 3 fish to receive a model in the mail the next day,Black,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
비치 볼,9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_0_0.png,430,107,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",Colorful,Colorful,For sale,No,1x1,0_0,Colorful,NA,NA,NA,NA,ocean,None,None,None,No,No
비치 볼,9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_1_0.png,430,107,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",Blue,White,For sale,No,1x1,1_0,Blue,NA,NA,NA,NA,ocean,None,None,None,No,No
비치 볼,9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_2_0.png,430,107,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",Red,White,For sale,No,1x1,2_0,Red,NA,NA,NA,NA,ocean,None,None,None,No,No
비치 볼,9584,beach ball,https://acnhcdn.com/latest/FtrIcon/FtrBeachball_Remake_3_0.png,430,107,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",Green,Black,For sale,No,1x1,3_0,Watermelon,NA,NA,NA,NA,ocean,None,None,None,No,No
방울벌레 모형,7096,bell cricket model,https://acnhcdn.com/latest/FtrIcon/FtrInsectSuzumushiToy.png,NFS,1290,Flick,Trade 3 insects to receive a model in the mail the next day,Black,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
베타 모형,6937,betta model,https://acnhcdn.com/latest/FtrIcon/FtrFishBetaToy.png,NFS,7500,C.J.,Trade 3 fish to receive a model in the mail the next day,Light blue,Black,Not for sale,No,1x1,NA,NA,NA,NA,NA,NA,None,None,None,None,No,No
빙고 머신,864,bingo wheel,https://acnhcdn.com/latest/FtrIcon/FtrBingo.png,1000,250,Nook's Cranny,Available in the re-buyable slot in Nook's Cranny,Yellow,Black,For sale,No,1x1,NA,NA,NA,NA,NA,NA,party,None,None,None,No,No
생일 케이크,3592,birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_0_0.png,NFS,100,Birthday,,White,Colorful,Not for sale,No,1x1,0_0,Whipped-cream topping,Variation,NA,NA,1,party,fancy,None,birthday,Yes,No
생일 케이크,3592,birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_1_0.png,NFS,100,Birthday,,Brown,Colorful,Not for sale,No,1x1,1_0,Chocolate buttercream,Variation,NA,NA,1,party,fancy,None,birthday,Yes,No
생일 케이크,3592,birthday cake,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCake_Remake_2_0.png,NFS,100,Birthday,,Pink,Colorful,Not for sale,No,1x1,2_0,Strawberry buttercream,Variation,NA,NA,1,party,fancy,None,birthday,Yes,No
생일 양초,3591,birthday candles,https://acnhcdn.com/latest/FtrIcon/FtrBirthdayCandle_Remake_0_0.png,NFS,300,Birthday,,Colorful,Colorful,Not for sale,No,1x1,0_0,Colorful,Variation,NA,NA,1,party,fancy,None,birthday,Yes,No
