nameKor,﻿Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Variant ID,Variation,Body Title,Pattern,Pattern Title,Kit Cost,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Body Customize,Pattern Customize,Door Deco
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",White,White,For sale,No,2x1 ,0_1,Signature,NA,Comedian's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,1_0,Handprints,NA,Musician's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_1.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,1_1,Handprints,NA,Comedian's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_0.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,2_0,Illustration,NA,Musician's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_1.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,2_1,Illustration,NA,Comedian's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_0.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,3_0,Words of wisdom,NA,Musician's signature,Signature,1,school,den,None,None,No,Yes,No
두꺼운 종이,1899,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_1.png,1400,350,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Beige,White,For sale,No,2x1 ,3_1,Words of wisdom,NA,Comedian's signature,Signature,1,school,den,None,None,No,Yes,No
대나무 꽃병,3558,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png,NFS,160,Crafting,,Green,Red,Not for sale,Yes,0.5x1 ,0_0,Green bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No,No
대나무 꽃병,3558,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_1_0.png,NFS,160,Crafting,,Yellow,Red,Not for sale,Yes,0.5x1 ,1_0,Dried bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No,No
대나무 꽃병,3558,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_2_0.png,NFS,160,Crafting,,Brown,Green,Not for sale,Yes,0.5x1 ,2_0,Smoke-cured bamboo,Bamboo,NA,NA,1,zen-style,None,bamboo,None,Yes,No,No
욕실 수건 걸이,4030,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Gray,White,For sale,No,1x1 ,0_0,Silver,NA,NA,NA,NA,bathroom,None,None,None,No,No,No
욕실 수건 걸이,4030,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_1_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Yellow,Brown,For sale,No,1x1 ,1_0,Gold,NA,NA,NA,NA,bathroom,None,None,None,No,No,No
욕실 수건 걸이,4030,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_2_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Brown,Pink,For sale,No,1x1 ,2_0,Copper,NA,NA,NA,NA,bathroom,None,None,None,No,No,No
욕실 수건 걸이,4030,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_3_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Black,Gray,For sale,No,1x1 ,3_0,Black,NA,NA,NA,NA,bathroom,None,None,None,No,No,No
파란 장미 리스,5772,blue rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,NFS,20000,Crafting,,Blue,Blue,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_0_0.png,NFS,360,Crafting,,Brown,Beige,Not for sale,Yes,1x1 ,0_0,Brown,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_1_0.png,NFS,360,Crafting,,White,Red,Not for sale,Yes,1x1 ,1_0,White,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_2_0.png,NFS,360,Crafting,,Black,Beige,Not for sale,Yes,1x1 ,2_0,Black,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_3_0.png,NFS,360,Crafting,,Pink,Red,Not for sale,Yes,1x1 ,3_0,Pink,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_4_0.png,NFS,360,Crafting,,Red,Beige,Not for sale,Yes,1x1 ,4_0,Red,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_5_0.png,NFS,360,Crafting,,Yellow,Brown,Not for sale,Yes,1x1 ,5_0,Yellow,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_6_0.png,NFS,360,Crafting,,Blue,White,Not for sale,Yes,1x1 ,6_0,Blue,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
뼈다귀 문패,4751,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_7_0.png,NFS,360,Crafting,,Beige,Brown,Not for sale,Yes,1x1 ,7_0,Natural wood,Color,NA,NA,1,child's room,living room,None,None,Yes,No,Yes
부메랑,682,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_0_0.png,NFS,360,Crafting,,Brown,Beige,Not for sale,Yes,1x0.5 ,0_0,Natural,Design,NA,NA,1,child's room,None,None,None,Yes,No,No
부메랑,682,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_1_0.png,NFS,360,Crafting,,Green,Orange,Not for sale,Yes,1x0.5 ,1_0,Green & orange,Design,NA,NA,1,child's room,None,None,None,Yes,No,No
부메랑,682,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_2_0.png,NFS,360,Crafting,,Brown,Black,Not for sale,Yes,1x0.5 ,2_0,Dark brown,Design,NA,NA,1,child's room,None,None,None,Yes,No,No
부메랑,682,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_3_0.png,NFS,360,Crafting,,Red,Black,Not for sale,Yes,1x0.5 ,3_0,Red & black,Design,NA,NA,1,child's room,None,None,None,Yes,No,No
부메랑,682,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_4_0.png,NFS,360,Crafting,,White,Light blue,Not for sale,Yes,1x0.5 ,4_0,White & blue,Design,NA,NA,1,child's room,None,None,None,Yes,No,No
전원 차단기,875,breaker,https://acnhcdn.com/latest/FtrIcon/FtrBreaker.png,820,205,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",White,Black,For sale,No,1x1 ,NA,NA,NA,NA,NA,NA,garage,facility,None,None,No,No,No
아카데미 동 상패,7037,bronze HHA plaque,https://acnhcdn.com/latest/FtrIcon/FtrShieldHhaBronze.png,NFS,400,HHA,,Brown,Red,Not for sale,No,1x1 ,NA,NA,NA,NA,NA,NA,living room,expensive,None,None,No,No,No
빗자루와 쓰레받기,3967,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_0_0.png,910,227,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Brown,Gray,For sale,No,1x1.5 ,0_0,Natural,NA,NA,NA,NA,school,None,None,None,No,No,No
빗자루와 쓰레받기,3967,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_1_0.png,910,227,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,Gray,For sale,No,1x1.5 ,1_0,White,NA,NA,NA,NA,school,None,None,None,No,No,No
빗자루와 쓰레받기,3967,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_2_0.png,910,227,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Brown,Black,For sale,No,1x1.5 ,2_0,Dark brown,NA,NA,NA,NA,school,None,None,None,No,No,No
빗자루와 쓰레받기,3967,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_3_0.png,910,227,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Pink,Brown,For sale,No,1x1.5 ,3_0,Colorful,NA,NA,NA,NA,school,None,None,None,No,No,No
곤충 벽장식,12485,bug plaque,https://acnhcdn.com/latest/FtrIcon/FtrMuseumInsectWall.png,1200,300,International Museum Day,Reward for completing the Stamp Rally in the bug exhibit,Yellow,Brown,Not for sale,No,1x1,0_0,NA,NA,NA,NA,NA,expensive,den,None,None,No,No,No
이스터 라이트 가랜드,12417,Bunny Day glowy garland,https://acnhcdn.com/latest/FtrIcon/FtrEggLampWall.png,NFS,2400,Crafting,,Colorful,Colorful,Not for sale,Yes,2x1,NA,NA,NA,NA,NA,NA,fancy,party,Bunny Day,None,No,No,No
이스터 벽시계,12418,Bunny Day wall clock,https://acnhcdn.com/latest/FtrIcon/FtrEggClock.png,NFS,1200,Crafting,,Light blue,Colorful,Not for sale,Yes,1x1.5,NA,NA,NA,NA,NA,NA,fancy,None,Bunny Day,None,No,No,No
이스터 리스,12517,Bunny Day wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathEaster.png,NFS,2400,Crafting,,None,None,Not for sale,Yes,1x1,NA,NA,NA,NA,NA,NA,fancy,party,Bunny Day,None,No,No,Yes
나비고기 벽장식,11182,butterfly-fish model,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuoWall.png,1300,325,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Yellow,Yellow,For sale,No,1x1 ,NA,NA,NA,NA,NA,NA,ocean,facility,None,None,No,No,No
체리 램프,4012,cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_0_0.png,NFS,2400,Crafting,,Red,Green,Not for sale,Yes,1x1 ,0_0,Cherry,Fruit type,NA,NA,4,fancy,None,fruits,cherry,Yes,No,No
체리 램프,4012,cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_1_0.png,NFS,2400,Crafting,,Red,Green,Not for sale,Yes,1x1 ,1_0,Black cherry,Fruit type,NA,NA,4,fancy,None,fruits,cherry,Yes,No,No
벚꽃 시계,6832,cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_0_0.png,NFS,2750,Crafting,,Pink,Pink,Not for sale,Yes,1x1 ,0_0,Pink,Color,NA,NA,4,fancy,None,cherry blossoms,None,Yes,No,No
벚꽃 시계,6832,cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_1_0.png,NFS,2750,Crafting,,Pink,White,Not for sale,Yes,1x1 ,1_0,Pink-white,Color,NA,NA,4,fancy,None,cherry blossoms,None,Yes,No,No
시크 코스모스 리스,5764,chic cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmosRare.png,NFS,4800,Crafting,,Black,Black,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
시크 아네모네 리스,5765,chic windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneRare.png,NFS,4800,Crafting,,Purple,Purple,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
야자 벽걸이 화분,4130,coconut wall planter,https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png,NFS,600,Crafting,,Green,Beige,Not for sale,Yes,1x1.5 ,NA,NA,NA,NA,NA,NA,ocean,living room,None,None,No,No,No
쿨 히아신스 리스,5750,cool hyacinth wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathHyacinthMix.png,NFS,1440,Crafting,,Blue,Orange,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
쿨 팬지 리스,5767,cool pansy wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathPansyRare.png,NFS,4800,Crafting,,Purple,Purple,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
쿨 아네모네 리스,5746,cool windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneMix.png,NFS,1200,Crafting,,Blue,Blue,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Beige,Red,For sale,No,2x1 ,0_0,Natural,NA,Apple,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_1.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Beige,Blue,For sale,No,2x1 ,0_1,Natural,NA,Fish,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_2.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Beige,Green,For sale,No,2x1 ,0_2,Natural,NA,Flower,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,Red,For sale,No,2x1 ,1_0,White,NA,Apple,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_1.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,Blue,For sale,No,2x1 ,1_1,White,NA,Fish,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_2.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,Green,For sale,No,2x1 ,1_2,White,NA,Flower,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_0.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Blue,Red,For sale,No,2x1 ,2_0,Blue,NA,Apple,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_1.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Blue,Blue,For sale,No,2x1 ,2_1,Blue,NA,Fish,Favorite card,1,school,office,None,None,No,Yes,No
코르크 보드,1783,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_2.png,1400,350,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Blue,Green,For sale,No,2x1 ,2_2,Blue,NA,Flower,Favorite card,1,school,office,None,None,No,Yes,No
코스모스 리스,4293,cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmos.png,NFS,720,Crafting,,Red,Yellow,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,None,flowers,None,No,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_0_0.png,NFS,3000,Crafting,,Gray,Black,Not for sale,Yes,1x1 ,0_0,Silver,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_1_0.png,NFS,3000,Crafting,,Yellow,Gray,Not for sale,Yes,1x1 ,1_0,Gold & silver,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_2_0.png,NFS,3000,Crafting,,Gray,Blue,Not for sale,Yes,1x1 ,2_0,Silver & blue,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_3_0.png,NFS,3000,Crafting,,Red,White,Not for sale,Yes,1x1 ,3_0,Red & white,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_4_0.png,NFS,3000,Crafting,,Gray,Green,Not for sale,Yes,1x1 ,4_0,Silver & green,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
엠블럼 문패,5717,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_5_0.png,NFS,3000,Crafting,,,,Not for sale,Yes,1x1 ,5_0,Colorful,Color,NA,NA,1,expensive,None,None,None,Yes,No,Yes
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_0_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Beige,Beige,For sale,No,1x1.5 ,0_0,Natural,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_1_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Green,Brown,For sale,No,1x1.5 ,1_0,Green,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_2_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Blue,Brown,For sale,No,1x1.5 ,2_0,Blue,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_3_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Yellow,Beige,For sale,No,1x1.5 ,3_0,Yellow,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_4_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Red,Brown,For sale,No,1x1.5 ,4_0,Red,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_5_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,White,White,For sale,No,1x1.5 ,5_0,White,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
뻐꾸기 시계,915,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_6_0.png,3200,800,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,Black,Black,For sale,No,1x1.5 ,6_0,Black,NA,NA,NA,NA,living room,child's room,None,None,No,No,No
큐트 벽시계,3996,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_0_0.png,1200,300,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",White,Pink,For sale,No,1x1 ,0_0,White,NA,NA,NA,NA,fancy,None,cute,None,No,No,No
큐트 벽시계,3996,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_1_0.png,1200,300,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Light blue,Blue,For sale,No,1x1 ,1_0,Sky blue,NA,NA,NA,NA,fancy,None,cute,None,No,No,No
큐트 벽시계,3996,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_2_0.png,1200,300,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Yellow,Orange,For sale,No,1x1 ,2_0,Yellow,NA,NA,NA,NA,fancy,None,cute,None,No,No,No
큐트 벽시계,3996,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_3_0.png,1200,300,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Red,Red,For sale,No,1x1 ,3_0,Red,NA,NA,NA,NA,fancy,None,cute,None,No,No,No
큐트 벽시계,3996,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_4_0.png,1200,300,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",Blue,Black,For sale,No,1x1 ,4_0,Blue,NA,NA,NA,NA,fancy,None,cute,None,No,No,No
다크 백합 리스,5770,dark lily wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathYuriRare.png,NFS,1600,Crafting,,Black,Black,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,horror,flowers,None,No,No,Yes
다크 장미 리스,5766,dark rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseRare.png,NFS,4320,Crafting,,Black,Purple,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,horror,flowers,None,No,No,Yes
다크 튤립 리스,5771,dark tulip wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathTulipRare.png,NFS,1600,Crafting,,Black,Black,Not for sale,Yes,1x1 ,NA,NA,NA,NA,NA,NA,fancy,horror,flowers,None,No,No,Yes
사슴 장식,3340,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_0_0.png,NFS,960,Crafting,,Orange,Orange,Not for sale,Yes,1x1.5 ,0_0,Natural,Paint color,NA,NA,2,living room,None,None,None,Yes,No,No
