Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Variant ID,Internal ID
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_3_0.png,Pink,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_4_0.png,Green,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_5_0.png,Purple,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_6_0.png,White,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8577
colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_7_0.png,Black,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8577
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_1_0.png,Red,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_2_0.png,Blue,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_3_0.png,Pink,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_4_0.png,Green,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_5_0.png,Purple,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_6_0.png,White,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8580
colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_7_0.png,Black,Color,No,Yes,1,20,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8580
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_1_0.png,Red,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_2_0.png,Blue,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_3_0.png,Pink,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_4_0.png,Green,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_5_0.png,Purple,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_6_0.png,White,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8534
colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_7_0.png,Black,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8534
cosmos wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCosmos.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5092
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_0_0.png,Gray,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_1_0.png,Green,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_2_0.png,Blue,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_3_0.png,Pink,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_4_0.png,Red,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_5_0.png,Yellow,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_6_0.png,Light blue,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8535
elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_7_0.png,Black,Color,No,Yes,1,60,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8535
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_0_0.png,Green,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_1_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_2_0.png,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_3_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_4_0.png,Blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_5_0.png,Purple,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_6_0.png,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8471
fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_7_0.png,Red,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8471
fish wand,https://acnhcdn.com/latest/FtrIcon/ToolStickFish.png,NA,NA,No,No,NA,Unlimited,1,NFS,1500,None,None,1x1,Fishing Tourney,,NA,8770
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_0_0.png,Blue,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,0_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_1_0.png,Yellow,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,1_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_2_0.png,Green,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,2_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_3_0.png,Red,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,3_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_4_0.png,Purple,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,4_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_5_0.png,Pink,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,5_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_6_0.png,White,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,6_0,2377
fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_7_0.png,Black,Color,Yes,Yes,1,30,1,NFS,600,None,None,1x1,Crafting,,7_0,2377
flimsy axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeStone.png,NA,NA,Yes,No,NA,40,1,800,200,None,None,1x1,Nook's Cranny; Crafting,Available after unlocking the axe in the story,NA,3068
flimsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodWood.png,NA,NA,Yes,No,NA,9.5,1,NFS,100,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,3084
flimsy net,https://acnhcdn.com/latest/FtrIcon/ToolNet.png,NA,NA,Yes,No,NA,10,1,NFS,100,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,2376
flimsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolShovelWood.png,NA,NA,Yes,No,NA,40,1,800,200,None,None,1x1,Nook's Cranny; Crafting,Available after unlocking the shovel in the story,NA,3082
flimsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringWood.png,NA,NA,Yes,No,NA,20,1,800,200,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",NA,3083
golden axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeGold.png,NA,NA,Yes,No,NA,200,1,NFS,10655,None,None,1x1,Crafting,,NA,9617
golden net,https://acnhcdn.com/latest/FtrIcon/ToolNetGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,None,None,1x1,Crafting,,NA,8179
golden rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,None,None,1x1,Crafting,,NA,8660
golden shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopGold.png,NA,NA,Yes,No,NA,200,1,NFS,10675,None,None,1x1,Crafting,,NA,8574
golden slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotGold.png,NA,NA,Yes,No,NA,60,1,NFS,10300,None,None,1x1,Crafting,,NA,8578
golden wand,https://acnhcdn.com/latest/FtrIcon/ToolStickGolden.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,20750,None,None,1x1,Crafting,,NA,7591
golden watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringGold.png,NA,NA,Yes,No,NA,180,1,NFS,10675,None,None,1x1,Crafting,,NA,8533
hyacinth wand,https://acnhcdn.com/latest/FtrIcon/ToolStickHyacinth.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1660,None,None,1x1,Crafting,,NA,5083
ice wand,https://acnhcdn.com/latest/FtrIcon/ToolStickSnow.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,6500,None,None,1x1,Crafting,,NA,7585
iron wand,https://acnhcdn.com/latest/FtrIcon/ToolStickIron.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3750,None,None,1x1,Crafting,,NA,7592
ladder,https://acnhcdn.com/latest/FtrIcon/ToolLadder.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1440,None,None,1x1,Crafting,,NA,2615
light stick,https://acnhcdn.com/latest/FtrIcon/ToolSticklight.png,NA,NA,No,No,NA,Unlimited,1,1500,375,None,None,1x1,Isabelle,Obtained by speaking to Isabelle on New Year's Eve,NA,5741
lily wand,https://acnhcdn.com/latest/FtrIcon/ToolStickYuri.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5094
mums wand,https://acnhcdn.com/latest/FtrIcon/ToolStickChrysanthemum.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,None,None,1x1,Crafting,,NA,5095
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_0_0.png,Ordinary mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,None,None,1x1,Crafting,,0_0,7588
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_1_0.png,White mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,None,None,1x1,Crafting,,1_0,7588
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_2_0.png,Strange mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,None,None,1x1,Crafting,,2_0,7588
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_3_0.png,Red mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,None,None,1x1,Crafting,,3_0,7588
mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_4_0.png,Yellow mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,None,None,1x1,Crafting,,4_0,7588
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_0_0.png,Red,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",0_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_1_0.png,Yellow,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_2_0.png,Green,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",2_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_3_0.png,Blue,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",3_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_4_0.png,Purple,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",4_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_5_0.png,Pink,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",5_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_6_0.png,White,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",6_0,5784
net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_7_0.png,Black,Color,Yes,Yes,1,20,1,900,225,None,None,1x1,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",7_0,5784
Nook Inc. uchiwa fan,https://acnhcdn.com/latest/FtrIcon/ToolFanNook0.png,NA,NA,No,No,NA,Unlimited,1,8000,2000,Green,White,1x1,Nook Miles Shop,,NA,9762
ocarina,https://acnhcdn.com/latest/FtrIcon/ToolOcarina.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1000,None,None,1x1,Crafting,,NA,5320
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8473
outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8473
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),4_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),5_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),6_0,8178
outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),7_0,8178
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),0_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),1_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),2_0,8575
outdoorsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,100,1,2500,625,None,None,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),3_0,8575
