Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Tag,Door Deco,Catalog,Variant ID,Internal ID
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png,Silver,NA,NA,NA,No,No,No,NA,1400,350,Gray,White,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,Bathroom Things,No,For sale,0_0,4030
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_1_0.png,Gold,NA,NA,NA,No,No,No,NA,1400,350,Yellow,Brown,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,Bathroom Things,No,For sale,1_0,4030
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_2_0.png,Copper,NA,NA,NA,No,No,No,NA,1400,350,Brown,Pink,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,Bathroom Things,No,For sale,2_0,4030
bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_3_0.png,Black,NA,NA,NA,No,No,No,NA,1400,350,Black,Gray,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,Bathroom Things,No,For sale,3_0,4030
blue rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,20000,Blue,Blue,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5772
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_0_0.png,Brown,Color,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,0_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_1_0.png,White,Color,NA,NA,Yes,Yes,No,1,NFS,360,White,Red,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,1_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_2_0.png,Black,Color,NA,NA,Yes,Yes,No,1,NFS,360,Black,Beige,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,2_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_3_0.png,Pink,Color,NA,NA,Yes,Yes,No,1,NFS,360,Pink,Red,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,3_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_4_0.png,Red,Color,NA,NA,Yes,Yes,No,1,NFS,360,Red,Beige,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,4_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_5_0.png,Yellow,Color,NA,NA,Yes,Yes,No,1,NFS,360,Yellow,Brown,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,5_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_6_0.png,Blue,Color,NA,NA,Yes,Yes,No,1,NFS,360,Blue,White,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,6_0,4751
bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_7_0.png,Natural wood,Color,NA,NA,Yes,Yes,No,1,NFS,360,Beige,Brown,1x1 ,Crafting,,child's room,living room,None,None,House Door Decor,Yes,Not for sale,7_0,4751
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_0_0.png,Natural,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Beige,1x0.5 ,Crafting,,child's room,None,None,None,Toy,No,Not for sale,0_0,682
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_1_0.png,Green & orange,Design,NA,NA,Yes,Yes,No,1,NFS,360,Green,Orange,1x0.5 ,Crafting,,child's room,None,None,None,Toy,No,Not for sale,1_0,682
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_2_0.png,Dark brown,Design,NA,NA,Yes,Yes,No,1,NFS,360,Brown,Black,1x0.5 ,Crafting,,child's room,None,None,None,Toy,No,Not for sale,2_0,682
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_3_0.png,Red & black,Design,NA,NA,Yes,Yes,No,1,NFS,360,Red,Black,1x0.5 ,Crafting,,child's room,None,None,None,Toy,No,Not for sale,3_0,682
boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_4_0.png,White & blue,Design,NA,NA,Yes,Yes,No,1,NFS,360,White,Light blue,1x0.5 ,Crafting,,child's room,None,None,None,Toy,No,Not for sale,4_0,682
breaker,https://acnhcdn.com/latest/FtrIcon/FtrBreaker.png,NA,NA,NA,NA,No,No,No,NA,820,205,White,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",garage,facility,None,None,Home Appliances,No,For sale,NA,875
bronze HHA plaque,https://acnhcdn.com/latest/FtrIcon/FtrShieldHhaBronze.png,NA,NA,NA,NA,No,No,No,NA,NFS,400,Brown,Red,1x1 ,HHA,,living room,expensive,None,None,Museum,No,Not for sale,NA,7037
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,910,227,Brown,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,Supplies,No,For sale,0_0,3967
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,910,227,White,Gray,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,Supplies,No,For sale,1_0,3967
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_2_0.png,Dark brown,NA,NA,NA,No,No,No,NA,910,227,Brown,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,Supplies,No,For sale,2_0,3967
broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_3_0.png,Colorful,NA,NA,NA,No,No,No,NA,910,227,Pink,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,Supplies,No,For sale,3_0,3967
bug plaque,https://acnhcdn.com/latest/FtrIcon/FtrMuseumInsectWall.png,NA,NA,NA,NA,No,No,No,NA,1200,300,Yellow,Brown,1x1,International Museum Day,Reward for completing the Stamp Rally in the bug exhibit,expensive,den,None,None,Museum,No,Not for sale,0_0,12485
Bunny Day glowy garland,https://acnhcdn.com/latest/FtrIcon/FtrEggLampWall.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,Colorful,Colorful,2x1,Crafting,,fancy,party,Bunny Day,None,Lamp,No,Not for sale,NA,12417
Bunny Day wall clock,https://acnhcdn.com/latest/FtrIcon/FtrEggClock.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Light blue,Colorful,1x1.5,Crafting,,fancy,None,Bunny Day,None,Clock,No,Not for sale,NA,12418
Bunny Day wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathEaster.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,None,None,1x1,Crafting,,fancy,party,Bunny Day,None,House Door Decor,Yes,Not for sale,NA,12517
butterfly-fish model,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuoWall.png,NA,NA,NA,NA,No,No,No,NA,1300,325,Yellow,Yellow,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",ocean,facility,None,None,Special Fish,No,For sale,NA,11182
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_0_0.png,Cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,fancy,None,fruits,cherry,Lamp,No,Not for sale,0_0,4012
cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_1_0.png,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,Red,Green,1x1 ,Crafting,,fancy,None,fruits,cherry,Lamp,No,Not for sale,1_0,4012
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_0_0.png,Pink,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,Pink,1x1 ,Crafting,,fancy,None,cherry blossoms,None,Clock,No,Not for sale,0_0,6832
cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_1_0.png,Pink-white,Color,NA,NA,Yes,Yes,No,4,NFS,2750,Pink,White,1x1 ,Crafting,,fancy,None,cherry blossoms,None,Clock,No,Not for sale,1_0,6832
chic cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmosRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Black,Black,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5764
chic windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5765
coconut wall planter,https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,600,Green,Beige,1x1.5 ,Crafting,,ocean,living room,None,None,Plants,No,Not for sale,NA,4130
cool hyacinth wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathHyacinthMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1440,Blue,Orange,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5750
cool pansy wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathPansyRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,Purple,Purple,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5767
cool windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,Blue,Blue,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,5746
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_0.png,Natural,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Beige,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,0_0,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_1.png,Natural,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Beige,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,0_1,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_2.png,Natural,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Beige,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,0_2,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_0.png,White,NA,Apple,Favorite card,No,No,Yes,1,1400,350,White,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,1_0,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_1.png,White,NA,Fish,Favorite card,No,No,Yes,1,1400,350,White,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,1_1,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_2.png,White,NA,Flower,Favorite card,No,No,Yes,1,1400,350,White,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,1_2,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_0.png,Blue,NA,Apple,Favorite card,No,No,Yes,1,1400,350,Blue,Red,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,2_0,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_1.png,Blue,NA,Fish,Favorite card,No,No,Yes,1,1400,350,Blue,Blue,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,2_1,1783
corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_2.png,Blue,NA,Flower,Favorite card,No,No,Yes,1,1400,350,Blue,Green,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,Study,No,For sale,2_2,1783
cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmos.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,720,Red,Yellow,1x1 ,Crafting,,fancy,None,flowers,None,House Door Decor,Yes,Not for sale,NA,4293
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_0_0.png,Silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Black,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,0_0,5717
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_1_0.png,Gold & silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Yellow,Gray,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,1_0,5717
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_2_0.png,Silver & blue,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Blue,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,2_0,5717
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_3_0.png,Red & white,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Red,White,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,3_0,5717
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_4_0.png,Silver & green,Color,NA,NA,Yes,Yes,No,1,NFS,3000,Gray,Green,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,4_0,5717
crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_5_0.png,Colorful,Color,NA,NA,Yes,Yes,No,1,NFS,3000,,,1x1 ,Crafting,,expensive,None,None,None,House Door Decor,Yes,Not for sale,5_0,5717
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,3200,800,Beige,Beige,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,0_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_1_0.png,Green,NA,NA,NA,No,No,No,NA,3200,800,Green,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,1_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,3200,800,Blue,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,2_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_3_0.png,Yellow,NA,NA,NA,No,No,No,NA,3200,800,Yellow,Beige,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,3_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_4_0.png,Red,NA,NA,NA,No,No,No,NA,3200,800,Red,Brown,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,4_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_5_0.png,White,NA,NA,NA,No,No,No,NA,3200,800,White,White,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,5_0,915
cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_6_0.png,Black,NA,NA,NA,No,No,No,NA,3200,800,Black,Black,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Clock,No,For sale,6_0,915
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1200,300,White,Pink,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Clock,No,For sale,0_0,3996
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,1200,300,Light blue,Blue,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Clock,No,For sale,1_0,3996
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,1200,300,Yellow,Orange,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Clock,No,For sale,2_0,3996
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,1200,300,Red,Red,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Clock,No,For sale,3_0,3996
cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,1200,300,Blue,Black,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Clock,No,For sale,4_0,3996
dark lily wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathYuriRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,Black,Black,1x1 ,Crafting,,fancy,horror,flowers,None,House Door Decor,Yes,Not for sale,NA,5770
dark rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4320,Black,Purple,1x1 ,Crafting,,fancy,horror,flowers,None,House Door Decor,Yes,Not for sale,NA,5766
dark tulip wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathTulipRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,Black,Black,1x1 ,Crafting,,fancy,horror,flowers,None,House Door Decor,Yes,Not for sale,NA,5771
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_0_0.png,Natural,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Orange,Orange,1x1.5 ,Crafting,,living room,None,None,None,Animal,No,Not for sale,0_0,3340
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_1_0.png,Ash,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Beige,Beige,1x1.5 ,Crafting,,living room,None,None,None,Animal,No,Not for sale,1_0,3340
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_2_0.png,Ivory,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Yellow,Yellow,1x1.5 ,Crafting,,living room,None,None,None,Animal,No,Not for sale,2_0,3340
deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_3_0.png,White,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,White,White,1x1.5 ,Crafting,,living room,None,None,None,Animal,No,Not for sale,3_0,3340
