Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,Miles Price
7331,peach rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPeachM00.png,NFS,1200,Crafting,Medium rug,Pink,Pink,Not for sale,Yes,3x3 ,fancy,child's room,fruits,NA
7532,peach stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL01.png,2000,500,사하라,Large rug,Pink,White,For sale,No,4x3 ,fancy,child's room,None,NA
7332,pear rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPearM00.png,NFS,1200,Crafting,,Green,Green,Not for sale,Yes,3x3 ,fancy,child's room,fruits,NA
7322,pink heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM00.png,1500,375,사하라,Medium rug,Pink,Pink,For sale,No,3x3 ,fancy,child's room,None,NA
7365,pink rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM00.png,1500,375,사하라,Medium rug,Pink,Pink,For sale,No,3x3 ,fancy,expensive,None,NA
7580,purple heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM02.png,1500,375,사하라,Medium rug,Purple,Pink,For sale,No,3x3 ,fancy,child's room,None,NA
8037,purple Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL03.png,2000,500,사하라,Large rug,Purple,Beige,For sale,No,5x5 ,expensive,living room,None,NA
9562,purple shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL03.png,2000,500,사하라,Large rug,Purple,Purple,For sale,No,5x5 ,living room,None,None,NA
8466,red argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL01.png,2000,500,사하라,Large rug,Red,Red,For sale,No,4x3 ,living room,expensive,None,NA
11101,red blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM00.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x3 ,living room,None,None,NA
7348,red carpet,https://acnhcdn.com/latest/FtrIcon/RugRectElegantM00.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x2 ,expensive,None,None,NA
7465,red dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL02.png,2000,500,사하라,Large rug,Red,Red,For sale,No,4x3 ,fancy,child's room,None,NA
9313,red kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL00.png,2000,500,사하라,Large rug,Red,Red,For sale,No,5x5 ,living room,None,None,NA
9545,red medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM01.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x3 ,living room,child's room,None,NA
9312,red message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS03.png,1000,250,사하라,Small rug,Red,Red,For sale,No,2x1 ,child's room,None,None,NA
7347,red Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL00.png,2000,500,사하라,Large rug,Red,Beige,For sale,No,5x5 ,expensive,living room,None,NA
8758,red rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM01.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x3 ,fancy,expensive,flowers,NA
9548,red small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS01.png,1000,250,사하라,Small rug,Red,Red,For sale,No,2x2 ,living room,child's room,None,NA
7405,red vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM02.png,1500,375,사하라,Medium rug,Red,Colorful,For sale,No,3x2 ,garden,None,None,NA
7457,red wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL03.png,2000,500,사하라,Large rug,Red,Yellow,For sale,No,4x3 ,living room,child's room,None,NA
12465,red wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM02.png,1500,375,,Medium rug,None,None,Not for sale,No,3x2,party,expensive,wedding,NA
7343,red-and-blue checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL00.png,2000,500,사하라,Large rug,Red,Blue,For sale,No,4x4 ,living room,child's room,None,NA
7340,red-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS00.png,1000,250,사하라,Small rug,Red,Black,For sale,No,2x1 ,kitchen,None,None,NA
7466,retro dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL01.png,2000,500,사하라,Large rug,Green,Green,For sale,No,4x3 ,fancy,child's room,None,NA
7324,rough rug,https://acnhcdn.com/latest/FtrIcon/RugRectDoormatS00.png,1000,250,사하라,Small rug,Brown,Brown,For sale,No,2x1 ,school,facility,None,NA
7339,rubber mud mat,https://acnhcdn.com/latest/FtrIcon/RugRectRubberScraperS00.png,1000,250,사하라,Small rug,Green,Green,For sale,No,2x1 ,school,None,None,NA
7345,shanty mat,https://acnhcdn.com/latest/FtrIcon/RugSquareOldStrawL00.png,2000,500,사하라,Large rug,Brown,Beige,For sale,No,4x4 ,zen-style,None,None,NA
7362,shell rug,https://acnhcdn.com/latest/FtrIcon/RugOtherShellM00.png,NFS,5400,Crafting,,Beige,Pink,Not for sale,Yes,3x3 ,ocean,fancy,shell,NA
7516,simple green bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS03.png,1000,250,사하라,Small rug,Green,Green,For sale,No,2x1 ,bathroom,None,None,NA
7524,simple medium avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM03.png,1500,375,사하라,Medium rug,Green,Green,For sale,No,3x3 ,living room,facility,None,NA
7539,simple medium black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM07.png,1500,375,사하라,Medium rug,Black,Black,For sale,No,3x3 ,living room,facility,None,NA
7523,simple medium blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM02.png,1500,375,사하라,Medium rug,Blue,Blue,For sale,No,3x3 ,living room,facility,None,NA
7519,simple medium brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM01.png,1500,375,사하라,Medium rug,Brown,Brown,For sale,No,3x3 ,living room,facility,None,NA
7536,simple medium orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM05.png,1500,375,사하라,Medium rug,Orange,Orange,For sale,No,3x3 ,living room,facility,None,NA
7538,simple medium purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM06.png,1500,375,사하라,Medium rug,Purple,Purple,For sale,No,3x3 ,living room,facility,None,NA
7540,simple medium red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM04.png,1500,375,사하라,Medium rug,Red,Red,For sale,No,3x3 ,living room,facility,None,NA
7518,simple navy bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS01.png,1000,250,사하라,Small rug,Gray,Gray,For sale,No,2x1 ,bathroom,None,None,NA
7517,simple pink bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS02.png,1000,250,사하라,Small rug,Pink,Pink,For sale,No,2x1 ,bathroom,None,None,NA
7520,simple small avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS03.png,1000,250,사하라,Small rug,Green,Green,For sale,No,2x2 ,living room,facility,None,NA
7543,simple small black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS07.png,1000,250,사하라,Small rug,Black,Black,For sale,No,2x2 ,living room,facility,None,NA
7521,simple small blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS02.png,1000,250,사하라,Small rug,Blue,Blue,For sale,No,2x2 ,living room,facility,None,NA
7522,simple small brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS01.png,1000,250,사하라,Small rug,Brown,Brown,For sale,No,2x2 ,living room,facility,None,NA
7541,simple small orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS05.png,1000,250,사하라,Small rug,Orange,Orange,For sale,No,2x2 ,living room,facility,None,NA
7542,simple small purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS06.png,1000,250,사하라,Small rug,Purple,Purple,For sale,No,2x2 ,living room,facility,None,NA
7537,simple small red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS04.png,1000,250,사하라,Small rug,Red,Red,For sale,No,2x2 ,living room,facility,None,NA
7371,sloppy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherSloppyL00.png,2000,500,사하라,Large rug,Light blue,Light blue,For sale,No,4x4 ,living room,child's room,None,NA
7346,snowflake rug,https://acnhcdn.com/latest/FtrIcon/RugRoundSnowM00.png,1500,375,사하라,Medium rug,Light blue,White,For sale,No,3x3 ,freezing cold,fancy,None,NA
7369,tatami mat,https://acnhcdn.com/latest/FtrIcon/RugRectTatamiM00.png,1500,375,사하라,Medium rug,Green,Yellow,For sale,No,3x2 ,zen-style,None,None,NA
7358,tropical rug,https://acnhcdn.com/latest/FtrIcon/RugRoundIslandM00.png,1500,375,사하라,Medium rug,Green,Beige,For sale,No,3x3 ,ocean,None,None,NA
7579,turquoise heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM01.png,1500,375,사하라,Medium rug,Light blue,Light blue,For sale,No,3x3 ,fancy,child's room,None,NA
7578,white heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM03.png,1500,375,사하라,Medium rug,White,White,For sale,No,3x3 ,fancy,child's room,None,NA
7338,white message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS00.png,1000,250,사하라,Small rug,White,White,For sale,No,2x1 ,child's room,None,None,NA
8757,white rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM03.png,1500,375,사하라,Medium rug,White,White,For sale,No,3x3 ,fancy,expensive,flowers,NA
7335,white simple medium mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM00.png,1500,375,사하라,Medium rug,Beige,White,For sale,No,3x3 ,living room,facility,None,NA
7336,white simple small mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS00.png,1000,250,사하라,Small rug,Beige,White,For sale,No,2x2 ,living room,facility,None,NA
12464,white wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM03.png,1500,375,,Medium rug,None,None,Not for sale,No,3x2,party,expensive,wedding,NA
7381,white wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM02.png,1500,375,사하라,Medium rug,White,White,For sale,No,3x2 ,outdoors,None,None,NA
7352,yellow argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL00.png,2000,500,사하라,Large rug,Yellow,Yellow,For sale,No,4x3 ,living room,fancy,None,NA
11103,yellow blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM02.png,1500,375,사하라,Medium rug,Yellow,Brown,For sale,No,3x3 ,living room,None,None,NA
7462,yellow checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL01.png,2000,500,사하라,Large rug,Yellow,Green,For sale,No,4x4 ,living room,child's room,None,NA
9315,yellow kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL03.png,2000,500,사하라,Large rug,Yellow,Beige,For sale,No,5x5 ,living room,None,None,NA
8395,yellow kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS01.png,1000,250,사하라,Small rug,Yellow,Yellow,For sale,No,2x1 ,kitchen,None,None,NA
9544,yellow medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM03.png,1500,375,사하라,Medium rug,Yellow,Yellow,For sale,No,3x3 ,living room,child's room,None,NA
9311,yellow message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS02.png,1000,250,사하라,Small rug,Yellow,Yellow,For sale,No,2x1 ,child's room,None,None,NA
8036,yellow Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL02.png,2000,500,사하라,Large rug,Yellow,Beige,For sale,No,5x5 ,expensive,living room,None,NA
8759,yellow rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM02.png,1500,375,사하라,Medium rug,Yellow,Yellow,For sale,No,3x3 ,fancy,expensive,flowers,NA
9547,yellow small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS03.png,1000,250,사하라,Small rug,Yellow,Yellow,For sale,No,2x2 ,living room,child's room,None,NA
7351,yellow stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL00.png,2000,500,사하라,Large rug,Yellow,White,For sale,No,4x3 ,fancy,child's room,None,NA
7403,yellow vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM03.png,1500,375,사하라,Medium rug,Yellow,Colorful,For sale,No,3x2 ,garden,None,None,NA
7596,yellow-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS02.png,1000,250,사하라,Small rug,Yellow,Black,For sale,No,2x1 ,kitchen,None,None,NA
