Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Internal ID
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey4.png,Berry red,No,880,220,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11298
athletic pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalJersey5.png,Navy blue,No,880,220,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11299
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey0.png,Red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,4518
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey1.png,Green,No,560,140,Green,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11905
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey2.png,Black,No,560,140,Black,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11906
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey3.png,Blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11907
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey4.png,Berry red,No,560,140,Red,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11908
athletic shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfJersey5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfJersey5.png,Navy blue,No,560,140,Blue,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; comfy; sporty,For sale,11909
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball0.png,Purple,No,980,245,Purple,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,5720
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball1.png,Red,No,980,245,Red,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11307
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball2.png,Green,No,980,245,Green,Orange,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11308
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball3.png,Orange,No,980,245,Orange,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11309
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball4.png,Blue,No,980,245,Blue,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11310
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball5.png,Yellow,No,980,245,Yellow,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11311
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball6.png,Light blue,No,980,245,Light blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11312
basketball shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBasketball7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBasketball7.png,Black,No,980,245,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,sporty; work,For sale,11313
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms0.png,Orange,No,1320,330,Orange,Orange,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday,For sale,4364
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms1.png,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday,For sale,9270
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms2.png,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday,For sale,9271
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms3.png,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday,For sale,9272
bell-bottoms,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsWideBellbottoms4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsWideBellbottoms4.png,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday,For sale,9273
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap0.png,Yellow,No,1040,260,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; comfy,For sale,4545
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap1.png,Red,No,1040,260,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; comfy,For sale,8721
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap2.png,Green,No,1040,260,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; comfy,For sale,8722
belted wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrap3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrap3.png,Blue,No,1040,260,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,everyday; comfy,For sale,8723
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa0.png,Purple,No,1200,300,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,5419
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa1.png,Avocado,No,1200,300,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9114
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa2.png,Beige,No,1200,300,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9115
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa3.png,Blue,No,1200,300,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9116
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa4.png,Red,No,1200,300,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9117
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa5.png,Orange,No,1200,300,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9118
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa6.png,Peacock blue,No,1200,300,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9119
boa shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBoa7.png,Black,No,1200,300,Black,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9120
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa0.png,Green,No,1300,325,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,5418
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa1.png,Blue,No,1300,325,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9107
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa2.png,Purple,No,1300,325,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9108
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa3.png,Red,No,1300,325,Red,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9109
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa4.png,Yellow,No,1300,325,Yellow,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9110
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa5.png,Light blue,No,1300,325,Light blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9111
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa6.png,Beige,No,1300,325,Beige,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9112
boa skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoa7.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoa7.png,Brown,No,1300,325,Brown,Black,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Active,everyday; outdoorsy,For sale,9113
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone0.png,Avocado,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,5722
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone1.png,Black,No,1320,330,Black,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11663
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone2.png,Blue,No,1320,330,Blue,Blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11664
bomber-style skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongMaone3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongMaone3.png,Brown,No,1320,330,Brown,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11665
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical0.png,Black,No,700,175,Black,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Cool,comfy; vacation,For sale,5854
botanical shorts,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsHalfBotanical1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsHalfBotanical1.png,White,No,700,175,White,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Cool,comfy; vacation,For sale,9193
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats0.png,Light blue,No,1320,330,Light blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; vacation,For sale,5703
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats1.png,Beige,No,1320,330,Beige,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; vacation,For sale,11786
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats2.png,Red,No,1320,330,Red,Red,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; vacation,For sale,11787
box-pleated skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats3.png,Green,No,1320,330,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Simple,everyday; vacation,For sale,11788
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace0.png,Yellow,No,1200,300,Yellow,Yellow,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Simple,everyday; fairy tale; comfy; vacation,For sale,5421
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace1.png,White,No,1200,300,White,White,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Simple,everyday; fairy tale; comfy; vacation,For sale,8727
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace2.png,Pink,No,1200,300,Pink,Pink,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Simple,everyday; fairy tale; comfy; vacation,For sale,8728
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace3.png,Green,No,1200,300,Green,Green,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Simple,everyday; fairy tale; comfy; vacation,For sale,8729
buttoned lace skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace4.png,Purple,No,1200,300,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Simple,everyday; fairy tale; comfy; vacation,For sale,8730
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor0.png,Gray,No,1820,455,Gray,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,5816
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor1.png,Blue,No,1820,455,Blue,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,8731
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor2.png,Orange,No,1820,455,Orange,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,8732
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor3.png,Pink,No,1820,455,Pink,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,8733
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor4.png,Green,No,1820,455,Green,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,8734
buttoned wraparound skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor5.png,Purple,No,1820,455,Purple,Black,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal,For sale,8735
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage0.png,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,3342
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage1.png,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10185
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage2.png,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10186
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage3.png,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10187
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage4.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage4.png,Gray,No,1300,325,Gray,Black,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10188
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage5.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage5.png,Purple,No,1300,325,Purple,Purple,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10189
camo pants,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage6.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage6.png,Red,No,1300,325,Red,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,10190
camo skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo0.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo0.png,Brown,No,1300,325,Brown,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,4434
camo skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo1.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo1.png,Avocado,No,1300,325,Green,Beige,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11322
camo skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo2.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo2.png,Pink,No,1300,325,Pink,Brown,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11323
camo skirt,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo3.png,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo3.png,Blue,No,1300,325,Blue,Light blue,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Cool,everyday; outdoorsy,For sale,11324
