Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation
11788,box-pleated skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxBoxpleats3.png,1320,330,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxBoxpleats3.png,All Year,Simple,everyday; vacation,Green
5421,buttoned lace skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace0.png,1200,300,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Yellow,Yellow,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace0.png,Summer,Simple,everyday; fairy tale; comfy; vacation,Yellow
8727,buttoned lace skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace1.png,1200,300,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,White,White,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace1.png,Summer,Simple,everyday; fairy tale; comfy; vacation,White
8728,buttoned lace skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace2.png,1200,300,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Pink,Pink,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace2.png,Summer,Simple,everyday; fairy tale; comfy; vacation,Pink
8729,buttoned lace skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace3.png,1200,300,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Green,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace3.png,Summer,Simple,everyday; fairy tale; comfy; vacation,Green
8730,buttoned lace skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongLace4.png,1200,300,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongLace4.png,Summer,Simple,everyday; fairy tale; comfy; vacation,Purple
5816,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor0.png,1820,455,Able Sisters,Available from Able Sisters shop only,Gray,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor0.png,All Year,Elegant,everyday; formal,Gray
8731,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor1.png,1820,455,Able Sisters,Available from Able Sisters shop only,Blue,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor1.png,All Year,Elegant,everyday; formal,Blue
8732,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor2.png,1820,455,Able Sisters,Available from Able Sisters shop only,Orange,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor2.png,All Year,Elegant,everyday; formal,Orange
8733,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor3.png,1820,455,Able Sisters,Available from Able Sisters shop only,Pink,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor3.png,All Year,Elegant,everyday; formal,Pink
8734,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor4.png,1820,455,Able Sisters,Available from Able Sisters shop only,Green,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor4.png,All Year,Elegant,everyday; formal,Green
8735,buttoned wraparound skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtLongWrapbicolor5.png,1820,455,Able Sisters,Available from Able Sisters shop only,Purple,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtLongWrapbicolor5.png,All Year,Elegant,everyday; formal,Purple
3342,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage0.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage0.png,All Year,Cool,everyday; outdoorsy,Brown
10185,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage1.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage1.png,All Year,Cool,everyday; outdoorsy,Avocado
10186,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage2.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Pink,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage2.png,All Year,Cool,everyday; outdoorsy,Pink
10187,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage3.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage3.png,All Year,Cool,everyday; outdoorsy,Blue
10188,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage4.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Gray,Black,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage4.png,All Year,Cool,everyday; outdoorsy,Gray
10189,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage5.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Purple,Purple,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage5.png,All Year,Cool,everyday; outdoorsy,Purple
10190,camo pants,https://acnhcdn.com/latest/FtrIcon/BottomsTexPantsNormalCamouflage6.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Red,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexPantsNormalCamouflage6.png,All Year,Cool,everyday; outdoorsy,Red
4434,camo skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo0.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Brown,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo0.png,All Year,Cool,everyday; outdoorsy,Brown
11322,camo skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo1.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Green,Beige,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo1.png,All Year,Cool,everyday; outdoorsy,Avocado
11323,camo skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo2.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Pink,Brown,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo2.png,All Year,Cool,everyday; outdoorsy,Pink
11324,camo skirt,https://acnhcdn.com/latest/FtrIcon/BottomsTexSkirtBoxCamo3.png,1300,325,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Blue,Light blue,For sale,No,1x1,https://acnhcdn.com/latest/ClosetIcon/BottomsTexSkirtBoxCamo3.png,All Year,Cool,everyday; outdoorsy,Blue
