nameKor,Name,Image,Variation,Body Title,DIY,Customize,Kit Cost,Uses,Stack Size,Buy,Sell,Size,Set,Source,Source Notes
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_0_0.png,Yellow & orange,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_1_0.png,Red & yellow,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_2_0.png,Orange & blue,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_3_0.png,Pink & yellow,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_4_0.png,Green & blue,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_5_0.png,Purple & pink,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_6_0.png,White & blue,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 잠자리채,colorful net,https://acnhcdn.com/latest/FtrIcon/ToolNetPattern_Remake_7_0.png,Gray & green,Color,No,Yes,1,30,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_1_0.png,Red,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_2_0.png,Blue,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_3_0.png,Pink,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_4_0.png,Green,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_5_0.png,Purple,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_6_0.png,White,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 삽,colorful shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopColorful_Remake_7_0.png,Black,Color,No,Yes,1,100,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_1_0.png,Red,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_2_0.png,Blue,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_3_0.png,Pink,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_4_0.png,Green,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_5_0.png,Purple,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_6_0.png,White,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 새총,colorful slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotColorful_Remake_7_0.png,Black,Color,No,Yes,1,20,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_0_0.png,Yellow,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_1_0.png,Red,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_2_0.png,Blue,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_3_0.png,Pink,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_4_0.png,Green,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_5_0.png,Purple,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_6_0.png,White,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
컬러풀 물뿌리개,colorful watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringColorful_Remake_7_0.png,Black,Color,No,Yes,1,60,1,2500,625,1x1,Colorful Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코스모스 지팡이,cosmos wand,https://acnhcdn.com/latest/FtrIcon/ToolStickCosmos.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,1x1,None,Crafting,
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_0_0.png,Gray,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_1_0.png,Green,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_2_0.png,Blue,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_3_0.png,Pink,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_4_0.png,Red,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_5_0.png,Yellow,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_6_0.png,Light blue,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
코끼리 물뿌리개,elephant watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringElephant_Remake_7_0.png,Black,Color,No,Yes,1,60,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_0_0.png,Green,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_1_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_2_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_3_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_4_0.png,Blue,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_5_0.png,Purple,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_6_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 낚싯대,fish fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodColorful_Remake_7_0.png,Red,Color,No,Yes,1,30,1,2500,625,1x1,None,Nook's Cranny,Available in Nook's Cranny (upgraded only)
물고기 지팡이,fish wand,https://acnhcdn.com/latest/FtrIcon/ToolStickFish.png,NA,NA,No,No,NA,Unlimited,1,NFS,1500,1x1,None,Fishing Tourney,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_0_0.png,Blue,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_1_0.png,Yellow,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_2_0.png,Green,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_3_0.png,Red,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_4_0.png,Purple,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_5_0.png,Pink,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_6_0.png,White,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
낚싯대,fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolAngling_Remake_7_0.png,Black,Color,Yes,Yes,1,30,1,NFS,600,1x1,None,Crafting,
엉성한 도끼,flimsy axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeStone.png,NA,NA,Yes,No,NA,40,1,800,200,1x1,None,Nook's Cranny; Crafting,Available after unlocking the axe in the story
엉성한 낚싯대,flimsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodWood.png,NA,NA,Yes,No,NA,9.5,1,NFS,100,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
엉성한 잠자리채,flimsy net,https://acnhcdn.com/latest/FtrIcon/ToolNet.png,NA,NA,Yes,No,NA,10,1,NFS,100,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
엉성한 삽,flimsy shovel,https://acnhcdn.com/latest/FtrIcon/ToolShovelWood.png,NA,NA,Yes,No,NA,40,1,800,200,1x1,None,Nook's Cranny; Crafting,Available after unlocking the shovel in the story
엉성한 물뿌리개,flimsy watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringWood.png,NA,NA,Yes,No,NA,20,1,800,200,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
금도끼,golden axe,https://acnhcdn.com/latest/FtrIcon/ToolAxeGold.png,NA,NA,Yes,No,NA,200,1,NFS,10655,1x1,None,Crafting,
금 잠자리채,golden net,https://acnhcdn.com/latest/FtrIcon/ToolNetGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,1x1,None,Crafting,
금 낚싯대,golden rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodGold.png,NA,NA,Yes,No,NA,90,1,NFS,10400,1x1,None,Crafting,
금 삽,golden shovel,https://acnhcdn.com/latest/FtrIcon/ToolScoopGold.png,NA,NA,Yes,No,NA,200,1,NFS,10675,1x1,None,Crafting,
금 새총,golden slingshot,https://acnhcdn.com/latest/FtrIcon/ToolSlingshotGold.png,NA,NA,Yes,No,NA,60,1,NFS,10300,1x1,None,Crafting,
황금 지팡이,golden wand,https://acnhcdn.com/latest/FtrIcon/ToolStickGolden.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,20750,1x1,None,Crafting,
금 물뿌리개,golden watering can,https://acnhcdn.com/latest/FtrIcon/ToolWateringGold.png,NA,NA,Yes,No,NA,180,1,NFS,10675,1x1,None,Crafting,
히아신스 지팡이,hyacinth wand,https://acnhcdn.com/latest/FtrIcon/ToolStickHyacinth.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1660,1x1,None,Crafting,
얼음 지팡이,ice wand,https://acnhcdn.com/latest/FtrIcon/ToolStickSnow.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,6500,1x1,None,Crafting,
철 지팡이,iron wand,https://acnhcdn.com/latest/FtrIcon/ToolStickIron.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,3750,1x1,None,Crafting,
사다리,ladder,https://acnhcdn.com/latest/FtrIcon/ToolLadder.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1440,1x1,None,Crafting,
형광봉,light stick,https://acnhcdn.com/latest/FtrIcon/ToolSticklight.png,NA,NA,No,No,NA,Unlimited,1,1500,375,1x1,None,Isabelle,Obtained by speaking to Isabelle on New Year's Eve
백합 지팡이,lily wand,https://acnhcdn.com/latest/FtrIcon/ToolStickYuri.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,1x1,None,Crafting,
국화 지팡이,mums wand,https://acnhcdn.com/latest/FtrIcon/ToolStickChrysanthemum.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1580,1x1,None,Crafting,
버섯 지팡이,mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_0_0.png,Ordinary mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
버섯 지팡이,mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_1_0.png,White mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
버섯 지팡이,mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_2_0.png,Strange mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
버섯 지팡이,mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_3_0.png,Red mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
버섯 지팡이,mushroom wand,https://acnhcdn.com/latest/FtrIcon/ToolStickMushroom_Remake_4_0.png,Yellow mushroom,Mushroom type,Yes,Yes,1,Unlimited,1,NFS,3300,1x1,None,Crafting,
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_0_0.png,Red,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_1_0.png,Yellow,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_2_0.png,Green,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_3_0.png,Blue,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_4_0.png,Purple,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_5_0.png,Pink,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_6_0.png,White,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
잠자리채,net,https://acnhcdn.com/latest/FtrIcon/ToolNetNormal_Remake_7_0.png,Black,Color,Yes,Yes,1,20,1,900,225,1x1,None,Nook's Cranny; Crafting,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened"
Nook Inc. 둥글부채,Nook Inc. uchiwa fan,https://acnhcdn.com/latest/FtrIcon/ToolFanNook0.png,NA,NA,No,No,NA,Unlimited,1,8000,2000,1x1,None,Nook Miles Shop,
오카리나,ocarina,https://acnhcdn.com/latest/FtrIcon/ToolOcarina.png,NA,NA,Yes,No,NA,Unlimited,1,NFS,1000,1x1,None,Crafting,
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 낚싯대,outdoorsy fishing rod,https://acnhcdn.com/latest/FtrIcon/ToolFishingrodOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_0_0.png,Avocado,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_1_0.png,Orange,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_2_0.png,Light blue,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_3_0.png,Red,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_4_0.png,Beige,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_5_0.png,Pink,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_6_0.png,Yellow,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
아웃도어 잠자리채,outdoorsy net,https://acnhcdn.com/latest/FtrIcon/ToolNetOutdoor_Remake_7_0.png,Black,Color,No,Yes,1,30,1,2500,625,1x1,Outdoor Tools,Nook's Cranny,Available in Nook's Cranny (upgraded only)
