nameKor,Name,Storage Image,DIY,Buy,Sell,Size,Source,Source Notes,Catalog
핑크 리본 레이스 우산,pink shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace0.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
핑크 우산,pink umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaSchool0.png,No,770,192,1x1,Nook's Cranny,,For sale
보라 시크 우산,purple chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacoda0.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
퍼플 리본 레이스 우산,purple shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace1.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
무지개 우산,rainbow umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRainbow0.png,No,840,210,1x1,Nook's Cranny,,For sale
비 내리는 우산,raindrop umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRain0.png,No,750,187,1x1,Nook's Cranny,,For sale
빨간 시크 우산,red chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace6.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
빨간 우산,red umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard1.png,No,770,192,1x1,Nook's Cranny,,For sale
눈꽃 우산,snowflake umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCrystal0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
스파이더 우산,spider umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaSpider0.png,No,840,210,1x1,Nook's Cranny,,For sale
딸기 우산,strawberry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStrawberry0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
줄무늬 우산,striped umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStripe0.png,No,750,187,1x1,Nook's Cranny,,For sale
해바라기 우산,sunny parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaSunflower0.png,No,750,187,1x1,Nook's Cranny,,For sale
타탄 체크 우산,tartan-check umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPlaid0.png,No,750,187,1x1,Nook's Cranny,,For sale
빨간 물방울 우산,Toad parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadotRed.png,No,750,187,1x1,Nook's Cranny,,For sale
투톤 우산,two-tone umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTwocolor0.png,No,770,192,1x1,Nook's Cranny,,For sale
비닐 우산,vinyl umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaVinyl0.png,No,770,192,1x1,Nook's Cranny,,For sale
수박 우산,watermelon umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaWater0.png,No,1550,387,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
화이트 리본 레이스 우산,white shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace3.png,No,1620,405,1x1,Nook's Cranny,Available in Nook's Cranny (upgraded only),For sale
