nameKor,Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Catalog
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_0_0.png,Home,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_1_0.png,Forest,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_2_0.png,Fishing Spot,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_3_0.png,Resident Services,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_4_0.png,Airport,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_5_0.png,Shop,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_6_0.png,Tailors,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
기울어진 이정표,angled signpost,https://acnhcdn.com/latest/FtrIcon/FtrSignpostTilt_Remake_7_0.png,Museum,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,1x1,Crafting,,garden,None,None,None,No,Vehicle,Not for sale
앤티크 침대,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,28000,7000,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Bed,For sale
앤티크 침대,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,28000,7000,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Bed,For sale
앤티크 침대,antique bed,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBedW_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,28000,7000,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Bed,For sale
앤티크 뷰로,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,20000,5000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Desk,For sale
앤티크 뷰로,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,20000,5000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Desk,For sale
앤티크 뷰로,antique bureau,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueBureau_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,20000,5000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Desk,For sale
앤티크 의자,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,10000,2500,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Chair,For sale
앤티크 의자,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,10000,2500,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Chair,For sale
앤티크 의자,antique chair,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChairS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,10000,2500,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Chair,For sale
앤티크 시계,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,44000,11000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Clock,For sale
앤티크 시계,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,44000,11000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Clock,For sale
앤티크 시계,antique clock,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueClock_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,44000,11000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Clock,For sale
앤티크 콘솔 테이블,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,17000,4250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 콘솔 테이블,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,17000,4250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 콘솔 테이블,antique console table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueConsole_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,17000,4250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 미니 테이블,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,6700,1675,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 미니 테이블,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,6700,1675,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 미니 테이블,antique mini table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableS_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,6700,1675,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 테이블,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,25000,6250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 테이블,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,25000,6250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 테이블,antique table,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueTableL_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,25000,6250,2x2,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,No,Table,For sale
앤티크 화장대,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,31000,7750,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Dresser,For sale
앤티크 화장대,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,31000,7750,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Dresser,For sale
앤티크 화장대,antique vanity,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueDresser_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,31000,7750,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Yes,Dresser,For sale
앤티크 옷장,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_0_0.png,Brown,NA,NA,NA,No,No,No,NA,37000,9250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Wardrobe,Chest,For sale
앤티크 옷장,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_1_0.png,Natural,NA,NA,NA,No,No,No,NA,37000,9250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Wardrobe,Chest,For sale
앤티크 옷장,antique wardrobe,https://acnhcdn.com/latest/FtrIcon/FtrAntiqueChest_Remake_2_0.png,Black,NA,NA,NA,No,No,No,NA,37000,9250,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",living room,expensive,antique,None,Wardrobe,Chest,For sale
사과 체어,apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_0_0.png,Red apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,1x1,Crafting,,fancy,None,fruits,apple,Yes,Chair,Not for sale
사과 체어,apple chair,https://acnhcdn.com/latest/FtrIcon/FtrFruitsChairApple_Remake_1_0.png,Green apple,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2480,1x1,Crafting,,fancy,None,fruits,apple,Yes,Chair,Not for sale
물병자리 항아리,Aquarius urn,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAquarius.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,22125,1x1,Crafting,,expensive,bathroom,stars,None,No,Bathroom Things,Not for sale
슈팅 아케이드 게임,arcade combat game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameShooting.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,Toy,For sale
격투 아케이드 게임,arcade fighting game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameFight.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,Toy,For sale
테이블 아케이드 게임,arcade mahjong game,https://acnhcdn.com/latest/FtrIcon/FtrArcadegameMahjong.png,NA,NA,NA,NA,No,No,No,NA,64000,16000,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",facility,shop,None,None,Yes,Toy,For sale
오락실 의자,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_0_0.png,Red,NA,NA,NA,No,No,No,NA,1300,325,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,Chair,For sale
오락실 의자,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_1_0.png,Gray,NA,NA,NA,No,No,No,NA,1300,325,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,Chair,For sale
오락실 의자,arcade seat,https://acnhcdn.com/latest/FtrIcon/FtrGameChair_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,1300,325,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",facility,shop,None,None,Yes,Chair,For sale
양자리 목마,Aries rocking chair,https://acnhcdn.com/latest/FtrIcon/FtrZodiacAries.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,12125,1x1,Crafting,,expensive,fancy,stars,None,Yes,Toy,Not for sale
원목 채집통,artisanal bug cage,https://acnhcdn.com/latest/FtrIcon/FtrEventobjInsectBox.png,NA,NA,NA,NA,No,No,No,NA,NFS,450,2x1,Bug-Off,,garden,facility,None,None,Wardrobe,Ranch,Not for sale
운석,asteroid,https://acnhcdn.com/latest/FtrIcon/FtrMeteo.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4000,1x1,Crafting,,space,facility,None,None,Yes,Space,Not for sale
우주 비행사,astronaut suit,https://acnhcdn.com/latest/FtrIcon/FtrSpacesuit.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,6250,1x1,Crafting,,space,None,None,None,No,Space,Not for sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_1_0.png,Pink,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_3_0.png,Green,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_4_0.png,Yellow,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
세탁기,automatic washer,https://acnhcdn.com/latest/FtrIcon/FtrWashingmachine_Remake_5_0.png,Black,NA,NA,NA,No,No,No,NA,4500,1125,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",bathroom,None,None,None,Yes,Home Appliances,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_0.png,Red,NA,Bear,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_1.png,Red,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_2.png,Red,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_3.png,Red,NA,Train,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_0_4.png,Red,NA,Paw print,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_0.png,Pink,NA,Bear,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_1.png,Pink,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_2.png,Pink,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_3.png,Pink,NA,Train,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_1_4.png,Pink,NA,Paw print,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_0.png,Yellow,NA,Bear,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_1.png,Yellow,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_2.png,Yellow,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_3.png,Yellow,NA,Train,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_2_4.png,Yellow,NA,Paw print,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_0.png,Green,NA,Bear,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_1.png,Green,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_2.png,Green,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_3.png,Green,NA,Train,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_3_4.png,Green,NA,Paw print,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_0.png,Blue,NA,Bear,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_1.png,Blue,NA,Strawberry,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
유아용 의자,baby chair,https://acnhcdn.com/latest/FtrIcon/FtrBabychair_Remake_4_2.png,Blue,NA,Butterfly,Cushion,No,No,Yes,1,1200,300,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,child's room,None,None,None,Yes,Chair,For sale
