nameKor,Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Door Deco,Catalog
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_0_1.png,Signature,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_0.png,Handprints,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_1_1.png,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_0.png,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_2_1.png,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_0.png,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
두꺼운 종이,autograph cards,https://acnhcdn.com/latest/FtrIcon/FtrAutograph_Remake_3_1.png,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",school,den,None,None,No,Study,No,For sale
대나무 꽃병,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_0_0.png,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,0.5x1 ,Crafting,,zen-style,None,bamboo,None,No,Plants,No,Not for sale
대나무 꽃병,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_1_0.png,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,0.5x1 ,Crafting,,zen-style,None,bamboo,None,No,Plants,No,Not for sale
대나무 꽃병,bamboo wall decoration,https://acnhcdn.com/latest/FtrIcon/FtrBambooFlowerwall_Remake_2_0.png,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,NFS,160,0.5x1 ,Crafting,,zen-style,None,bamboo,None,No,Plants,No,Not for sale
욕실 수건 걸이,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_0_0.png,Silver,NA,NA,NA,No,No,No,NA,1400,350,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,No,For sale
욕실 수건 걸이,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_1_0.png,Gold,NA,NA,NA,No,No,No,NA,1400,350,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,No,For sale
욕실 수건 걸이,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_2_0.png,Copper,NA,NA,NA,No,No,No,NA,1400,350,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,No,For sale
욕실 수건 걸이,bathroom towel rack,https://acnhcdn.com/latest/FtrIcon/FtrTowelrackWall_Remake_3_0.png,Black,NA,NA,NA,No,No,No,NA,1400,350,1x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,bathroom,None,None,None,No,Bathroom Things,No,For sale
파란 장미 리스,blue rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseUrtraRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,20000,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_0_0.png,Brown,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_1_0.png,White,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_2_0.png,Black,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_3_0.png,Pink,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_4_0.png,Red,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_5_0.png,Yellow,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_6_0.png,Blue,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
뼈다귀 문패,bone doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorPlateBone_Remake_7_0.png,Natural wood,Color,NA,NA,Yes,Yes,No,1,NFS,360,1x1 ,Crafting,,child's room,living room,None,None,No,House Door Decor,Yes,Not for sale
부메랑,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_0_0.png,Natural,Design,NA,NA,Yes,Yes,No,1,NFS,360,1x0.5 ,Crafting,,child's room,None,None,None,No,Toy,No,Not for sale
부메랑,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_1_0.png,Green & orange,Design,NA,NA,Yes,Yes,No,1,NFS,360,1x0.5 ,Crafting,,child's room,None,None,None,No,Toy,No,Not for sale
부메랑,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_2_0.png,Dark brown,Design,NA,NA,Yes,Yes,No,1,NFS,360,1x0.5 ,Crafting,,child's room,None,None,None,No,Toy,No,Not for sale
부메랑,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_3_0.png,Red & black,Design,NA,NA,Yes,Yes,No,1,NFS,360,1x0.5 ,Crafting,,child's room,None,None,None,No,Toy,No,Not for sale
부메랑,boomerang,https://acnhcdn.com/latest/FtrIcon/FtrBoomerang_Remake_4_0.png,White & blue,Design,NA,NA,Yes,Yes,No,1,NFS,360,1x0.5 ,Crafting,,child's room,None,None,None,No,Toy,No,Not for sale
전원 차단기,breaker,https://acnhcdn.com/latest/FtrIcon/FtrBreaker.png,NA,NA,NA,NA,No,No,No,NA,820,205,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",garage,facility,None,None,No,Home Appliances,No,For sale
아카데미 동 상패,bronze HHA plaque,https://acnhcdn.com/latest/FtrIcon/FtrShieldHhaBronze.png,NA,NA,NA,NA,No,No,No,NA,NFS,400,1x1 ,HHA,,living room,expensive,None,None,No,Museum,No,Not for sale
빗자루와 쓰레받기,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,910,227,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,Supplies,No,For sale
빗자루와 쓰레받기,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_1_0.png,White,NA,NA,NA,No,No,No,NA,910,227,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,Supplies,No,For sale
빗자루와 쓰레받기,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_2_0.png,Dark brown,NA,NA,NA,No,No,No,NA,910,227,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,Supplies,No,For sale
빗자루와 쓰레받기,broom and dustpan,https://acnhcdn.com/latest/FtrIcon/FtrCleaningset_Remake_3_0.png,Colorful,NA,NA,NA,No,No,No,NA,910,227,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,None,None,None,No,Supplies,No,For sale
곤충 벽장식,bug plaque,https://acnhcdn.com/latest/FtrIcon/FtrMuseumInsectWall.png,NA,NA,NA,NA,No,No,No,NA,1200,300,1x1,International Museum Day,Reward for completing the Stamp Rally in the bug exhibit,expensive,den,None,None,No,Museum,No,Not for sale
이스터 라이트 가랜드,Bunny Day glowy garland,https://acnhcdn.com/latest/FtrIcon/FtrEggLampWall.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,2x1,Crafting,,fancy,party,Bunny Day,None,Yes,Lamp,No,Not for sale
이스터 벽시계,Bunny Day wall clock,https://acnhcdn.com/latest/FtrIcon/FtrEggClock.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,1x1.5,Crafting,,fancy,None,Bunny Day,None,Yes,Clock,No,Not for sale
이스터 리스,Bunny Day wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathEaster.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,2400,1x1,Crafting,,fancy,party,Bunny Day,None,No,House Door Decor,Yes,Not for sale
나비고기 벽장식,butterfly-fish model,https://acnhcdn.com/latest/FtrIcon/FtrFishChouchouuoWall.png,NA,NA,NA,NA,No,No,No,NA,1300,325,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",ocean,facility,None,None,No,Special Fish,No,For sale
체리 램프,cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_0_0.png,Cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,1x1 ,Crafting,,fancy,None,fruits,cherry,Yes,Lamp,No,Not for sale
체리 램프,cherry lamp,https://acnhcdn.com/latest/FtrIcon/FtrFruitsLampW_Remake_1_0.png,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4,NFS,2400,1x1 ,Crafting,,fancy,None,fruits,cherry,Yes,Lamp,No,Not for sale
벚꽃 시계,cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_0_0.png,Pink,Color,NA,NA,Yes,Yes,No,4,NFS,2750,1x1 ,Crafting,,fancy,None,cherry blossoms,None,Yes,Clock,No,Not for sale
벚꽃 시계,cherry-blossom clock,https://acnhcdn.com/latest/FtrIcon/FtrSakuraClockW_Remake_1_0.png,Pink-white,Color,NA,NA,Yes,Yes,No,4,NFS,2750,1x1 ,Crafting,,fancy,None,cherry blossoms,None,Yes,Clock,No,Not for sale
시크 코스모스 리스,chic cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmosRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
시크 아네모네 리스,chic windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
야자 벽걸이 화분,coconut wall planter,https://acnhcdn.com/latest/FtrIcon/FtrPlanterPalm.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,600,1x1.5 ,Crafting,,ocean,living room,None,None,No,Plants,No,Not for sale
쿨 히아신스 리스,cool hyacinth wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathHyacinthMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1440,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
쿨 팬지 리스,cool pansy wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathPansyRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4800,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
쿨 아네모네 리스,cool windflower wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathAnemoneMix.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1200,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_0.png,Natural,NA,Apple,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_1.png,Natural,NA,Fish,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_0_2.png,Natural,NA,Flower,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_0.png,White,NA,Apple,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_1.png,White,NA,Fish,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_1_2.png,White,NA,Flower,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_0.png,Blue,NA,Apple,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_1.png,Blue,NA,Fish,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코르크 보드,corkboard,https://acnhcdn.com/latest/FtrIcon/FtrCorkboard_Remake_2_2.png,Blue,NA,Flower,Favorite card,No,No,Yes,1,1400,350,2x1 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,school,office,None,None,No,Study,No,For sale
코스모스 리스,cosmos wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathCosmos.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,720,1x1 ,Crafting,,fancy,None,flowers,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_0_0.png,Silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_1_0.png,Gold & silver,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_2_0.png,Silver & blue,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_3_0.png,Red & white,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_4_0.png,Silver & green,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
엠블럼 문패,crest doorplate,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentCrest_Remake_5_0.png,Colorful,Color,NA,NA,Yes,Yes,No,1,NFS,3000,1x1 ,Crafting,,expensive,None,None,None,No,House Door Decor,Yes,Not for sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_0_0.png,Natural,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_1_0.png,Green,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_2_0.png,Blue,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_3_0.png,Yellow,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_4_0.png,Red,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_5_0.png,White,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
뻐꾸기 시계,cuckoo clock,https://acnhcdn.com/latest/FtrIcon/FtrCuckooclock_Remake_6_0.png,Black,NA,NA,NA,No,No,No,NA,3200,800,1x1.5 ,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,living room,child's room,None,None,Yes,Clock,No,For sale
큐트 벽시계,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_0_0.png,White,NA,NA,NA,No,No,No,NA,1200,300,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Clock,No,For sale
큐트 벽시계,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_1_0.png,Sky blue,NA,NA,NA,No,No,No,NA,1200,300,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Clock,No,For sale
큐트 벽시계,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_2_0.png,Yellow,NA,NA,NA,No,No,No,NA,1200,300,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Clock,No,For sale
큐트 벽시계,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_3_0.png,Red,NA,NA,NA,No,No,No,NA,1200,300,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Clock,No,For sale
큐트 벽시계,cute wall-mounted clock,https://acnhcdn.com/latest/FtrIcon/FtrCuteClockW_Remake_4_0.png,Blue,NA,NA,NA,No,No,No,NA,1200,300,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",fancy,None,cute,None,Yes,Clock,No,For sale
다크 백합 리스,dark lily wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathYuriRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,1x1 ,Crafting,,fancy,horror,flowers,None,No,House Door Decor,Yes,Not for sale
다크 장미 리스,dark rose wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathRoseRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,4320,1x1 ,Crafting,,fancy,horror,flowers,None,No,House Door Decor,Yes,Not for sale
다크 튤립 리스,dark tulip wreath,https://acnhcdn.com/latest/FtrIcon/FtrDoorOrnamentWreathTulipRare.png,NA,NA,NA,NA,Yes,No,No,NA,NFS,1600,1x1 ,Crafting,,fancy,horror,flowers,None,No,House Door Decor,Yes,Not for sale
사슴 장식,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_0_0.png,Natural,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,1x1.5 ,Crafting,,living room,None,None,None,No,Animal,No,Not for sale
사슴 장식,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_1_0.png,Ash,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,1x1.5 ,Crafting,,living room,None,None,None,No,Animal,No,Not for sale
사슴 장식,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_2_0.png,Ivory,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,1x1.5 ,Crafting,,living room,None,None,None,No,Animal,No,Not for sale
사슴 장식,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_3_0.png,White,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,1x1.5 ,Crafting,,living room,None,None,None,No,Animal,No,Not for sale
사슴 장식,deer decoration,https://acnhcdn.com/latest/FtrIcon/FtrHuntingtrophy_Remake_4_0.png,Black,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,1x1.5 ,Crafting,,living room,None,None,None,No,Animal,No,Not for sale
다이너 네온 시계,diner neon clock,https://acnhcdn.com/latest/FtrIcon/FtrAmeretroClock_Remake_0_0.png,Red,NA,Red lines,Clock face,No,No,Yes,1,1500,375,1x1 ,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",shop,None,diner,None,Yes,Clock,No,For sale
