nameKor,Name,Image,VFX,DIY,Buy,Sell,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
검정 패턴 바닥,black iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron02.png,No,No,2350,587,Nook's Cranny,,expensive,living room,None,Iron Parquet,For sale
검정 벽돌 바닥,black-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick02.png,No,No,1040,260,Nook's Cranny,,facility,shop,None,Brick,For sale
블루 밀리터리 바닥,blue camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage01.png,No,No,1320,330,Nook's Cranny,,party,child's room,None,Camouflage,For sale
블루 모로칸 타일 바닥,blue desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco01.png,No,No,2100,525,Nook's Cranny,,bathroom,facility,None,Morocco,For sale
블루 도트 카펫 바닥,blue dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot04.png,No,No,800,200,Nook's Cranny,,fancy,child's room,None,Dot,For sale
파란 꽃무늬 마룻바닥,blue floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood01.png,No,No,1520,380,Nook's Cranny,,shop,living room,None,Deco Wood,For sale
파란 육각 타일 바닥,blue honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb01.png,No,No,1420,355,Nook's Cranny,,bathroom,facility,None,Honeycomb,For sale
블루 모자이크 타일 바닥,blue mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile03.png,No,No,900,225,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
블루 고무 바닥,blue rubber flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubber01.png,No,No,850,212,Nook's Cranny,,fitness,school,None,Rubber,For sale
파란 페인트 마룻바닥,blue-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood00.png,No,No,1040,260,Nook's Cranny,,fancy,child's room,None,Painted Wood,For sale
레슬링 경기장 바닥,boxing-ring mat,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorWrestling00.png,No,No,3000,750,Saharah,,fitness,None,None,Sports Floor,Not for sale
브라운 아가일 타일 바닥,brown argyle-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArgyleTile01.png,No,No,1440,360,Nook's Cranny,,expensive,facility,None,Argyle,For sale
갈색 꽃무늬 마룻바닥,brown floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood02.png,No,No,1520,380,Nook's Cranny,,shop,living room,None,Deco Wood,For sale
갈색 육각 타일 바닥,brown honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb00.png,No,No,1420,355,Nook's Cranny,,bathroom,facility,None,Honeycomb,For sale
은색 패턴 바닥,brown iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron01.png,No,No,2350,587,Nook's Cranny,,expensive,living room,None,Iron Parquet,For sale
갈색 웨딩 바닥,brown wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile01.png,,No,3000,750,Wedding Season,,party,expensive,wedding,Tile Floors,Not for sale
갈색 벽돌 바닥,brown-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick03.png,No,No,1040,260,Nook's Cranny,,facility,shop,None,Brick,For sale
이스터 바닥,Bunny Day flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEaster00.png,No,Yes,NFS,4800,Crafting,,fancy,child's room,Bunny Day,Dot,Not for sale
밀리터리 바닥,camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage00.png,No,No,1320,330,Nook's Cranny,,party,child's room,None,Camouflage,For sale
벚꽃 카펫 바닥,cherry-blossom flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSakura00.png,No,Yes,NFS,4400,Crafting,,garden,fancy,cherry blossoms,Nature - Fallen Leaves,Not for sale
전자 회로 바닥,circuit-board flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGeek00.png,No,No,3000,750,Saharah,,facility,None,None,Machine Floor,Not for sale
구름 위,cloud flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorCloud00.png,Yes,No,3000,750,Saharah,,fancy,None,None,Special Nature Floors,Not for sale
단풍 바닥,colored-leaves flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAutumun00.png,No,Yes,NFS,4300,Crafting,,garden,None,tree's bounty or leaves ,Nature - Fallen Leaves,Not for sale
컬러풀 모자이크 타일 바닥,colorful mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTile02.png,No,No,900,225,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
컬러풀 퍼즐 바닥,colorful puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat01.png,No,No,1450,362,Nook's Cranny,,fancy,child's room,None,Puzzle Mat,For sale
컬러풀 패널 카펫 바닥,colorful tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPanel01.png,No,No,1620,405,Nook's Cranny,,living room,child's room,None,Panel,For sale
평범한 바닥,common flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCommon00.png,No,No,720,180,Nook's Cranny,,living room,school,None,Wood Floors,For sale
콘크리트 바닥,concrete flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConcrete00.png,No,No,820,205,Nook's Cranny,,garage,facility,None,Stone Floors,For sale
공사 현장 바닥,construction-site flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorConstruction00.png,No,No,3000,750,Saharah,,garage,facility,None,Sidewalk,Not for sale
쿨 데코타일 바닥,cool vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker03.png,No,No,1150,287,Nook's Cranny,,expensive,None,None,Tile Checker,For sale
쿨 페인트 마룻바닥,cool-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorColorfulWood01.png,No,No,2200,550,Nook's Cranny,,fancy,child's room,None,Colorful Wood,For sale
코르크 바닥,cork flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCork00.png,No,No,1500,375,Nook's Cranny,,school,music,None,Wood Floors,For sale
미스터리 서클 바닥,crop-circles flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCropCircles00.png,No,No,3000,750,Saharah,,garden,None,None,Nature - Green,Not for sale
횡단보도 바닥,crosswalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk00.png,No,No,3000,750,Saharah,,facility,None,None,Sidewalk,Not for sale
정육면체 나무 바닥,cubic parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycombWood00.png,No,No,1500,375,Nook's Cranny,,living room,child's room,None,Simple Parquet,For sale
블루 큐트 타일 바닥,cute blue-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute02.png,No,No,780,195,Nook's Cranny,,fancy,child's room,None,Tile Floors,For sale
빨간 큐트 타일 바닥,cute red-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute01.png,No,No,780,195,Nook's Cranny,,fancy,child's room,None,Tile Floors,For sale
하얀 큐트 타일 바닥,cute white-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute00.png,No,No,780,195,Nook's Cranny,,fancy,child's room,None,Tile Floors,For sale
노란 큐트 타일 바닥,cute yellow-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCute03.png,No,No,780,195,Nook's Cranny,,fancy,child's room,None,Tile Floors,For sale
큐트 페인트 마룻바닥,cute-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorColorfulWood00.png,No,No,2200,550,Nook's Cranny,,fancy,child's room,None,Colorful Wood,For sale
초원 바닥,daisy meadow,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGrassland00.png,No,No,3000,750,Saharah,,garden,None,None,Grassland,Not for sale
다크 헤링본 바닥,dark herringbone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHerringbone01.png,No,No,1200,300,Nook's Cranny,,living room,shop,None,Herringbone,For sale
어두운 쪽모이 바닥,dark parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCountry01.png,No,No,1560,390,Nook's Cranny,,living room,None,None,Country,For sale
어두운 나무 바닥,dark wood-pattern flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleParquet01.png,No,No,1500,375,Nook's Cranny,,living room,shop,None,Simple Parquet,For sale
다크 나무 블록 바닥,dark-block flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquet01.png,No,No,1380,345,Nook's Cranny,,school,None,None,Parquet,For sale
다크 초콜릿 바닥,dark-chocolates flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorChocolate00.png,No,No,3000,750,Saharah,,fancy,None,None,Chocolate,Not for sale
땅속 바닥,dig-site flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorStratum00.png,No,No,3000,750,Saharah,,garden,horror,None,Nature - Brown,Not for sale
흙 바닥,dirt flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCottonSoil00.png,No,No,3000,750,Saharah,,garden,outdoors,None,Nature - Brown,Not for sale
들판 바닥,field flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFarm00.png,No,No,3000,750,Saharah,,garden,None,None,Nature - Brown,Not for sale
플래그스톤 바닥,flagstone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFlagStone00.png,No,No,1700,425,Nook's Cranny,,shop,facility,None,Stone Floors,For sale
플라워 모자이크 타일 바닥,floral mosaic-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMosaicTile00.png,No,No,1080,270,Nook's Cranny,,bathroom,facility,None,Tile Floors,For sale
꽃무늬 돗자리 바닥,floral rush-mat flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRush00.png,No,No,3000,750,Saharah,,fancy,zen-style,None,Japanese Style,Not for sale
흐르는 강 바닥,flowing-river flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorRiver00.png,Yes,No,3000,750,Saharah,,garden,None,None,Special Nature Floors,Not for sale
버섯숲 바닥,forest flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMushForest00.png,No,Yes,NFS,35000,Crafting,,garden,horror,mush,Nature - Fallen Leaves,Not for sale
오버 테크놀로지 바닥,future-tech flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorTechnology00.png,Yes,No,3000,750,Saharah,,horror,folk art,None,Special Inorganic Floors,Not for sale
은하계 바닥,galaxy flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorGalaxy00.png,No,Yes,NFS,7500,Crafting,,space,None,None,Special Nature Floors,Not for sale
쓰레기장 바닥,garbage-heap flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGarbage00.png,Yes,Yes,NFS,120,Crafting,,horror,garage,None,Decadence,Not for sale
기린 무늬 바닥,giraffe-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal01.png,No,No,1300,325,Nook's Cranny,,party,fancy,None,Animal Floor,For sale
금색 패턴 바닥,gold iron-parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquetIron00.png,No,No,2350,587,Nook's Cranny,,expensive,living room,None,Iron Parquet,For sale
황금 바닥,golden flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGold00.png,No,Yes,NFS,40000,Crafting,,expensive,horror,golden,Luxury,Not for sale
자갈 바닥,gravel flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorGravel00.png,No,No,3000,750,Saharah,,garden,facility,None,Stone Floors,Not for sale
그레이 아가일 타일 바닥,gray argyle-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorArgyleTile00.png,No,No,1440,360,Nook's Cranny,,expensive,facility,None,Argyle,For sale
흑백 데코타일 바닥,gray vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker00.png,No,No,1150,287,Nook's Cranny,,expensive,None,None,Tile Checker,For sale
초록 꽃무늬 마룻바닥,green floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDecoWood03.png,No,No,1520,380,Nook's Cranny,,shop,living room,None,Deco Wood,For sale
초록 육각 타일 바닥,green honeycomb tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoneycomb02.png,No,No,1420,355,Nook's Cranny,,bathroom,facility,None,Honeycomb,For sale
그린 복고풍 바닥,green retro flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitchen01.png,No,No,1540,385,Nook's Cranny,,kitchen,shop,None,Kitchen Floors,For sale
그린 고무 바닥,green rubber flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubber00.png,No,No,850,212,Nook's Cranny,,fitness,school,None,Rubber,For sale
초록 데코타일 바닥,green vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker02.png,No,No,1150,287,Nook's Cranny,,expensive,None,None,Tile Checker,For sale
초록 웨딩 바닥,green wedding flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMarbleTile02.png,,No,3000,750,Wedding Season,,party,expensive,wedding,Tile Floors,Not for sale
초록 페인트 마룻바닥,green-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood01.png,No,No,1040,260,Nook's Cranny,,fancy,child's room,None,Painted Wood,For sale
삼잎 타일 바닥,hexagonal floral flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHempTile00.png,No,No,860,215,Nook's Cranny,,zen-style,shop,None,Tile Floors,For sale
고속도로 바닥,highway flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHighway00.png,No,No,3000,750,Saharah,,facility,None,None,Sidewalk,Not for sale
벌집 바닥,honeycomb flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHoney00.png,No,Yes,NFS,3000,Crafting,,fancy,facility,None,Neta,Not for sale
아이스 바닥,ice flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorIce00.png,Yes,Yes,NFS,8200,Crafting,,freezing cold,facility,frozen,Special Nature Floors,Not for sale
빙하 바닥,iceberg flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorIceFloe00.png,Yes,Yes,NFS,4000,Crafting,,freezing cold,None,None,Special Nature Floors,Not for sale
왕조 바닥,imperial tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDynasty00.png,No,No,3000,750,Saharah,,expensive,None,None,Luxury,Not for sale
체크 매트 바닥,jointed-mat flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorJointMat00.png,No,No,1050,262,Nook's Cranny,,school,child's room,None,Cloth Floors,For sale
정글 바닥,jungle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorJungle00.png,No,Yes,NFS,2200,Crafting,,garden,facility,None,Nature - Green,Not for sale
어지러운 바닥,kitschy tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitschTile00.png,No,No,1280,320,Nook's Cranny,,party,None,None,Tile Floors,For sale
용암 바닥,lava flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorVolcano00.png,Yes,No,3000,750,Saharah,,horror,None,None,Special Inorganic Floors,Not for sale
표범 무늬 바닥,leopard-print flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAnimal00.png,No,No,1300,325,Nook's Cranny,,party,fancy,None,Animal Floor,For sale
라이트 헤링본 바닥,light herringbone flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorHerringbone00.png,No,No,1200,300,Nook's Cranny,,living room,shop,None,Herringbone,For sale
밝은 쪽모이 바닥,light parquet flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCountry00.png,No,No,1560,390,Nook's Cranny,,living room,shop,None,Country,For sale
밝은 나무 바닥,light wood-pattern flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimpleParquet00.png,No,No,1500,375,Nook's Cranny,,living room,shop,None,Simple Parquet,For sale
로비 바닥,lobby flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLobby00.png,No,No,3000,750,Saharah,,facility,party,None,Cloth Floors,Not for sale
달표면 바닥,lunar surface,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorLunar00.png,No,Yes,NFS,7500,Crafting,,space,None,stars,Nature - White,Not for sale
물결무늬 바닥,marine pop flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFishPop00.png,No,No,2020,505,Nook's Cranny,,child's room,fancy,None,Cloth Floors,For sale
민트 도트 카펫 바닥,mint dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot01.png,No,No,800,200,Nook's Cranny,,fancy,child's room,None,Dot,For sale
믹스우드 바닥,modern wood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMixwood00.png,No,No,1280,320,Nook's Cranny,,living room,child's room,None,Wood Floors,For sale
돈다발 바닥,money flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBill00.png,No,Yes,NFS,25000,Crafting,,expensive,None,None,Decadence,Not for sale
흑백 도트 카펫 바닥,monochromatic dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot00.png,No,No,800,200,Nook's Cranny,,fancy,child's room,None,Dot,For sale
흑백 패널 카펫 바닥,monochromatic tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPanel00.png,No,No,1620,405,Nook's Cranny,,den,living room,None,Panel,For sale
이끼 낀 바닥,mossy-garden flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMoss00.png,No,No,3000,750,Saharah,,zen-style,garden,None,Nature - Green,Not for sale
내추럴 나무 블록 바닥,natural-block flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParquet00.png,No,No,1380,345,Nook's Cranny,,school,None,None,Parquet,For sale
Nook Inc. 마룻바닥,Nook Inc. flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorFirst00.png,No,No,24000,6000,Nook Miles Shop,,school,shop,None,Wood Floors,Not for sale
오아시스 바닥,oasis flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorOasis00.png,Yes,No,3000,750,Saharah,,garden,folk art,None,Special Inorganic Floors,Not for sale
옐로그린 모로칸 타일 바닥,olive desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco03.png,No,No,2100,525,Nook's Cranny,,bathroom,facility,None,Morocco,For sale
오렌지 밀리터리 바닥,orange camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage03.png,No,No,1320,330,Nook's Cranny,,party,child's room,None,Camouflage,For sale
오렌지색 복고풍 바닥,orange retro flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorKitchen00.png,No,No,1540,385,Nook's Cranny,,kitchen,shop,None,Kitchen Floors,For sale
아틀리에 바닥,paintball flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAtelier00.png,No,No,3000,750,Saharah,,garage,facility,None,Stone Floors,Not for sale
궁전 바닥,palace tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPalace00.png,No,No,3000,750,Saharah,,expensive,folk art,None,Luxury,Not for sale
주차장 바닥,parking flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParking00.png,No,No,3000,750,Saharah,,facility,None,None,Sidewalk,Not for sale
파티 바닥,party flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorParty00.png,No,No,NFS,370,Birthday,,party,fancy,None,Decadence,Not for sale
파스텔 퍼즐 바닥,pastel puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat00.png,No,No,1450,362,Nook's Cranny,,fancy,child's room,None,Puzzle Mat,For sale
패치워크 타일 바닥,patchwork-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPatchworkTile00.png,No,No,2100,525,Nook's Cranny,,expensive,shop,None,Tile Floors,For sale
레드우드 마룻바닥,pine-board flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSimple00.png,No,No,2500,625,Nook's Cranny,,living room,child's room,None,Wood Floors,For sale
핑크 페인트 마룻바닥,pink-paint flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPaintWood02.png,No,No,1040,260,Nook's Cranny,,fancy,child's room,None,Painted Wood,For sale
퍼플 밀리터리 바닥,purple camo flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorCamouflage02.png,No,No,1320,330,Nook's Cranny,,party,child's room,None,Camouflage,For sale
퍼플 모로칸 타일 바닥,purple desert-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorMorocco02.png,No,No,2100,525,Nook's Cranny,,bathroom,facility,None,Morocco,For sale
퍼플 퍼즐 바닥,purple puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat03.png,No,No,1450,362,Nook's Cranny,,fancy,None,None,Puzzle Mat,For sale
피라미드 바닥,pyramid tile,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEgypt00.png,No,No,3000,750,Saharah,,folk art,None,None,Luxury,Not for sale
경주 트랙 바닥,racetrack flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorAthletics00.png,No,No,3000,750,Saharah,,fitness,school,None,Sports Floor,Not for sale
폐허 바닥,ramshackle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRuins00.png,No,No,3000,750,Saharah,,horror,None,None,Decadence,Not for sale
랜덤 사각 타일 바닥,random-square-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSquareTile00.png,No,No,1360,340,Nook's Cranny,,facility,shop,None,Tile Floors,For sale
라탄 바닥,rattan flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRattan00.png,No,No,1100,275,Nook's Cranny,,facility,shop,rattan,Wood Floors,For sale
레드 도트 카펫 바닥,red dot flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDot02.png,No,No,800,200,Nook's Cranny,,fancy,child's room,None,Dot,For sale
적흑 데코타일 바닥,red-and-black vinyl flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTileChecker01.png,No,No,1150,287,Nook's Cranny,,expensive,None,None,Tile Checker,For sale
빨간 벽돌 바닥,red-brick flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorBrick01.png,No,No,1040,260,Nook's Cranny,,facility,shop,None,Brick,For sale
바위 산 바닥,rocky-mountain flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRock00.png,No,No,3000,750,Saharah,,garden,None,None,Nature - Brown,Not for sale
장미 카펫 바닥,rose flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRoseCarpet00.png,No,No,2200,550,Nook's Cranny,,fancy,expensive,None,Cloth Floors,For sale
로즈우드 바닥,rosewood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRoseWood00.png,No,No,2420,605,Nook's Cranny,,expensive,living room,None,Wood Floors,For sale
고무 타일 바닥,rubber-tile flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorRubberTile00.png,No,No,700,175,Nook's Cranny,,facility,shop,None,Tile Floors,For sale
파란 테두리 일본식 바닥,rush tatami,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatami01.png,No,No,2200,550,Nook's Cranny,,zen-style,living room,None,Tatami,For sale
바둑판무늬 일본식 바닥,rush tatami flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorTatamiPanel01.png,No,No,2200,550,Nook's Cranny,,zen-style,living room,None,Tatami Panel,For sale
사막 바닥,Saharah's desert,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorDesert00.png,No,No,3000,750,Saharah,,folk art,None,None,Nature - White,Not for sale
벚꽃색 우드 바닥,sakura-wood flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSolidWood00.png,No,Yes,NFS,3200,Crafting,,child's room,fancy,None,Wood Floors,Not for sale
공터 바닥,sandlot,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorEmptyLot00.png,No,No,3000,750,Saharah,,garden,None,None,Nature - Brown,Not for sale
모래사장 바닥,sandy-beach flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSand00.png,No,Yes,NFS,4120,Crafting,,ocean,None,None,Nature - White,Not for sale
우주선 바닥,sci-fi flooring,https://acnhcdn.com/latest/FtrIcon/RoomSpFloorSF00.png,Yes,Yes,NFS,7500,Crafting,,space,facility,None,Special Inorganic Floors,Not for sale
대각선 횡단보도,scramble crosswalk,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorScramble00.png,No,No,3000,750,Saharah,,facility,None,None,Sidewalk,Not for sale
세피아 퍼즐 바닥,sepia puzzle flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorPuzzleMat02.png,No,No,1450,362,Nook's Cranny,,fancy,child's room,None,Puzzle Mat,For sale
갑판 바닥,ship deck,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSeaView00.png,No,No,4000,1000,Nook's Cranny,,ocean,None,None,Sports Floor,For sale
보도블록 바닥,sidewalk flooring,https://acnhcdn.com/latest/FtrIcon/RoomTexFloorSidewalk01.png,No,No,3000,750,Saharah,,shop,facility,None,Sidewalk,Not for sale
