nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Version,Style,Label Themes,Type,Catalog
역반무테 안경,bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose2.png,Green,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
역반무테 안경,bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose3.png,Blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
역반무테 안경,bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose4.png,Yellow,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
역반무테 안경,bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose5.png,Pink,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
역반무테 안경,bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,Black,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; comfy; work,AccessoryEye,For sale
하금테 안경,browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont0.png,Black,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; formal,AccessoryEye,For sale
하금테 안경,browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont1.png,Brown,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; formal,AccessoryEye,For sale
하금테 안경,browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont2.png,Green,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; formal,AccessoryEye,For sale
하금테 안경,browline glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThurmont3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThurmont3.png,Gray,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,everyday; formal,AccessoryEye,For sale
풍선껌,bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum0.png,Pink,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
풍선껌,bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum1.png,Blue,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
풍선껌,bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum2.png,Yellow,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
풍선껌,bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum3.png,Green,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
풍선껌,bubblegum,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBubblegum4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBubblegum4.png,White,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
토끼 코,bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit0.png,Pink,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
토끼 코,bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit1.png,Yellow,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
토끼 코,bunny nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRabbit2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRabbit2.png,White,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
나비 선글라스,butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly0.png,Blue,No,1040,260,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cool,outdoorsy,AccessoryEye,For sale
나비 선글라스,butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly1.png,Red,No,1040,260,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cool,outdoorsy,AccessoryEye,For sale
나비 선글라스,butterfly shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassButterfly2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassButterfly2.png,Brown,No,1040,260,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cool,outdoorsy,AccessoryEye,For sale
슈가스컬 가면,candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina0.png,Purple,No,NFS,800,1x1,Gulliver,,All Year,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,Not for sale
슈가스컬 가면,candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina1.png,Orange,No,NFS,800,1x1,Gulliver,,All Year,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,Not for sale
슈가스컬 가면,candy-skull mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthCatrina2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthCatrina2.png,Blue,No,NFS,800,1x1,Gulliver,,All Year,1.0.0,Gorgeous,formal; party; theatrical,AccessoryEyeMouthInvisibleNose,Not for sale
고양이 코,cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat0.png,White,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
고양이 코,cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat1.png,Brown,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
고양이 코,cat nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCat2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCat2.png,Navy blue,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
오이 팩,cucumber pack,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthCucumber.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthCucumber.png,Green,No,490,122,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
꼬부랑 수염,curly mustache,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthRollingmustacheBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthRollingmustacheBlack.png,Black,No,700,175,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,fairy tale; formal; party,AccessoryMouthEarJaw,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber0.png,Red,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber1.png,Black,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber2.png,Silver,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber3.png,Purple,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber4.png,Green,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
사이버 선글라스,cyber shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassCyber5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassCyber5.png,Yellow,No,1300,325,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Active,party; theatrical,AccessoryEye,For sale
DAL 안대,DAL eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalmask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalmask0.png,Blue,No,NFS,1010,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Simple,comfy; vacation,AccessoryEye,Not for sale
DAL 선글라스,DAL sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDalglass0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDalglass0.png,Yellow,No,NFS,1010,1x1,Dodo Airlines,Received in mail from DAL after taking certain numbers of flights,All Year,1.0.0,Gorgeous,comfy; vacation,AccessoryEye,Not for sale
마스크,doctor's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthMaskWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthMaskWhite.png,White,No,140,35,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,everyday; goth; comfy,AccessoryMouthEarJaw,For sale
강아지 코,dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog0.png,White,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
강아지 코,dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog1.png,Beige,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
강아지 코,dog nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthDog2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthDog2.png,Black,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,For sale
더블 브리지 안경,double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge0.png,Gold,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,For sale
더블 브리지 안경,double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge1.png,Purple,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,For sale
더블 브리지 안경,double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge2.png,Silver,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,For sale
더블 브리지 안경,double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge3.png,Blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Elegant,comfy; vacation; work,AccessoryEye,For sale
빨대 안경,drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw0.png,Green,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,For sale
빨대 안경,drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw1.png,Blue,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,For sale
빨대 안경,drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw2.png,Pink,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,For sale
빨대 안경,drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw3.png,White,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Active,comfy; vacation; work,AcceEyeMouth,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask0.png,Blue,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask1.png,Pink,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask2.png,Gray,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask3.png,Green,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask4.png,Orange,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
아이마스크,eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask5.png,Red,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryEye,For sale
검정 안대,eye patch,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassPatchBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassPatchBlack.png,Black,No,140,35,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cool,fairy tale; goth,AccessoryOneEye,For sale
팩,facial mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPackWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPackWhite.png,White,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Simple,goth; comfy,AcceEyeMouth,For sale
가짜 코,fake nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthNoseRed.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthNoseRed.png,Red,No,490,122,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AcceEyeMouth,For sale
플라워 선글라스,flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower0.png,Red,No,770,192,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,party; vacation,AccessoryEye,For sale
플라워 선글라스,flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower1.png,Orange,No,770,192,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,party; vacation,AccessoryEye,For sale
플라워 선글라스,flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower2.png,Blue,No,770,192,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,party; vacation,AccessoryEye,For sale
플라워 선글라스,flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower3.png,Purple,No,770,192,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,party; vacation,AccessoryEye,For sale
플라워 선글라스,flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower4.png,Green,No,770,192,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Cute,party; vacation,AccessoryEye,For sale
음식 부스러기,food mess,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthPasta.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthPasta.png,Pasta,No,490,122,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy,AccessoryMouth,For sale
코믹한 안경,funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes0.png,Brown,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,For sale
코믹한 안경,funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes1.png,Pink,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,For sale
코믹한 안경,funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes2.png,Blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cute,fairy tale; party; theatrical,AccessoryEye,For sale
가스 마스크,gas mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthGasmask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask0.png,Black,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cool,goth; work,AcceEyeMouth,For sale
가스 마스크,gas mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthGasmask1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask1.png,Avocado,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cool,goth; work,AcceEyeMouth,For sale
두꺼운 안경,glass-bottle glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBottleBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBottleBlack.png,Black,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,1.0.0,Simple,comfy; work,AccessoryEye,For sale
턱수염,goatee,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeardChinBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeardChinBlack.png,Black,No,980,245,1x1,Able Sisters,Available from Able Sisters shop only,All Year,1.0.0,Cool,everyday; comfy; theatrical,AccessoryMouthEarJaw,For sale
물안경,goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles0.png,Black,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,For sale
물안경,goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles1.png,Blue,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,For sale
물안경,goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles2.png,Pink,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,For sale
물안경,goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles3.png,Green,No,560,140,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,1.0.0,Active,outdoorsy; sporty; vacation,AccessoryEye,For sale
