nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Catalog,Primary Shape,Secondary Shape
아이누족 옷,attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi1.png,Brown,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; formal,For sale,B-long,L
아이누족 옷,attus robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLAttoushi2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLAttoushi2.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,everyday; formal,For sale,B-long,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers0.png,Baby mint,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers1.png,Baby purple,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers2.png,Baby yellow,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers3.png,Baby green,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers4.png,Baby pink,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers5.png,Baby gray,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers6.png,Baby blue,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
내리닫이 유아복,baby romper,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLRompers7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLRompers7.png,Baby orange,No,1920,480,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; comfy,For sale,Overall,L
병아리 의상,baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick0.png,Yellow,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Rib,N
병아리 의상,baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick1.png,Blue,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Rib,N
병아리 의상,baby-chick costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceRibNChick2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceRibNChick2.png,Beige,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Rib,N
두루마기 한복,baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea0.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
두루마기 한복,baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea1.png,Purple,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
두루마기 한복,baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea2.png,Aqua,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
두루마기 한복,baji jeogori,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceKimonoLKorea3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceKimonoLKorea3.png,Black,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,formal,For sale,Kimono,L
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet0.png,Pink,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet1.png,Mint,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet2.png,Blue,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet3.png,Purple,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet4.png,Black,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet5.png,White,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet6.png,Yellow,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
발레 의상,ballet outfit,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBalloonNBallet7.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBalloonNBallet7.png,Red,No,2880,720,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; sporty; theatrical; work,For sale,Balloon,N
스포티한 오버코트,balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLBalmakarn0.png,Avocado,No,1540,385,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Simple,everyday,For sale,B-long,L
스포티한 오버코트,balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLBalmakarn1.png,Beige,No,1540,385,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Simple,everyday,For sale,B-long,L
스포티한 오버코트,balmacaan coat,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBlongLBalmakarn2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBlongLBalmakarn2.png,Navy blue,No,1540,385,1x1,Able Sisters,Available from Able Sisters shop only,Winter,Simple,everyday,For sale,B-long,L
야구복,baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBaseball0.png,Red,No,1760,440,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,For sale,Overall,L
야구복,baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBaseball1.png,Navy blue,No,1760,440,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,For sale,Overall,L
야구복,baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBaseball2.png,Green,No,1760,440,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,For sale,Overall,L
야구복,baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBaseball3.png,Orange,No,1760,440,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,For sale,Overall,L
야구복,baseball uniform,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBaseball4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBaseball4.png,Yellow,No,1760,440,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,For sale,Overall,L
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel0.png,Pink,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel1.png,White,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel2.png,Blue,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel3.png,Green,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel4.png,Purple,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel5.png,Black,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 수건,bath-towel wrap,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxNBathtowel6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxNBathtowel6.png,Brown,No,630,157,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,N
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes0.png,White,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes1.png,Pink,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes2.png,Blue,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes3.png,Green,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes4.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes4.png,Purple,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes5.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes5.png,Black,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
목욕 가운,bathrobe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceBoxLBathrobes6.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceBoxLBathrobes6.png,Brown,No,720,180,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,comfy,For sale,Box,L
곰 의상,bear costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBear0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBear0.png,Brown,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Overall,L
곰 의상,bear costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBear1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBear1.png,Black,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Overall,L
곰 의상,bear costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBear2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBear2.png,Pink,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Overall,L
곰 의상,bear costume,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceOverallLBear3.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceOverallLBear3.png,Blue,No,1700,425,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,For sale,Overall,L
우즈베키스탄풍 옷,bekasab robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlongLUzbek0.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlongLUzbek0.png,Red,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday; formal,For sale,A-long,L
우즈베키스탄풍 옷,bekasab robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlongLUzbek1.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlongLUzbek1.png,Blue,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday; formal,For sale,A-long,L
우즈베키스탄풍 옷,bekasab robe,https://acnhcdn.com/latest/ClosetIcon/TopsTexOnepieceAlongLUzbek2.png,https://acnhcdn.com/latest/FtrIcon/TopsTexOnepieceAlongLUzbek2.png,Camel,No,2520,630,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Gorgeous,everyday; formal,For sale,A-long,L
