nameEng,nameKor,source,imageUrl
Dozing,ÄðÄð,´À³¢ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Dozing.png?alt=media&token=98db7c41-1326-47e7-bcac-6afa0b4e301d
Encouraging,Èû³»!,¿îµ¿±¤,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Encouraging.png?alt=media&token=57f78b05-d4c0-4f10-8e5e-f444b256c185
Fearful,´ú´ú´ú,Ä£ÀýÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Fearful.png?alt=media&token=451f899a-44a5-4c9a-8340-011058084d21
Flourish,´í½º,¿îµ¿±¤,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Flourish.png?alt=media&token=319d917f-53e5-4a14-9fb4-b21b2d74cc16
Glee,½Å¹Ù¶÷,Ä£ÀýÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Glee.png?alt=media&token=9cb5b1b1-54b0-4a55-ba82-b4b5933f80a8
Greetings,¾È³ç!,¸ðµÎ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Greetings.png?alt=media&token=2d50c7d9-2b54-4543-9f30-f28713fd8c78
Happiness,½Ì±Ûº¡±Û,¾ÆÀÌµ¹,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Happiness.png?alt=media&token=acd574ad-cef2-4689-b499-0f61379d59b2
Heartbreak,½Ç¿¬,´À³¢ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Heartbreak.png?alt=media&token=1a5d1549-20a5-4a3c-8303-02b207ac17f8
Inspiration,¹ø¶à,¹«¶Ò¶Ò,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Inspiration.png?alt=media&token=27fc9e7b-db6c-4836-87c3-7290f983df97
Intense,Á¶¿ë,¼º¼÷ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Intense.png?alt=media&token=de3334d7-4113-446b-a614-d522fb130b94
Joy,ÇØÇÇ,¸ðµÎ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Joy.png?alt=media&token=42f72ab5-73f5-449e-876a-49a23d800751
Laughter,¿ô±â,´Ü¼øÈ°¹ß,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Laughter.png?alt=media&token=193cba01-3c72-49ce-b2d2-6836e887d937
Love,·¯ºê,¼º¼÷ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Love.png?alt=media&token=72b65aeb-1ed4-433c-8233-c1f176e5f278
Mischief,²á²áÀÌ,¾ÆÀÌµ¹,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Mischief.png?alt=media&token=961d9865-b95e-490a-bfe7-7d6cb66361f5
Mistaken,¾ÆÂ÷!,¸Ôº¸,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Mistaken.png?alt=media&token=e4a9b524-e2da-4817-b959-d3ea84e98bc2
Pleased,±îµü,Ä£ÀýÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Pleased.png?alt=media&token=9409f8ba-908a-4cd4-894e-307b29d79e65
Pride,Àß³­Ã¼,¸Ôº¸,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Pride.png?alt=media&token=c3511c31-815e-4ba8-9403-6cbeefa53ef3
Resignation,³ªÂü¡¦,´À³¢ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Resignation.png?alt=media&token=1e529afd-db4a-4135-b5ab-d342e0510e08
Sadness,½Ç¸Á,Ä£ÀýÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sadness.png?alt=media&token=ed02be0c-c75b-4bdc-8d54-a69057fc3740
Sheepishness,¾´¿ôÀ½,¹«¶Ò¶Ò,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sheepishness.png?alt=media&token=00043fe2-1ddf-48b2-9028-e79338931685
Shocked,¶ß¾Ç!,¿îµ¿±¤,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Shocked.png?alt=media&token=f09411c2-4da3-4f5c-baec-fe77707b4840
Showmanship,Â¥ÀÜ!,´À³¢ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Showmanship.png?alt=media&token=3f572c64-f37a-4c9d-a489-3a95ebc1f3ed
Shyness,¸Ó¹µ,¸Ôº¸,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Shyness.png?alt=media&token=28832513-ba34-403a-ba29-078182fd0bb8
Sighing,ÇÑ¼û,¼º¼÷ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sighing.png?alt=media&token=4a6308c9-ee27-4df3-9f0c-473c337599db
Sleepy,ÇÏÇ°,¾ÆÀÌµ¹,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sleepy.png?alt=media&token=7643aa4c-b178-4467-bef1-9b8a72d078b7
Smirking,¾¾ÀÍ,´À³¢ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Smirking.png?alt=media&token=a200c15e-12c1-45dd-8ae7-be87fe73308d
Sneezing,ÀçÃ¤±â,¿îµ¿±¤,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sneezing.png?alt=media&token=49cdac3e-17c2-4a0f-ba7a-79b06b92abab
Sorrow,¿ï±â,¸Ôº¸,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Sorrow.png?alt=media&token=4e8f3661-1b64-4cd7-8999-adbedfeddd52
Surprise,¾ÆÇÏ!,¸ðµÎ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Surprise.png?alt=media&token=f72762df-b19c-44ac-ae16-1d4f20d10d67
Thought,°í¹Î,¼º¼÷ÇÔ,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Thought.png?alt=media&token=cc75a086-ea6f-477c-b46b-e3349559c3e5
Worry,°ï¶õ,¹«¶Ò¶Ò,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/reaction%2Freaction_Worry.png?alt=media&token=9efcd56f-3b1d-4812-8dda-d80483c84c73
