nameKor,Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,Size,Source,Source Notes,Seasonal Availability,Style,Label Themes,Type,Catalog
아란 니트 모자,Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan3.png,Green,No,880,220,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Winter,Simple,everyday; outdoorsy; comfy,HeadCap,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet0.png,Baby mint,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet1.png,Baby purple,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet2.png,Baby yellow,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet3.png,Baby green,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet4.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet4.png,Baby pink,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet5.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet5.png,Baby gray,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet6.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet6.png,Baby blue,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
아기 모자,baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet7.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet7.png,Baby orange,No,560,140,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,comfy,Headgear_HasBang,For sale
풍선 모자,balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon0.png,Rainbow,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,party; theatrical,HeadCap,For sale
풍선 모자,balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon1.png,Orange,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,party; theatrical,HeadCap,For sale
풍선 모자,balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon2.png,Blue,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,party; theatrical,HeadCap,For sale
풍선 모자,balloon hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBalloon3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBalloon3.png,Green,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,party; theatrical,HeadCap,For sale
삼각 삿갓,bamboo hat,https://acnhcdn.com/latest/ClosetIcon/CapHatAjiroBeige.png,https://acnhcdn.com/latest/FtrIcon/CapHatAjiroBeige.png,Beige,Yes,NFS,200,1x1,Crafting,,All Year,Simple,fairy tale; outdoorsy,HeadCap,Not for sale
바레트,barrette,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTBarrette0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTBarrette0.png,Pink,No,490,122,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,everyday; fairy tale; party,HeadHairOrnament_Back,For sale
야구 모자,baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball0.png,Red,No,840,210,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; sporty; work,HeadCap,For sale
야구 모자,baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball1.png,Navy blue,No,840,210,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; sporty; work,HeadCap,For sale
야구 모자,baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball2.png,Green,No,840,210,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; sporty; work,HeadCap,For sale
야구 모자,baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball3.png,Orange,No,840,210,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; sporty; work,HeadCap,For sale
야구 모자,baseball cap,https://acnhcdn.com/latest/ClosetIcon/CapHatBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBaseball4.png,Yellow,No,840,210,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Active,outdoorsy; sporty; work,HeadCap,For sale
야구 헬멧,batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball0.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball0.png,Red,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,Headgear_NoEar,For sale
야구 헬멧,batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball1.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball1.png,Navy blue,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,Headgear_NoEar,For sale
야구 헬멧,batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball2.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball2.png,Green,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,Headgear_NoEar,For sale
야구 헬멧,batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball3.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball3.png,Orange,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,Headgear_NoEar,For sale
야구 헬멧,batter's helmet,https://acnhcdn.com/latest/ClosetIcon/CapHelmetBaseball4.png,https://acnhcdn.com/latest/FtrIcon/CapHelmetBaseball4.png,Yellow,No,1040,260,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,Headgear_NoEar,For sale
곰 모자,bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear0.png,Brown,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
곰 모자,bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear1.png,Black,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
곰 모자,bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear2.png,Pink,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
곰 모자,bear cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsBear3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBear3.png,Blue,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret0.png,Berry red,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret1.png,Blue,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret2.png,Green,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret3.png,Mustard,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret4.png,Gray,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
베레모,beret,https://acnhcdn.com/latest/ClosetIcon/CapHatBeret5.png,https://acnhcdn.com/latest/FtrIcon/CapHatBeret5.png,White,No,880,220,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,everyday; formal; party,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet0.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet0.png,Blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet1.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet1.png,Navy blue,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet2.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet2.png,Red,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet3.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet3.png,Lime,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet4.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet4.png,Green,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet5.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet5.png,Orange,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet6.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet6.png,Purple,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
자전거 헬멧,bicycle helmet,https://acnhcdn.com/latest/ClosetIcon/CapHatCyclemet7.png,https://acnhcdn.com/latest/FtrIcon/CapHatCyclemet7.png,Pink,No,1100,275,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty,HeadCap,For sale
생일 모자,birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday0.png,Blue,No,NFS,600,1x1,Birthday,,All Year,Gorgeous,party,HeadCap,Not for sale
생일 모자,birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday1.png,Yellow,No,NFS,600,1x1,Birthday,,All Year,Gorgeous,party,HeadCap,Not for sale
생일 모자,birthday hat,https://acnhcdn.com/latest/ClosetIcon/CapHatBirthday2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBirthday2.png,Pink,No,NFS,600,1x1,Birthday,,All Year,Gorgeous,party,HeadCap,Not for sale
블루 장미 화관,blue rose crown,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentRose4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentRose4.png,Blue,Yes,NFS,12000,1x1,Crafting,,All Year,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Not for sale
리본 페도라,bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler0.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler0.png,Blue,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,fairy tale; formal; party,HeadCap,For sale
리본 페도라,bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler1.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler1.png,Beige,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,fairy tale; formal; party,HeadCap,For sale
리본 페도라,bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler2.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler2.png,Green,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,fairy tale; formal; party,HeadCap,For sale
리본 페도라,bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler3.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler3.png,Red,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,fairy tale; formal; party,HeadCap,For sale
리본 페도라,bowler hat with ribbon,https://acnhcdn.com/latest/ClosetIcon/CapHatBowler4.png,https://acnhcdn.com/latest/FtrIcon/CapHatBowler4.png,Pink,No,1100,275,1x1,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Elegant,fairy tale; formal; party,HeadCap,For sale
순백 베일,bridal veil,https://acnhcdn.com/latest/ClosetIcon/CapWigWedding.png,https://acnhcdn.com/latest/FtrIcon/CapWigWedding.png,,No,4600,1150,1x1,Wedding Season,,All Year,Elegant,,Headgear_HasEar,Not for sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun0.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun0.png,Pink,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun1.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun1.png,Blue,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun2.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun2.png,Mustard,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun3.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun3.png,White,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun4.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun4.png,Purple,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun5.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun5.png,Green,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
양갈래 머리,bun wig,https://acnhcdn.com/latest/ClosetIcon/CapWigDoublebun6.png,https://acnhcdn.com/latest/FtrIcon/CapWigDoublebun6.png,Orange,No,1440,360,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,theatrical,Headgear_HasEar,For sale
이스터 화관,Bunny Day crown,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentCEgg0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentCEgg0.png,NA,Yes,NFS,2400,1x1,Crafting,,All Year,Elegant,fairy tale; party; theatrical,HeadHairOrnament_Top,Not for sale
토끼 귀,bunny ears,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny0.png,Black,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,For sale
토끼 귀,bunny ears,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny1.png,Pink,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,For sale
토끼 귀,bunny ears,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny2.png,Red,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,For sale
토끼 귀,bunny ears,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFBunny3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFBunny3.png,Light blue,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,HeadHairOrnament_Front,For sale
토끼 모자,bunny hood,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit0.png,Pink,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party,Headgear_HasBang,For sale
토끼 모자,bunny hood,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit1.png,Yellow,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party,Headgear_HasBang,For sale
토끼 모자,bunny hood,https://acnhcdn.com/latest/ClosetIcon/CapBangsRabbit2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsRabbit2.png,White,No,1120,280,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party,Headgear_HasBang,For sale
캡틴 모자,captain's hat,https://acnhcdn.com/latest/ClosetIcon/CapHatCaptainWhite.png,https://acnhcdn.com/latest/FtrIcon/CapHatCaptainWhite.png,White,No,1680,420,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cool,formal; work,HeadCap,For sale
고양이 모자,cat cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsCat0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsCat0.png,Navy blue,No,980,245,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
고양이 모자,cat cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsCat1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsCat1.png,Brown,No,980,245,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
고양이 모자,cat cap,https://acnhcdn.com/latest/ClosetIcon/CapBangsCat2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsCat2.png,White,No,980,245,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Cute,fairy tale; party; theatrical,Headgear_HasBang,For sale
포수 마스크,catcher's mask,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceCatcher0.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceCatcher0.png,Red,No,1560,390,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,HeadFullFace,For sale
포수 마스크,catcher's mask,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceCatcher1.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceCatcher1.png,Navy blue,No,1560,390,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,HeadFullFace,For sale
포수 마스크,catcher's mask,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceCatcher2.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceCatcher2.png,Green,No,1560,390,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,HeadFullFace,For sale
포수 마스크,catcher's mask,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceCatcher3.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceCatcher3.png,Orange,No,1560,390,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,HeadFullFace,For sale
포수 마스크,catcher's mask,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceCatcher4.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceCatcher4.png,Yellow,No,1560,390,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Active,sporty; work,HeadFullFace,For sale
기사 모자,cavalier hat,https://acnhcdn.com/latest/ClosetIcon/CapHatCavalier0.png,https://acnhcdn.com/latest/FtrIcon/CapHatCavalier0.png,Blue,No,1600,400,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,fairy tale; theatrical,HeadCap,For sale
기사 모자,cavalier hat,https://acnhcdn.com/latest/ClosetIcon/CapHatCavalier1.png,https://acnhcdn.com/latest/FtrIcon/CapHatCavalier1.png,Red,No,1600,400,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,fairy tale; theatrical,HeadCap,For sale
기사 모자,cavalier hat,https://acnhcdn.com/latest/ClosetIcon/CapHatCavalier2.png,https://acnhcdn.com/latest/FtrIcon/CapHatCavalier2.png,Green,No,1600,400,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Elegant,fairy tale; theatrical,HeadCap,For sale
요리사 모자,chef's hat,https://acnhcdn.com/latest/ClosetIcon/CapHatCockWhite.png,https://acnhcdn.com/latest/FtrIcon/CapHatCockWhite.png,White,No,840,210,1x1,Able Sisters,Available from Able Sisters shop only,All Year,Simple,work,HeadCap,For sale
