nameKor,Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Concept 1,HHA Concept 2,HHA Series,Tag
구슬 커튼 벽,beaded-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBeadsCurtain00.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,shop,kitchen,None,Cloth Walls
베이지 아르데코풍 벽,beige art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco00.png,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Wood,child's room,living room,None,Art Deco Walls
베이지 풀꽃 벽,beige blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry00.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,fancy,living room,None,Country
베이지 모로칸 타일 벽,beige desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco00.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Morocco
블랙 보태니컬 타일 벽,black botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile03.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,facility,expensive,None,Wood Tile Walls
검정 홀 벽,black hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall03.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,facility,music,None,Hall Walls
검정 펀칭 보드 벽,black perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard02.png,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,music,facility,None,Pegboard Walls
흑백 투톤 타일 벽,black two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile06.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Two-Tone Tile Walls
검정 벽돌 벽,black-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick02.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,facility,shop,None,Brick
블랙 왕관 벽지,black-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown01.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,expensive,None,None,Crown Walls
칠판 벽,blackboard wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlackBoard00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,shop,school,None,Neta Walls
파란 풀꽃 벽,blue blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry02.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,fancy,living room,None,Country
블루 밀리터리 벽지,blue camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage01.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,party,child's room,None,Camouflage
파란 잔꽃무늬 벽지,blue delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor03.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls
블루 모로칸 타일 벽,blue desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco01.png,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Morocco
파란 다이너 벽,blue diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner00.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,fancy,shop,None,Diner Walls
파란 꽃무늬 벽지,blue flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower03.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Light blue,Wood,fancy,living room,None,Flower Walls
블루 하트 벽지,blue heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart00.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,None,Heart Walls
파란 육각 타일 벽,blue honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb01.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,bathroom,facility,None,Honeycomb
파란 텍스타일 벽,blue intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop00.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,living room,shop,None,Flower Pop Walls
블루 패널 몰드 벽,blue molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold01.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,expensive,shop,None,Panel Mold Walls
파란 페인트 우드 벽,blue painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood00.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Wood,fancy,living room,None,Painted Wood
파란 놀이방 벽지,blue playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy00.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,child's room,fancy,None,Toy Walls
블루 퀼트 벽,blue quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse01.png,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,fancy,child's room,None,Dollhouse Walls
블루 강판 벽,blue shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin02.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,garage,None,None,Tin Walls
파란 심플 벽지,blue simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple03.png,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Wood,child's room,living room,None,Simple Walls
파란 메트로 타일 벽,blue subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro00.png,No,NA,No,1340,335,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,facility,shop,None,Metro Walls
파란 타일 벽,blue tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile03.png,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,bathroom,facility,None,Tile Walls
파란 투톤 타일 벽,blue two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile05.png,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,bathroom,facility,None,Two-Tone Tile Walls
블루 왕관 벽지,blue-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown00.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,expensive,None,None,Crown Walls
파란 페인트 벽,blue-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco03.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Stone,fancy,living room,None,Stucco Walls
파란 장미 벽지,blue-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose03.png,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,fancy,living room,None,Rose Walls
블루 줄무늬 벽지,blue-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe03.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,fancy,child's room,None,Stripe Walls
보태니컬 타일 벽,botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile02.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Natural Wood,Stone,facility,expensive,None,Wood Tile Walls
브라운 보태니컬 타일 벽,brown botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile01.png,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,facility,expensive,None,Wood Tile Walls
갈색 다이너 벽,brown diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner03.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,fancy,shop,None,Diner Walls
갈색 홀 벽,brown hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall00.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,facility,music,None,Hall Walls
갈색 헤링본 벽,brown herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone00.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,living room,shop,None,Herringbone
브라운 강판 벽,brown shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin03.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,garage,None,None,Tin Walls
갈색 웨딩 벽,brown wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch01.png,No,NA,No,3000,750,Wedding Season,,Not for sale,None,NA,NA,None,NA,Stone,party,expensive,wedding,Cloth Walls
갈색 벽돌 벽,brown-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick03.png,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Wood,facility,shop,None,Brick
브라운 왕관 벽지,brown-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown03.png,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,expensive,None,None,Crown Walls
이스터 벽지,Bunny Day wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEaster00.png,No,NA,Yes,NFS,4800,Crafting,,Not for sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,fancy,child's room,Bunny Day,Cloth Walls
나비 벽지,butterflies wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallInsect00.png,No,NA,No,NFS,840,Bug-Off,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,facility,None,Nature Walls
통나무집 벽,cabin wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLog00.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,living room,facility,None,Wood Walls
카페 커튼 벽,café-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCafe00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,shop,expensive,None,Special Walls
밀리터리 벽지,camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage00.png,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Plain,party,child's room,None,Camouflage
공터 벽,chain-link fence,https://acnhcdn.com/latest/FtrIcon/RoomSpWallEmptyLot00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,garden,garage,None,Special Cool Nature Walls
체리 벽지,cherry wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCherry00.png,No,Random,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,child's room,fancy,fruits,Fruit Walls
벚나무길 벽,cherry-blossom-trees wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSakura00.png,Yes,NA,Yes,NFS,4600,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,garden,None,cherry blossoms,Special Warm Nature Walls
시크한 다도실 벽,chic tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud03.png,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Wood,zen-style,shop,None,Tea Room Walls
클래식 벽지,chic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallClassic00.png,No,NA,No,1960,490,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,expensive,living room,None,Cloth Walls
고동색 홀 벽,chocolate hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall01.png,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,facility,music,None,Hall Walls
고동색 헤링본 벽,chocolate herringbone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHerringbone01.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,living room,shop,None,Herringbone
전자 회로 벽,circuit-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGeek00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,facility,None,None,Neta Walls
야경 벽,cityscape wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallNightView00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,shop,expensive,None,Special Walls
도서관 벽,classic-library wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallLibrary00.png,No,NA,Yes,NFS,1450,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,den,None,None,Library Walls
컬러풀 퍼즐 벽지,colorful puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle01.png,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,fancy,child's room,None,Puzzle Walls
컬러풀 타일 벽,colorful-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile02.png,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,bathroom,facility,None,Tile Walls
평범한 벽,common wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCommon00.png,No,NA,No,800,200,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Stone,living room,school,None,Stone Walls
콘크리트 벽,concrete wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallConcrete00.png,No,NA,No,940,235,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,garage,facility,None,Stone Walls
공사 현장 벽,construction-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBlueSheet00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,garage,facility,None,Neta Walls
면직물 무늬 벽지,crepe-design wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrepe00.png,No,NA,No,1550,387,Nook's Cranny,,For sale,Circle,Grey Wood,Screen,None,NA,Cloth,zen-style,None,None,Japanese Style
블루 큐트 벽,cute blue wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute02.png,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,fancy,child's room,None,Cute Walls
레드 큐트 벽,cute red wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute01.png,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,fancy,child's room,None,Cute Walls
화이트 큐트 벽,cute white wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute00.png,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,fancy,child's room,None,Cute Walls
옐로 큐트 벽,cute yellow wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCute03.png,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,fancy,child's room,None,Cute Walls
짙은 색 나무로 짠 벽,dark wooden-mosaic wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMixPlankWood01.png,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Tile,living room,shop,None,Wood Plank Walls
다크 초콜릿 벽,dark-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate00.png,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,fancy,None,None,Chocolate
사막 벽,desert vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallDesert00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,folk art,None,None,Special Cool Nature Walls
지층 벽,dig-site wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStratum00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,garden,horror,None,Stone Walls
낡은 토벽,dirt-clod wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOldSoil00.png,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,Natural Wood,Screen,None,NA,Wood,horror,None,None,Stone Walls
씨름판 벽,dojo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBaseboards00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,fitness,zen-style,None,Wood Walls
지하 감옥 벽,dungeon wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallJail00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,horror,None,None,Special Inorganic Walls
차이나풍 벽,exquisite wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChina00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,zen-style,shop,None,Asia
버섯숲 벽지,forest wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMushForest00.png,No,Synchro,Yes,NFS,44000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,garden,None,mush,Nature Walls
오버 테크놀로지 벽,future-tech wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTechnology00.png,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,horror,folk art,None,Special Inorganic Walls
쓰레기 더미 벽,garbage-heap wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGarbage00.png,No,NA,Yes,NFS,120,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,garage,horror,None,Neta Walls
황금 미닫이 문 벽,gold-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusumaGorgeous00.png,No,NA,Yes,NFS,20750,Crafting,,Not for sale,None,NA,NA,None,NA,Gold,zen-style,expensive,None,Japanese Style
황금 벽,golden wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallGold00.png,No,NA,Yes,NFS,40000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,expensive,horror,golden,Asia
하얀 다이너 벽,gray diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner02.png,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,fancy,shop,None,Diner Walls
그레이 패널 몰드 벽,gray molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold02.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,expensive,shop,None,Panel Mold Walls
그레이 강판 벽,gray shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin00.png,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,garage,None,None,Tin Walls
흑백 줄무늬 벽지,gray-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe02.png,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,fancy,child's room,None,Stripe Walls
초록 풀꽃 벽,green blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry03.png,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,fancy,living room,None,Country
그린 잔꽃무늬 벽지,green delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor02.png,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,expensive,living room,None,Manor Walls
그린 꽃무늬 벽지,green flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower01.png,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,Green,Stone,fancy,living room,None,Flower Walls
초록 육각 타일 벽,green honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb02.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Grey Metal,Glass,None,NA,Wood,bathroom,facility,None,Honeycomb
초록 텍스타일 벽,green intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop02.png,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,living room,shop,None,Flower Pop Walls
초록 패널 몰드 벽,green molded-panel wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPanelMold03.png,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,fancy,child's room,None,Panel Mold Walls
초록 페인트 우드 벽,green painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood01.png,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,fancy,child's room,None,Painted Wood
초록 놀이방 벽지,green playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy02.png,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,child's room,fancy,None,Toy Walls
초록 웨딩 벽,green wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch02.png,No,NA,No,3000,750,Wedding Season,,Not for sale,None,NA,NA,None,NA,Stone,party,expensive,wedding,Cloth Walls
초록 페인트 벽,green-paint wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStucco04.png,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Cloth,fancy,living room,None,Stucco Walls
사이키델릭 벽지,groovy wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPsyche00.png,No,NA,No,1280,320,Nook's Cranny,,For sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,party,None,None,Cloth Walls
오리엔탈 벽,harmonious wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallOriental00.png,No,NA,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,zen-style,shop,None,Asia
극장 커튼 벽,heavy-curtain wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallThickCurtain00.png,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,music,party,None,Cloth Walls
벌집 벽,honeycomb wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoney00.png,No,NA,Yes,NFS,3600,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,fancy,facility,None,Tile Walls
육각 타일 벽,honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb00.png,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,bathroom,facility,None,Honeycomb
아이스 벽,ice wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallIce00.png,Yes,NA,Yes,NFS,8200,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,freezing cold,facility,frozen,Special Walls
