index,nameKor,partsKor,indexEngName,price,size,museumLocation,interact,imgUrl
23,브라키오사우루스,꼬리,brachiotail,5500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_023_brachiotail.png?alt=media&token=351eb940-f646-4ae8-ac2c-f5e189f0bf37
24,데이노니쿠스,머리,deinonytorso,3000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_024_deinonytorso.png?alt=media&token=ebf809f9-8f68-4740-922d-8a1d910c57ee
25,데이노니쿠스,꼬리,deinonytail,2500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_025_deinonytail.png?alt=media&token=4859ecbf-8f9d-4674-90c0-4ace5383fe04
26,디메트로돈,머리,dimetrodonskull,5500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_026_dimetrodonskull.png?alt=media&token=cdd2784a-6d29-4890-a17b-5d9fea6a24d5
27,디메트로돈,몸통,dimetrodontorso,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_027_dimetrodontorso.png?alt=media&token=fc4c18f3-bcc5-4d0f-a4a0-cc7c754f58ae
28,디플로도쿠스,머리,diploskull,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_028_diploskull.png?alt=media&token=5dde25ca-99f6-4d0f-b7f4-d3e8d3afa4d0
29,디플로도쿠스,목,diploneck,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_029_diploneck.png?alt=media&token=e928cb85-73de-40db-a15d-fe6c0dc2b079
30,디플로도쿠스,가슴,diplochest,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_030_diplochest.png?alt=media&token=5a615c2a-c135-42d7-b290-beb8cecca949
31,디플로도쿠스,허리,diplopelvis,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_031_diplopelvis.png?alt=media&token=49ab0965-dc11-4e90-95c2-6fe64bc1d723
32,디플로도쿠스,꼬리,diplotail,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_032_diplotail.png?alt=media&token=302e7d21-acdc-480a-9f24-6417d1ef8ece
33,디플로도쿠스,꼬리 끝,diplotailtip,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_033_diplotailtip.png?alt=media&token=d590cb9a-40fd-4ba7-b028-e32f1a5d1afd
34,이구아노돈,머리,iguanodonskull,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_034_iguanodonskull.png?alt=media&token=fc6dd834-717c-4197-9236-c93aaeeb8324
35,이구아노돈,몸통,iguanodontorso,3500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_035_iguanodontorso.png?alt=media&token=3cf0559d-cac7-4488-a676-b5ad2bccb02f
36,이구아노돈,꼬리,iguanodontail,3000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_036_iguanodontail.png?alt=media&token=7a392d08-53fc-4902-8ac3-e3d3f3f2ba24
37,매머드,머리,mammothskull,3000,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_037_mammothskull.png?alt=media&token=8a5cf0cf-9366-4c4a-a9c5-2e27e9c6de7a
38,매머드,몸통,mammothtorso,2500,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_038_mammothtorso.png?alt=media&token=95c5debb-e5af-4a98-87b4-35d7dc2671f6
39,메가케롭스,머리,megaceroskull,4500,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_039_megaceroskull.png?alt=media&token=2259be4d-51fa-439e-b2d3-057b091cced6
40,메가케롭스,몸통,megacerotorso,3500,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_040_megacerotorso.png?alt=media&token=ddf78fa2-d3fb-49b5-824d-1e18f98436da
41,메가케롭스,꼬리,megacerotail,3000,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_041_megacerotail.png?alt=media&token=b974ef00-d5e2-4ec8-a70b-bdbd13b95b76
42,메갈로케로스,왼쪽 반신,leftmegaloside,4000,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_042_leftmegaloside.png?alt=media&token=e52cfbba-36af-4c60-a3fc-ee66ae2e9f17
43,메갈로케로스,오른쪽 반신,rightmegaloside,5500,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_043_rightmegaloside.png?alt=media&token=d1aa479d-25c0-4e8c-b00a-120085f38646
44,오프탈모사우루스,머리,ophthalmoskull,2500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_044_ophthalmoskull.png?alt=media&token=dbb021b6-7e1d-4a50-8a49-ae0e090ea4ba
45,오프탈모사우루스,몸통,ophthalmotorso,2000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_045_ophthalmotorso.png?alt=media&token=48c00d9c-7358-4469-a1aa-2393503e357c
46,파키케팔로사우루스,머리,pachysaurusskull,4000,2x2,Room 2,Yes,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_046_pachysaurusskull.png?alt=media&token=37fe2966-6d23-4034-9c5f-b649f2267d80
47,파키케팔로사우루스,몸통,pachysaurustail,3500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_047_pachysaurustail.png?alt=media&token=c6e282ff-a373-440e-b9bb-2709b6a78ee6
48,파라사우롤로푸스,머리,parasaurskull,3500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_048_parasaurskull.png?alt=media&token=1fa29909-2c07-4e03-bfa6-38de0c3f7c9b
49,파라사우롤로푸스,몸통,parasaurtorso,3000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_049_parasaurtorso.png?alt=media&token=5e10eed8-7beb-4f27-bb4e-979d13db5d6a
50,파라사우롤로푸스,꼬리,parasaurtail,2500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_050_parasaurtail.png?alt=media&token=08895cf3-c8e8-41cf-ae62-a893fd4fbc22
51,후타바사우루스,머리,plesioskull,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_051_plesioskull.png?alt=media&token=c5cf61c7-90ef-4dca-8a32-268c4d7a2dac
52,후타바사우루스,꼬리,plesiotail,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_052_plesiotail.png?alt=media&token=0e1b43ee-c67a-494d-aa0e-b0fdb39266e9
53,후타바사우루스,몸통,plesiobody,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_053_plesiobody.png?alt=media&token=db23d558-3182-4bb2-a30c-85af1a79442a
54,프테라노돈,오른날개,rightpterawing,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_054_rightpterawing.png?alt=media&token=2ca53f45-73c1-45e2-ac86-866bded4db03
55,프테라노돈,머리,pterabody,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_055_pterabody.png?alt=media&token=d5a5383e-7d3c-4528-93f0-1dba19e2d03d
56,프테라노돈,왼날개,leftpterawing,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_056_leftpterawing.png?alt=media&token=dbb49584-3a1a-40f7-a6e8-ae2eab7e0431
57,케찰코아틀루스,오른날개,rightquetzalwing,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_057_rightquetzalwing.png?alt=media&token=bb7bc319-7368-4dfc-b0d6-c698c91ed754
58,케찰코아틀루스,머리,quetzaltorso,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_058_quetzaltorso.png?alt=media&token=6bc43768-b71c-4273-b965-955f0c8e48b6
59,케찰코아틀루스,왼날개,leftquetzalwing,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_059_leftquetzalwing.png?alt=media&token=8d9dfa06-29f0-4b07-85fd-ba61e1500e0b
60,스밀로돈,머리,sabertoothskull,2500,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_060_sabertoothskull.png?alt=media&token=2ed206e5-775c-4e1e-9954-44402509b466
61,스밀로돈,몸통,sabertoothtail,2000,2x2,Room 3,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_061_sabertoothtail.png?alt=media&token=ada06956-4a21-49d2-a5b9-9d6a2b3d2293
62,스피노사우루스,머리,spinoskull,4000,2x2,Room 2,Yes,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_062_spinoskull.png?alt=media&token=a0db8dec-1228-4bae-b1f9-7f9fc8477f1a
63,스피노사우루스,몸통,spinotorso,3000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_063_spinotorso.png?alt=media&token=4f1dfab0-3989-4832-a8f7-ecc93cb97490
64,스피노사우루스,꼬리,spinotail,2500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_064_spinotail.png?alt=media&token=746ea851-a935-4984-88f3-2c11ccf11b44
65,스테고사우루스,머리,stegoskull,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_065_stegoskull.png?alt=media&token=a973cb04-9987-42a3-8d40-b7c5be20e9f5
66,스테고사우루스,몸통,stegotorso,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_066_stegotorso.png?alt=media&token=231db334-e5ac-4b8d-853c-ed95badeccd3
67,스테고사우루스,꼬리,stegotail,4000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_067_stegotail.png?alt=media&token=9a29e3fa-5250-49f7-93cd-e74b2cef5abf
68,트리케라톱스,머리,triceraskull,5500,2x2,Room 2,Yes,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_068_triceraskull.png?alt=media&token=7bf448fb-ddde-4169-a992-305096356ccc
69,트리케라톱스,몸통,triceratorso,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_069_triceratorso.png?alt=media&token=d5bb9a98-023c-431e-8fa3-9067c5088728
70,트리케라톱스,꼬리,triceratail,4500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_070_triceratail.png?alt=media&token=e3e749f4-dff6-47fc-a917-4c0a37c80966
71,티렉스,머리,trexskull,6000,2x2,Room 2,Yes,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_071_trexskull.png?alt=media&token=4b22f0cb-536d-4610-9eb4-7f38c37fe34f
72,티렉스,몸통,trextorso,5500,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_072_trextorso.png?alt=media&token=7fdfcc36-ebe1-4b47-acb8-0bdd8ff6b019
73,티렉스,꼬리,trextail,5000,2x2,Room 2,No,https://firebasestorage.googleapis.com/v0/b/acnh-wiki-f8aa7.appspot.com/o/fossil%2Fic_fossil_073_trextail.png?alt=media&token=013ce406-6d3b-4596-893b-bdd1be504159
