Name,Image,DIY,Buy,Sell,Size,Source,Source Notes,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog
iron entrance mat,https://acnhcdn.com/latest/FtrIcon/RugRectIronmatS00.png,No,1000,250,2x1 ,Saharah,Small rug,shop,expensive,iron,Slender Rugs,For sale
ivory medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM00.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,child's room,None,Shaggy Round Rugs,For sale
ivory simple bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS00.png,No,1000,250,2x1 ,Saharah,Small rug,bathroom,None,None,Slender Rugs,For sale
ivory small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS00.png,No,1000,250,2x2 ,Saharah,Small rug,living room,child's room,None,Shaggy Round Rugs,For sale
lacy rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLaceM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,expensive,None,Shaggy Round Rugs,For sale
ladybug rug,https://acnhcdn.com/latest/FtrIcon/RugRoundLadybirdM00.png,No,NFS,375,3x3 ,Bug-Off,,fancy,child's room,None,Icon Rugs,Not for sale
light bamboo rug,https://acnhcdn.com/latest/FtrIcon/RugRectBambooM00.png,Yes,NFS,2400,3x2 ,Crafting,,zen-style,None,None,Wood Rugs,Not for sale
magic-circle rug,https://acnhcdn.com/latest/FtrIcon/RugRoundMagicM00.png,No,1500,375,3x3 ,Saharah,Medium rug,horror,child's room,None,Shaggy Round Rugs,For sale
modern wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL00.png,No,2000,500,4x3 ,Saharah,Large rug,living room,child's room,None,Slender Pattern Rugs,For sale
Mom's cool kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS00.png,No,NFS,88,2x1 ,Mom,,fancy,kitchen,motherly,Kitchen Rugs,Not for sale
Mom's lively kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS02.png,No,NFS,88,2x1 ,Mom,,fancy,kitchen,motherly,Kitchen Rugs,Not for sale
Mom's playful kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS01.png,No,NFS,88,2x1 ,Mom,,fancy,kitchen,motherly,Kitchen Rugs,Not for sale
Mom's reliable kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectMomS03.png,No,NFS,88,2x1 ,Mom,,fancy,kitchen,motherly,Kitchen Rugs,Not for sale
monochromatic dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL00.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
monochromatic wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL01.png,No,2000,500,4x3 ,Saharah,Large rug,living room,child's room,None,Slender Pattern Rugs,For sale
mush rug,https://acnhcdn.com/latest/FtrIcon/RugOtherMushM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,mush,Icon Rugs,For sale
natural wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM01.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
Nook Inc. botanical rug,https://acnhcdn.com/latest/FtrIcon/RugOtherTanukiM00.png,No,NFS,5000,3x3,Nook Miles Shop,Medium rug,fancy,living room,None,Park Rugs,Not for sale
Nook Inc. rug,https://acnhcdn.com/latest/FtrIcon/RugOtherLeafM00.png,No,NFS,5000,3x3 ,Nook Miles Shop,Medium rug,fancy,child's room,None,Park Rugs,Not for sale
Nook Inc. silk rug,https://acnhcdn.com/latest/FtrIcon/RugRectTanukiL00.png,No,NFS,3000,4x3,Nook Miles Shop,Large rug,facility,shop,None,Park Rugs,Not for sale
orange rug,https://acnhcdn.com/latest/FtrIcon/RugOtherOrangeM00.png,Yes,NFS,1200,3x3 ,Crafting,Medium rug,fancy,child's room,fruits,Fruit Rugs,Not for sale
oval entrance mat,https://acnhcdn.com/latest/FtrIcon/RugOtherCountryS00.png,No,1000,250,2x1 ,Saharah,Small rug,living room,None,None,Slender Rugs,For sale
peach checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL02.png,No,2000,500,4x4 ,Saharah,Large rug,living room,child's room,None,Pattern Rugs,For sale
peach rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPeachM00.png,Yes,NFS,1200,3x3 ,Crafting,Medium rug,fancy,child's room,fruits,Fruit Rugs,Not for sale
peach stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL01.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
pear rug,https://acnhcdn.com/latest/FtrIcon/RugOtherPearM00.png,Yes,NFS,1200,3x3 ,Crafting,,fancy,child's room,fruits,Fruit Rugs,Not for sale
pink heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Heart Rugs,For sale
pink rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM00.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,expensive,None,Rose Rug,For sale
purple heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM02.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Heart Rugs,For sale
purple Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL03.png,No,2000,500,5x5 ,Saharah,Large rug,expensive,living room,None,Pattern Rugs,For sale
purple shaggy rug,https://acnhcdn.com/latest/FtrIcon/RugSquareShaggyL03.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
red argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL01.png,No,2000,500,4x3 ,Saharah,Large rug,living room,expensive,None,Slender Pattern Rugs,For sale
red blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM00.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
red carpet,https://acnhcdn.com/latest/FtrIcon/RugRectElegantM00.png,No,1500,375,3x2 ,Saharah,Medium rug,expensive,None,None,Slender Rugs,For sale
red dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL02.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
red kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL00.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
red medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM01.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,child's room,None,Shaggy Round Rugs,For sale
red message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS03.png,No,1000,250,2x1 ,Saharah,Small rug,child's room,None,None,Message Mats,For sale
red Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL00.png,No,2000,500,5x5 ,Saharah,Large rug,expensive,living room,None,Pattern Rugs,For sale
red rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM01.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,expensive,flowers,Rose Rug,For sale
red small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS01.png,No,1000,250,2x2 ,Saharah,Small rug,living room,child's room,None,Shaggy Round Rugs,For sale
red vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM02.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
red wavy rug,https://acnhcdn.com/latest/FtrIcon/RugRectWaveL03.png,No,2000,500,4x3 ,Saharah,Large rug,living room,child's room,None,Slender Pattern Rugs,For sale
red wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM02.png,No,1500,375,3x2,,Medium rug,party,expensive,wedding,Slender Pattern Rugs,Not for sale
red-and-blue checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL00.png,No,2000,500,4x4 ,Saharah,Large rug,living room,child's room,None,Pattern Rugs,For sale
red-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS00.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
retro dotted rug,https://acnhcdn.com/latest/FtrIcon/RugRectDotL01.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
rough rug,https://acnhcdn.com/latest/FtrIcon/RugRectDoormatS00.png,No,1000,250,2x1 ,Saharah,Small rug,school,facility,None,Slender Rugs,For sale
rubber mud mat,https://acnhcdn.com/latest/FtrIcon/RugRectRubberScraperS00.png,No,1000,250,2x1 ,Saharah,Small rug,school,None,None,Slender Rugs,For sale
shanty mat,https://acnhcdn.com/latest/FtrIcon/RugSquareOldStrawL00.png,No,2000,500,4x4 ,Saharah,Large rug,zen-style,None,None,Simple Rugs,For sale
shell rug,https://acnhcdn.com/latest/FtrIcon/RugOtherShellM00.png,Yes,NFS,5400,3x3 ,Crafting,,ocean,fancy,shell,Park Rugs,Not for sale
simple green bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS03.png,No,1000,250,2x1 ,Saharah,Small rug,bathroom,None,None,Slender Rugs,For sale
simple medium avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM03.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM07.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM02.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM01.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM05.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM06.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple medium red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM04.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
simple navy bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS01.png,No,1000,250,2x1 ,Saharah,Small rug,bathroom,None,None,Slender Rugs,For sale
simple pink bath mat,https://acnhcdn.com/latest/FtrIcon/RugRectBathmatS02.png,No,1000,250,2x1 ,Saharah,Small rug,bathroom,None,None,Slender Rugs,For sale
simple small avocado mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS03.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small black mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS07.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small blue mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS02.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small brown mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS01.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small orange mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS05.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small purple mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS06.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
simple small red mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS04.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
sloppy rug,https://acnhcdn.com/latest/FtrIcon/RugOtherSloppyL00.png,No,2000,500,4x4 ,Saharah,Large rug,living room,child's room,None,Simple Rugs,For sale
snowflake rug,https://acnhcdn.com/latest/FtrIcon/RugRoundSnowM00.png,No,1500,375,3x3 ,Saharah,Medium rug,freezing cold,fancy,None,Shaggy Round Rugs,For sale
tatami mat,https://acnhcdn.com/latest/FtrIcon/RugRectTatamiM00.png,No,1500,375,3x2 ,Saharah,Medium rug,zen-style,None,None,Wood Rugs,For sale
tropical rug,https://acnhcdn.com/latest/FtrIcon/RugRoundIslandM00.png,No,1500,375,3x3 ,Saharah,Medium rug,ocean,None,None,Park Rugs,For sale
turquoise heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM01.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Heart Rugs,For sale
white heart rug,https://acnhcdn.com/latest/FtrIcon/RugOtherHeartM03.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,child's room,None,Heart Rugs,For sale
white message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS00.png,No,1000,250,2x1 ,Saharah,Small rug,child's room,None,None,Message Mats,For sale
white rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM03.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,expensive,flowers,Rose Rug,For sale
white simple medium mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleM00.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,facility,None,Simple Rugs,For sale
white simple small mat,https://acnhcdn.com/latest/FtrIcon/RugSquareSimpleS00.png,No,1000,250,2x2 ,Saharah,Small rug,living room,facility,None,Simple Rugs,For sale
white wedding rug,https://acnhcdn.com/latest/FtrIcon/RugRectJuneBrideM03.png,No,1500,375,3x2,,Medium rug,party,expensive,wedding,Slender Pattern Rugs,Not for sale
white wooden-deck rug,https://acnhcdn.com/latest/FtrIcon/RugRectDeckM02.png,No,1500,375,3x2 ,Saharah,Medium rug,outdoors,None,None,Wood Rugs,For sale
yellow argyle rug,https://acnhcdn.com/latest/FtrIcon/RugRectArgyleL00.png,No,2000,500,4x3 ,Saharah,Large rug,living room,fancy,None,Slender Pattern Rugs,For sale
yellow blocks rug,https://acnhcdn.com/latest/FtrIcon/RugSquareBlockM02.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,None,None,Pattern Rugs,For sale
yellow checked rug,https://acnhcdn.com/latest/FtrIcon/RugSquareCheckQuiltL01.png,No,2000,500,4x4 ,Saharah,Large rug,living room,child's room,None,Pattern Rugs,For sale
yellow kilim-style carpet,https://acnhcdn.com/latest/FtrIcon/RugSquareKirimL03.png,No,2000,500,5x5 ,Saharah,Large rug,living room,None,None,Pattern Rugs,For sale
yellow kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectKitchenS01.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
yellow medium round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleM03.png,No,1500,375,3x3 ,Saharah,Medium rug,living room,child's room,None,Shaggy Round Rugs,For sale
yellow message mat,https://acnhcdn.com/latest/FtrIcon/RugOtherMessageS02.png,No,1000,250,2x1 ,Saharah,Small rug,child's room,None,None,Message Mats,For sale
yellow Persian rug,https://acnhcdn.com/latest/FtrIcon/RugSquarePersianL02.png,No,2000,500,5x5 ,Saharah,Large rug,expensive,living room,None,Pattern Rugs,For sale
yellow rose rug,https://acnhcdn.com/latest/FtrIcon/RugOtherRoseM02.png,No,1500,375,3x3 ,Saharah,Medium rug,fancy,expensive,flowers,Rose Rug,For sale
yellow small round mat,https://acnhcdn.com/latest/FtrIcon/RugRoundSimpleS03.png,No,1000,250,2x2 ,Saharah,Small rug,living room,child's room,None,Shaggy Round Rugs,For sale
yellow stripes rug,https://acnhcdn.com/latest/FtrIcon/RugRectBorderL00.png,No,2000,500,4x3 ,Saharah,Large rug,fancy,child's room,None,Slender Pattern Rugs,For sale
yellow vinyl sheet,https://acnhcdn.com/latest/FtrIcon/RugRectVinylM03.png,No,1500,375,3x2 ,Saharah,Medium rug,garden,None,None,Slender Pattern Rugs,For sale
yellow-design kitchen mat,https://acnhcdn.com/latest/FtrIcon/RugRectNativeKitchenS02.png,No,1000,250,2x1 ,Saharah,Small rug,kitchen,None,None,Kitchen Rugs,For sale
